* mat,cons_share
Aluminum,0.011268975
Boron,3.94061E-07
Cadmium,0.06073702
Chromium,0.00074751
Cobalt,0.005240736
Copper,0.016231294
Dysprosium,0.000105664
Gallium,0.098665551
Hafnium,9.20165E-05
Indium,0.116540112
Lead,0.000370706
Lithium,0.012422803
Magnesium,2.19506E-06
Manganese,0.005417438
Molybdenum,0.014777542
Neodymium,6.44811E-05
Nickel,0.004387018
Praseodymium,0.007419477
Selenium,0.059772716
Silicon,0.009846454
Silver,0.032648075
Steel,0.004638299
Tantalum,0.005582359
Tellurium,1.062139361
Terbium,0.052272385
Tin,0.035708968
Titanium,0
Tungsten,6.86732E-05
Vanadium,0.017427452
Yttrium,5.96773E-05
Zinc,0.023482232
Zirconium,2.31826E-05
