Scen,Disc_Cost
AdvREST_Aluminum,6545.63
AdvREST_Cobalt,6504.51
AdvREST_Copper,6594.07
AdvREST_Reference,6503.81
AdvREST_Manganese,6511.01
AdvREST_Nickel,6509.9
AdvREST_Vanadium,6504.17
Best_Reference,7342.59
Best_Aluminum,7348.46
Best_Boron,7342.59
Best_Cadmium,7342.63
Best_Chromium,7347.25
Best_Cobalt,7343.45
Best_Copper,7366.66
Best_Dysprosium,7342.78
Best_Gallium,7342.95
Best_Hafnium,7343.67
Best_Indium,7343.04
Best_Lead,7342.63
Best_Lithium,7344.11
Best_Magnesium,7342.59
Best_Manganese,7345.72
Best_Molybdenum,7344.28
Best_Neodymium,7342.98
Best_Nickel,7346.03
Best_Niobium,7342.59
Best_Praseodymium,7342.8
Best_Selenium,7342.63
Best_Silicon,7344.57
Best_Silver,7348.01
Best_Steel,7392.29
Best_Tantalum,7342.66
Best_Tellurium,7343.49
Best_Terbium,7343.43
Best_Tin,7344.61
Best_Titanium,7342.59
Best_Tungsten,7342.59
Best_Vanadium,7342.95
Best_Zinc,7352.23
Best_Zirconium,7342.71
ConREST_Reference,7119.05
ConREST_Aluminum,7137.22
ConREST_Cobalt,7119.72
ConREST_Copper,7164.24
ConREST_Manganese,7122.87
ConREST_Nickel,7122.78
ConREST_Vanadium,7119.44
Highdemand_Reference,7222.53
Highdemand_Aluminum,7257.72
Highdemand_Cobalt,7223.33
Highdemand_Copper,7300.61
Highdemand_Manganese,7227.06
Highdemand_Nickel,7228.84
Highdemand_Vanadium,7222.79
HOG_Reference,6341.2
HOG_Aluminum,6365.78
HOG_Cobalt,6341.81
HOG_Copper,6397.8
HOG_Manganese,6344.62
HOG_Nickel,6346.03
HOG_Vanadium,6341.45
LOG_Reference,7537.81
LOG_Aluminum,7579.1
LOG_Cobalt,7538.72
LOG_Copper,7629.29
LOG_Manganese,7541.49
LOG_Nickel,7541.73
LOG_Vanadium,7538.34
Lowdemand_Reference,6490.19
Lowdemand_Aluminum,6520.5
Lowdemand_Cobalt,6491.06
Lowdemand_Copper,6556.38
Lowdemand_Manganese,6494.71
Lowdemand_Nickel,6494.87
Lowdemand_Vanadium,6490.57
Reference_Reference,6802.77
Reference_Aluminum,6837.6
Reference_Boron,6802.77
Reference_Cadmium,6802.8
Reference_Chromium,6810.87
Reference_Cobalt,6803.19
Reference_Copper,6877
Reference_Dysprosium,6802.96
Reference_Gallium,6802.88
Reference_Hafnium,6802.83
Reference_Indium,6802.97
Reference_Lead,6802.82
Reference_Lithium,6801.56
Reference_Magnesium,6802.8
Reference_Manganese,6807.41
Reference_Molybdenum,6806.24
Reference_Neodymium,6803.13
Reference_Nickel,6808.08
Reference_Niobium,6802.77
Reference_Praseodymium,6802.87
Reference_Selenium,6802.79
Reference_Silicon,6805.28
Reference_Silver,6811.88
Reference_Steel,6913.45
Reference_Tantalum,6802.83
Reference_Tellurium,6803.4
Reference_Terbium,6803.17
Reference_Tin,6805.58
Reference_Titanium,6802.77
Reference_Tungsten,6802.77
Reference_Vanadium,6803.1
Reference_Yttrium,6802.77
Reference_Zinc,6820.04
Reference_Zirconium,6802.8
Restrict_Aluminum,7636.72
Restrict_Boron,6802.71
Restrict_Cadmium,6835.89
Restrict_Chromium,7170.66
Restrict_Cobalt,6868.26
Restrict_Copper,7661.61
Restrict_Dysprosium,6803.17
Restrict_Gallium,6802.57
Restrict_Hafnium,6802.79
Restrict_Indium,6802.38
Restrict_Lead,6840.5
Restrict_Lithium,6822.19
Restrict_Magnesium,6807.41
Restrict_Manganese,7375.52
Restrict_Molybdenum,6856.07
Restrict_Neodymium,6815.69
Restrict_Nickel,7059.67
Restrict_Niobium,6802.79
Restrict_Praseodymium,6804.49
Restrict_Selenium,6802.77
Restrict_Silicon,7063.48
Restrict_Silver,6817.66
Restrict_Steel,7967.78
Restrict_Tantalum,6803.26
Restrict_Tellurium,6826.32
Restrict_Terbium,6802.71
Restrict_Tin,6954.11
Restrict_Titanium,6802.79
Restrict_Tungsten,6802.8
Restrict_Vanadium,6881.02
Restrict_Yttrium,6802.79
Restrict_Zinc,7112.8
Restrict_Zirconium,6802.91
Worst_Reference,7593.5
Worst_Aluminum,7629.38
Worst_Boron,7593.5
Worst_Cadmium,7593.3
Worst_Chromium,7599.41
Worst_Cobalt,7593.99
Worst_Copper,7677.24
Worst_Dysprosium,7593.64
Worst_Gallium,7592.81
Worst_Hafnium,7593.53
Worst_Indium,7592.51
Worst_Lead,7593.42
Worst_Lithium,7594.08
Worst_Magnesium,7593.5
Worst_Manganese,7597.2
Worst_Molybdenum,7596.61
Worst_Neodymium,7593.77
Worst_Nickel,7597.84
Worst_Niobium,7593.5
Worst_Praseodymium,7593.6
Worst_Selenium,7593.34
Worst_Silicon,7594.99
Worst_Silver,7602.79
Worst_Steel,7714.05
Worst_Tantalum,7593.58
Worst_Tellurium,7591.67
Worst_Terbium,7594.04
Worst_Tin,7594.82
Worst_Titanium,7593.5
Worst_Tungsten,7593.5
Worst_Vanadium,7593.76
Worst_Yttrium,7593.5
Worst_Zinc,7615.07
Worst_Zirconium,7593.5
AdvREST_Tellurium,6504.67
ConREST_Tellurium,7119.23
highdemand_Tellurium,7222.67
HOG_Tellurium,6339.16
lowdemand_Tellurium,6490.2
