mat,id
Aluminum,260600
Aluminum,262040
Aluminum,281810
Aluminum,281820
Aluminum,281830
Aluminum,282612
Aluminum,282732
Aluminum,283322
Aluminum,760110
Aluminum,760120
Aluminum,760200
Aluminum,760310
Aluminum,760320
Aluminum,760410
Aluminum,760421
Aluminum,760429
Aluminum,760511
Aluminum,760519
Aluminum,760521
Aluminum,760529
Aluminum,760611
Aluminum,760612
Aluminum,760691
Aluminum,760692
Aluminum,760711
Aluminum,760719
Aluminum,760720
Aluminum,760810
Aluminum,760820
Aluminum,760900
Aluminum,761010
Aluminum,761090
Aluminum,761100
Aluminum,761210
Aluminum,761290
Aluminum,761300
Aluminum,761410
Aluminum,761490
Aluminum,761610
Aluminum,761690
Aluminum,761691
Aluminum,761699
Aluminum,853222
Boron,252800
Boron,252810
Boron,280450
Boron,281000
Boron,284011
Boron,284019
Boron,284020
Boron,284520
Boron,285000
Cadmium,262091
Cadmium,283030
Cadmium,320630
Cadmium,810710
Cadmium,810720
Cadmium,810730
Cadmium,810790
Cadmium,811261
Cadmium,811269
Cadmium,850730
Cadmium,854912
Chromium,261000
Chromium,262091
Chromium,281910
Chromium,281990
Chromium,283323
Chromium,320620
Chromium,720241
Chromium,720249
Chromium,720250
Chromium,811220
Chromium,811221
Chromium,811222
Chromium,811229
Chromium,284120
Chromium,284130
Chromium,284140
Chromium,284150
Cobalt,260500
Cobalt,282200
Cobalt,282734
Cobalt,291523
Cobalt,810510
Cobalt,810520
Cobalt,810530
Cobalt,810590
Copper,260300
Copper,262030
Copper,282550
Copper,282741
Copper,282749
Copper,283325
Copper,284810
Copper,740100
Copper,740110
Copper,740120
Copper,740200
Copper,740311
Copper,740312
Copper,740313
Copper,740319
Copper,740321
Copper,740322
Copper,740323
Copper,740329
Copper,740400
Copper,740500
Copper,740610
Copper,740620
Copper,740710
Copper,740721
Copper,740722
Copper,740729
Copper,740811
Copper,740819
Copper,740821
Copper,740822
Copper,740829
Copper,740911
Copper,740919
Copper,740921
Copper,740929
Copper,740931
Copper,740939
Copper,740940
Copper,740990
Copper,741011
Copper,741012
Copper,741021
Copper,741022
Copper,741110
Copper,741121
Copper,741122
Copper,741129
Copper,741210
Copper,741220
Copper,741300
Copper,741410
Copper,741510
Copper,741521
Copper,741529
Copper,741533
Copper,741539
Copper,741600
Copper,741700
Copper,741810
Copper,741820
Copper,741910
Copper,741920
Copper,741980
Copper,741991
Copper,741999
Copper,854411
Copper,854419
Rare Earths,280530
Rare Earths,284690
Gallium,811292
Gallium,811299
Hafnium,811231
Hafnium,811239
Indium,811292
Indium,811299
Lead,260700
Lead,262020
Lead,262021
Lead,262029
Lead,282410
Lead,282420
Lead,282490
Lead,780110
Lead,780191
Lead,780199
Lead,780200
Lead,780300
Lead,780411
Lead,780419
Lead,780420
Lead,780500
Lead,780600
Lead,850710
Lead,850720
Lead,850780
Lead,854911
Lead,854912
Lead,854913
Lead,854914
Lithium,282520
Lithium,283691
Lithium,283699
Lithium,284530
Lithium,290433
Lithium,850650
Lithium,850680
Lithium,850760
Lithium,850780
Magnesium,251910
Magnesium,251990
Magnesium,253020
Magnesium,281610
Magnesium,282731
Magnesium,282739
Magnesium,283321
Magnesium,810411
Magnesium,810419
Magnesium,810420
Magnesium,810430
Magnesium,810490
Manganese,260200
Manganese,282010
Manganese,282090
Manganese,720211
Manganese,720219
Manganese,720230
Manganese,722720
Manganese,722820
Manganese,722920
Manganese,722990
Manganese,811100
Manganese,850610
Manganese,850611
Molybdenum,261310
Molybdenum,261390
Molybdenum,282570
Molybdenum,284170
Molybdenum,720270
Molybdenum,810210
Molybdenum,810291
Molybdenum,810294
Molybdenum,810295
Molybdenum,810296
Molybdenum,810297
Molybdenum,810299
Nickel,260400
Nickel,282540
Nickel,282735
Nickel,282739
Nickel,283324
Nickel,381511
Nickel,381519
Nickel,720260
Nickel,740323
Nickel,740722
Nickel,740822
Nickel,740829
Nickel,740940
Nickel,740990
Nickel,741122
Nickel,741129
Nickel,750110
Nickel,750120
Nickel,750210
Nickel,750220
Nickel,750300
Nickel,750400
Nickel,750511
Nickel,750512
Nickel,750521
Nickel,750522
Nickel,750610
Nickel,750620
Nickel,750711
Nickel,750712
Nickel,750720
Nickel,750800
Nickel,750810
Nickel,750890
Nickel,850730
Nickel,850740
Nickel,850750
Niobium,261590
Niobium,720293
Niobium,811292
Niobium,811299
Selenium,280490
Silicon,280461
Silicon,280469
Silicon,281122
Silicon,284920
Silicon,284990
Silicon,391000
Silicon,720221
Silicon,720229
Silicon,722510
Silicon,722511
Silicon,722519
Silicon,722610
Silicon,722611
Silicon,722619
Silicon,722691
Silicon,722692
Silver,284321
Silver,284329
Silver,710610
Silver,710691
Silver,710692
Silver,710700
Silver,710900
Silver,711100
Silver,850613
Silver,850640
Steel,261800
Steel,261900
Steel,720421
Steel,720429
Steel,720430
Steel,720510
Steel,720521
Steel,720529
Steel,720610
Steel,720690
Steel,720711
Steel,720712
Steel,720719
Steel,720720
Steel,720810
Steel,720811
Steel,720812
Steel,720813
