i,etype,prepost,SO2,NOx,CO2,N2O,CH4
Biopower,process,pre2010,3.63E-05,9.07E-06,0,0,0
beccs_mod,process,pre2010,0,2.72E-05,-6.00E-02,0,0
beccs_max,process,pre2010,0,2.54E-05,-7.12E-02,0,0
gas-CT,process,pre2010,4.45E-06,6.35E-05,5.31E-02,1.00E-07,1.00E-06
gas-CT_aero,process,pre2010,4.45E-06,6.35E-05,5.31E-02,1.00E-07,1.00E-06
gas-CC,process,pre2010,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
gas-CC_h_1x1,process,pre2010,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
gas-CC_h_2x1,process,pre2010,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
h2-ct,process,pre2010,0,6.35E-05,0,0,0
h2-cc,process,pre2010,0,6.35E-05,0,0,0
h2-fuel-cell,process,pre2010,0,0,0,0,0
ng-fuel-cell,process,pre2010,0,0,5.31E-02,1.00E-07,1.00E-06
CoalOldScr,process,pre2010,9.07E-05,8.62E-05,9.55E-02,1.60E-06,1.10E-05
CoalOldUns,process,pre2010,1.51E-04,8.62E-05,9.55E-02,1.60E-06,1.10E-05
coal-new,process,pre2010,4.08E-05,3.63E-05,9.55E-02,1.60E-06,1.10E-05
coal-IGCC,process,pre2010,2.52E-05,3.86E-05,9.55E-02,1.60E-06,1.10E-05
o-g-s,process,pre2010,1.36E-04,7.82E-05,6.21E-02,1.00E-07,3.00E-06
CofireOld,process,pre2010,9.07E-05,8.62E-05,9.55E-02,1.60E-06,1.10E-05
CofireNew,process,pre2010,4.08E-05,3.63E-05,9.55E-02,1.60E-06,1.10E-05
Biopower,upstream,pre2010,0,0,2.46E-03,1.00E-08,2.94E-06
beccs_mod,upstream,pre2010,0,0,2.46E-03,1.00E-08,2.94E-06
beccs_max,upstream,pre2010,0,0,2.46E-03,1.00E-08,2.94E-06
gas-CT,upstream,pre2010,0,0,6.27E-03,2.00E-08,0
gas-CT_aero,upstream,pre2010,0,0,6.27E-03,2.00E-08,0
gas-CC,upstream,pre2010,0,0,6.27E-03,2.00E-08,0
gas-CC_h_1x1,upstream,pre2010,0,0,6.27E-03,2.00E-08,0
gas-CC_h_2x1,upstream,pre2010,0,0,6.27E-03,2.00E-08,0
h2-ct,upstream,pre2010,0,0,0,0,0
h2-cc,upstream,pre2010,0,0,0,0,0
h2-fuel-cell,upstream,pre2010,0,0,0,0,0
ng-fuel-cell,upstream,pre2010,0,0,6.27E-03,2.00E-08,0
CoalOldScr,upstream,pre2010,0,0,2.94E-03,5.00E-08,2.08E-04
CoalOldUns,upstream,pre2010,0,0,2.94E-03,5.00E-08,2.08E-04
coal-new,upstream,pre2010,0,0,2.94E-03,5.00E-08,2.08E-04
coal-IGCC,upstream,pre2010,0,0,2.94E-03,5.00E-08,2.08E-04
o-g-s,upstream,pre2010,0,0,9.91E-03,1.70E-07,1.53E-04
CofireOld,upstream,pre2010,0,0,2.94E-03,5.00E-08,2.08E-04
CofireNew,upstream,pre2010,0,0,2.94E-03,5.00E-08,2.08E-04
nuclear,upstream,pre2010,0,0,8.40E-04,2.00E-08,2.10E-06
Biopower,process,post2010,3.63E-05,9.07E-06,0,0,0
beccs_mod,process,post2010,0,2.72E-05,-6.00E-02,0,0
beccs_max,process,post2010,0,2.54E-05,-7.12E-02,0,0
gas-CT,process,post2010,4.45E-06,6.35E-05,5.31E-02,1.00E-07,1.00E-06
gas-CT_aero,process,post2010,4.45E-06,6.35E-05,5.31E-02,1.00E-07,1.00E-06
gas-CC,process,post2010,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
gas-CC_h_1x1,process,post2010,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
gas-CC_h_2x1,process,post2010,1.50E-06,9.07E-06,5.31E-02,1.00E-07,1.00E-06
h2-ct,process,post2010,0,6.35E-05,0,0,0
h2-cc,process,post2010,0,6.35E-05,0,0,0
h2-fuel-cell,process,post2010,0,0,0,0,0
ng-fuel-cell,process,post2010,0,0,5.31E-02,1.00E-07,1.00E-06
CoalOldScr,process,post2010,9.07E-05,8.62E-05,9.55E-02,1.60E-06,1.10E-05
CoalOldUns,process,post2010,1.51E-04,8.62E-05,9.55E-02,1.60E-06,1.10E-05
coal-new,process,post2010,4.03E-04,4.35E-05,1.01E-01,1.60E-06,1.10E-05
coal-IGCC,process,post2010,1.40E-05,2.80E-05,9.97E-02,1.60E-06,1.10E-05
o-g-s,process,post2010,1.36E-04,7.82E-05,6.21E-02,1.00E-07,3.00E-06
CofireOld,process,post2010,9.07E-05,8.62E-05,9.55E-02,1.60E-06,1.10E-05
CofireNew,process,post2010,4.08E-05,3.63E-05,9.55E-02,1.60E-06,1.10E-05
Biopower,upstream,post2010,0,0,2.46E-03,1.00E-08,2.94E-06
beccs_mod,upstream,post2010,0,0,2.46E-03,1.00E-08,2.94E-06
beccs_max,upstream,post2010,0,0,2.46E-03,1.00E-08,2.94E-06
gas-CT,upstream,post2010,0,0,6.27E-03,2.00E-08,0
gas-CT_aero,upstream,post2010,0,0,6.27E-03,2.00E-08,0
gas-CC,upstream,post2010,0,0,6.27E-03,2.00E-08,0
gas-CC_h_1x1,upstream,post2010,0,0,6.27E-03,2.00E-08,0
gas-CC_h_2x1,upstream,post2010,0,0,6.27E-03,2.00E-08,0
h2-ct,upstream,post2010,0,0,0,0,0
