i,country,t_start_construction,safe_harbor,t_max_online,ptc_value,ptc_perc_bonus,ptc_dur,ptc_tax_equity_penalty,itc_frac,itc_energy_comm_bonus,itc_percpt_domestic_bonus,itc_tax_equity_penalty,co2_capture_value,co2_capture_dur,co2_capture_tax_equity_penalty,h2_ptc_value,h2_ptc_dur,h2_ptc_tax_equity_penalty
PV,usa,2010,0,2010,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2011,0,2011,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2012,0,2012,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2013,0,2013,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2014,0,2014,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2015,0,2015,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2016,0,2016,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2017,0,2017,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2018,0,2018,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2019,0,2019,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2020,0,2020,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2021,0,2021,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2022,0,2022,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2023,0,2023,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2024,0,2024,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2025,0,2025,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
