year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.224292,3.717842,3.84938,2.543553,4.950541,2.622244,4.819639,2.04389,2.512132
2011,3.520753,3.746905,3.857194,2.628507,5.101818,2.732027,5.004607,2.224951,2.655063
2012,3.418744,3.572899,3.874588,2.795096,5.989059,2.702752,4.927106,2.325483,2.869434
2013,3.29188,3.411375,3.493636,2.588002,5.519319,2.836594,4.605631,2.383152,2.933761
2014,3.210208,3.49595,3.712249,2.624967,3.876209,2.997613,4.075958,2.596662,3.083856
2015,3.017566,3.238051,3.592916,2.48148,3.807809,2.849712,3.737857,2.503988,2.972404
2016,2.801141,2.986923,3.322892,2.443743,3.513001,2.598507,3.595396,2.284448,2.865516
2017,2.666622,2.830636,2.828759,2.345611,3.416412,2.590636,3.444279,2.114409,2.569341
2018,2.664933,2.833475,2.915717,2.356844,3.661992,2.70801,3.374095,2.19222,2.656044
2019,2.484919,2.451514,3.382048,2.376398,3.421042,2.540641,3.096757,2.287477,2.402235
2020,2.43214,2.273487,2.8328,2.367487,3.315145,2.253485,3.15206,1.841053,2.125025
2021,2.395739,2.251027,2.690271,2.413618,3.309033,2.271611,3.087368,1.875808,2.148135
2022,2.342179,2.20768,2.29562,2.365142,3.850966,2.496613,2.846128,1.931177,2.276826
2023,2.290774,2.153811,2.2682,2.255401,3.804968,2.43592,2.689613,1.873354,2.205482
2024,2.741502,2.402605,2.257186,2.097527,3.720559,2.183604,3.720559,2.07623,2.219229
2025,2.697991,2.478127,2.610825,2.459127,2.610825,2.547656,3.728853,1.797461,2.074193
2026,2.678993,2.411469,2.609556,2.32962,2.609556,2.61463,3.648981,1.803064,2.073156
2027,1.812022,1.644750,1.803931,1.675311,1.803931,1.847080,2.345181,1.310913,1.535779
2028,1.820569,1.638687,1.790488,1.612232,1.790488,1.855803,2.269143,1.332572,1.573058
2029,1.813214,1.641660,1.766051,1.607745,1.766051,1.862213,2.265989,1.328947,1.560005
2030,1.806413,1.633201,1.762682,1.707925,1.762682,1.852529,2.221181,1.317709,1.566589
2031,1.792950,1.623194,1.692473,1.378175,1.692473,1.836661,2.247461,1.302859,1.538106
2032,1.812500,1.651119,1.446031,2.013906,1.446031,1.840364,2.113995,1.300463,1.687458
2033,1.812373,1.650290,1.441677,2.003596,1.441677,1.843522,2.111619,1.307470,1.691573
2034,1.806393,1.647496,1.432866,1.996681,1.432866,1.843199,2.088142,1.309819,1.691444
2035,1.797177,1.642768,1.422787,1.987859,1.422787,1.839500,2.077584,1.309474,1.688710
2036,1.793067,1.641632,1.416989,1.993832,1.416989,1.846933,2.056294,1.315699,1.695831
2037,1.805210,1.639895,1.946377,2.005811,1.946377,1.858099,2.057322,1.324095,1.706404
2038,1.805544,1.642713,1.954588,1.988198,1.954588,1.853104,2.064196,1.334686,1.719621
2039,1.799232,1.710732,1.470089,1.988198,1.470089,1.838987,1.993057,1.348673,1.738010
2040,1.792498,1.703376,1.466548,1.988198,1.466548,1.828872,1.985996,1.358556,1.747733
2041,1.787107,1.701323,1.454853,1.988198,1.454853,1.834587,1.975694,1.364874,1.754359
2042,1.778728,1.608160,1.450932,1.988198,1.450932,1.821227,1.970752,1.370669,1.757993
2043,1.777539,1.609664,1.444219,1.988198,1.444219,1.833427,1.964556,1.377921,1.765973
2044,1.740146,1.579586,0.719114,1.988198,0.719114,1.784147,1.785344,1.384137,1.773735
2045,1.726994,1.575755,0.718332,1.988198,0.718332,1.767492,1.474677,1.391551,1.333735
2046,1.691320,1.417623,0.709758,1.988198,0.709758,1.759772,1.474677,1.394498,1.333735
2047,1.691320,1.417623,0.709758,1.988198,0.709758,1.752903,1.474677,1.400508,1.333735
2048,1.691320,1.417623,0.709758,1.988198,0.709758,1.754056,1.474677,1.407281,1.333735
2049,1.691320,1.417623,0.709758,1.988198,0.709758,1.775439,1.474677,1.416255,1.333735
2050,1.691320,1.417623,0.709758,1.988198,0.709758,1.782660,1.474677,1.425896,1.333735
