year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.224292,3.717842,3.84938,2.543553,4.950541,2.622244,4.819639,2.04389,2.512132
2011,3.520753,3.746905,3.857194,2.628507,5.101818,2.732027,5.004607,2.224951,2.655063
2012,3.418744,3.572899,3.874588,2.795096,5.989059,2.702752,4.927106,2.325483,2.869434
2013,3.29188,3.411375,3.493636,2.588002,5.519319,2.836594,4.605631,2.383152,2.933761
2014,3.210208,3.49595,3.712249,2.624967,3.876209,2.997613,4.075958,2.596662,3.083856
2015,3.017566,3.238051,3.592916,2.48148,3.807809,2.849712,3.737857,2.503988,2.972404
2016,2.801141,2.986923,3.322892,2.443743,3.513001,2.598507,3.595396,2.284448,2.865516
2017,2.666622,2.830636,2.828759,2.345611,3.416412,2.590636,3.444279,2.114409,2.569341
2018,2.664933,2.833475,2.915717,2.356844,3.661992,2.70801,3.374095,2.19222,2.656044
2019,2.484919,2.451514,3.382048,2.376398,3.421042,2.540641,3.096757,2.287477,2.402235
2020,2.43214,2.273487,2.8328,2.367487,3.315145,2.253485,3.15206,1.841053,2.125025
2021,2.395739,2.251027,2.690271,2.413618,3.309033,2.271611,3.087368,1.875808,2.148135
2022,2.342179,2.20768,2.29562,2.365142,3.850966,2.496613,2.846128,1.931177,2.276826
2023,2.290774,2.153811,2.2682,2.255401,3.804968,2.43592,2.689613,1.873354,2.205482
2024,2.741502,2.402605,2.257186,2.097527,3.720559,2.183604,3.720559,2.07623,2.219229
2025,2.697991,2.478127,2.610825,2.459127,2.610825,2.547656,3.728853,1.797461,2.074193
2026,2.678993,2.411469,2.609556,2.32962,2.609556,2.61463,3.648981,1.803064,2.073156
2027,3.365184,3.054536,3.350159,3.111293,3.350159,3.430292,4.355335,2.434553,2.852161
2028,3.381057,3.043275,3.325192,2.994144,3.325192,3.446491,4.214123,2.474776,2.921394
2029,3.367398,3.048798,3.279809,2.985813,3.279809,3.458397,4.208265,2.468045,2.897151
2030,3.354767,3.033087,3.273552,3.171861,3.273552,3.440411,4.125050,2.447173,2.909379
2031,3.329764,3.014502,3.143165,2.559467,3.143165,3.410941,4.173857,2.419595,2.856483
2032,3.366072,3.066365,2.685485,3.740112,2.685485,3.417820,3.925991,2.415145,3.133850
2033,3.365835,3.064824,2.677401,3.720964,2.677401,3.423684,3.921579,2.428158,3.141493
2034,3.354729,3.059636,2.661038,3.708123,2.661038,3.423085,3.877978,2.432521,3.141254
2035,3.337615,3.050856,2.642319,3.691737,2.642319,3.416214,3.858370,2.431880,3.136176
2036,3.329983,3.048744,2.631551,3.702832,2.631551,3.430019,3.818832,2.443441,3.149401
2037,3.352534,3.045519,3.614701,3.725078,3.614701,3.450755,3.820740,2.459033,3.169036
2038,3.353152,3.050753,3.629948,3.692368,3.629948,3.441480,3.833506,2.478703,3.193583
2039,3.341432,3.177074,2.730165,3.692368,2.730165,3.415261,3.701392,2.504679,3.227734
2040,3.328926,3.163412,2.723588,3.692368,2.723588,3.396478,3.688278,2.523032,3.245789
2041,3.318913,3.159599,2.701869,3.692368,2.701869,3.407089,3.669146,2.534766,3.258095
2042,3.303352,2.986582,2.694588,3.692368,2.694588,3.382279,3.659968,2.545527,3.264845
2043,3.301145,2.989376,2.682121,3.692368,2.682121,3.404935,3.648460,2.558997,3.279665
2044,3.231700,2.933518,1.335498,3.692368,1.335498,3.313417,3.315638,2.570541,3.294079
2045,3.207275,2.926401,1.334046,3.692368,1.334046,3.282486,2.738687,2.584309,2.476937
2046,3.141024,2.632729,1.318122,3.692368,1.318122,3.268148,2.738687,2.589782,2.476937
2047,3.141024,2.632729,1.318122,3.692368,1.318122,3.255391,2.738687,2.600943,2.476937
2048,3.141024,2.632729,1.318122,3.692368,1.318122,3.257532,2.738687,2.613523,2.476937
2049,3.141024,2.632729,1.318122,3.692368,1.318122,3.297243,2.738687,2.630187,2.476937
2050,3.141024,2.632729,1.318122,3.692368,1.318122,3.310654,2.738687,2.648094,2.476937
