FIPS,year,multiplier
p31039,2010,1.170065134
p19055,2010,1.287164491
p18155,2010,0.987658484
p29089,2010,1.049704352
p55079,2010,0.923231798
p29219,2010,1.555122218
p08069,2010,0.58408586
p05135,2010,0.972573741
p37035,2010,1.014340668
p40113,2010,1.140829587
p19051,2010,1.148971889
p31127,2010,1.335187553
p40021,2010,0.878857993
p49015,2010,0.791581599
p47035,2010,1.322193365
p40035,2010,0.878857993
p18165,2010,1.198691543
p17167,2010,0.843556401
p35045,2010,1.024214993
p31021,2010,1.170065134
p12081,2010,0.876309797
p17017,2010,0.843556401
p20149,2010,1.128636273
p56021,2010,0.570505434
p12075,2010,1.326048889
p29095,2010,1.180751413
p20059,2010,0.850683136
p49009,2010,1.327526719
p19105,2010,1.287164491
p54051,2010,0.693424694
p54035,2010,0.675948378
p55027,2010,0.723917192
p40083,2010,1.140829587
p39087,2010,0.885398785
p29201,2010,0.859683923
p47093,2010,1.322193365
p39001,2010,0.981040033
p55101,2010,1.094816423
p54061,2010,0.83319172
p27141,2010,1.34886752
p31155,2010,1.170065134
p27145,2010,1.34886752
p29207,2010,1.069683033
p45067,2010,0.982728979
p21145,2010,0.929153581
p55115,2010,0.885412189
p08025,2010,0.819102405
p08043,2010,0.81956909
p18045,2010,1.198691543
p39169,2010,0.869347066
p27009,2010,1.34886752
p21161,2010,0.85080526
p27059,2010,1.34886752
p17087,2010,0.65946765
p40089,2010,1.264250243
p08107,2010,0.865678123
p31025,2010,0.853242009
p56009,2010,0.449461496
p33019,2010,1.171064094
p31153,2010,1.122416382
p21183,2010,0.716626741
p27123,2010,1.29908956
p54057,2010,0.773654069
p29009,2010,1.023534727
p48079,2010,0.946705704
p32007,2010,1.250238337
p55073,2010,0.885412189
p18149,2010,0.961886126
p55119,2010,0.885412189
p45075,2010,1.031303824
p45085,2010,1.310592061
p49043,2010,0.982484215
p32015,2010,1.250238337
p31041,2010,0.655945189
p08123,2010,0.58408586
p21117,2010,0.837844092
p04009,2010,1.024214993
p38089,2010,0.79950378
p12107,2010,1.010012457
p54023,2010,0.773654069
p42051,2010,1.043202622
p29167,2010,1.588325951
p27163,2010,1.29908956
p40145,2010,0.657200953
p40127,2010,1.264250243
p27157,2010,1.611545348
p46109,2010,1.395816181
p28041,2010,1.452893371
p51083,2010,0.896272179
p29221,2010,0.920922519
p37097,2010,1.014340668
p04007,2010,0.923591639
p21023,2010,0.85080526
p20011,2010,0.850683136
p56031,2010,0.449461496
p37071,2010,1.125390437
p13079,2010,0.639210925
p29037,2010,0.774166358
p39081,2010,0.777759268
p48477,2010,1.2714597
p08101,2010,0.819102405
p40117,2010,1.140829587
p28047,2010,1.293265832
p56007,2010,0.449461496
p19057,2010,1.022040182
