# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used,,
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.,,
# Values for multiple states/transgrps/etc. in a given year should be added in long format.,,
*loadsitereg,t,MW
PJM,2026,0
PJM,2027,0
PJM,2028,0
PJM,2029,0
PJM,2030,20056.2754301233
PJM,2031,20056.2754301233
PJM,2032,20056.2754301233
PJM,2033,20056.2754301233
PJM,2034,20056.2754301233
PJM,2035,26305.8657592101
PJM,2036,26305.8657592101
PJM,2037,26305.8657592101
PJM,2038,26305.8657592101
PJM,2039,26305.8657592101
PJM,2040,28574.722414452
PJM,2041,28574.722414452
PJM,2042,28574.722414452
PJM,2043,28574.722414452
PJM,2044,28574.722414452
PJM,2045,32123.5126280708
PJM,2046,32123.5126280708
PJM,2047,32123.5126280708
PJM,2048,32123.5126280708
PJM,2049,32123.5126280708
PJM,2050,37502.9044700833
MISO,2026,0
MISO,2027,0
MISO,2028,0
MISO,2029,0
MISO,2030,8492.45539484244
MISO,2031,8492.45539484244
MISO,2032,8492.45539484244
MISO,2033,8492.45539484244
MISO,2034,8492.45539484244
MISO,2035,13381.3226246815
MISO,2036,13381.3226246815
MISO,2037,13381.3226246815
MISO,2038,13381.3226246815
MISO,2039,13381.3226246815
MISO,2040,16892.3702406986
MISO,2041,16892.3702406986
MISO,2042,16892.3702406986
MISO,2043,16892.3702406986
MISO,2044,16892.3702406986
MISO,2045,20795.6050503036
MISO,2046,20795.6050503036
MISO,2047,20795.6050503036
MISO,2048,20795.6050503036
MISO,2049,20795.6050503036
MISO,2050,25009.9568880833
SPP,2026,0
SPP,2027,0
SPP,2028,0
SPP,2029,0
SPP,2030,20649.7222488904
SPP,2031,20649.7222488904
SPP,2032,20649.7222488904
SPP,2033,20649.7222488904
SPP,2034,20649.7222488904
SPP,2035,32840.2091116598
SPP,2036,32840.2091116598
SPP,2037,32840.2091116598
SPP,2038,32840.2091116598
SPP,2039,32840.2091116598
SPP,2040,43060.1045255868
SPP,2041,43060.1045255868
SPP,2042,43060.1045255868
SPP,2043,43060.1045255868
SPP,2044,43060.1045255868
SPP,2045,54180.3774672032
SPP,2046,54180.3774672032
SPP,2047,54180.3774672032
SPP,2048,54180.3774672032
SPP,2049,54180.3774672032
SPP,2050,66189.365523
SERC_C,2026,0
SERC_C,2027,0
SERC_C,2028,0
SERC_C,2029,0
SERC_C,2030,1915.75850123516
SERC_C,2031,1915.75850123516
SERC_C,2032,1915.75850123516
SERC_C,2033,1915.75850123516
SERC_C,2034,1915.75850123516
SERC_C,2035,3044.33446428424
SERC_C,2036,3044.33446428424
SERC_C,2037,3044.33446428424
SERC_C,2038,3044.33446428424
SERC_C,2039,3044.33446428424
SERC_C,2040,3309.32146403425
SERC_C,2041,3309.32146403425
SERC_C,2042,3309.32146403425
SERC_C,2043,3309.32146403425
SERC_C,2044,3309.32146403425
SERC_C,2045,3599.46689339953
SERC_C,2046,3599.46689339953
SERC_C,2047,3599.46689339953
SERC_C,2048,3599.46689339953
SERC_C,2049,3599.46689339953
SERC_C,2050,3907.36710949999
SERC_E,2026,0
SERC_E,2027,0
SERC_E,2028,0
SERC_E,2029,0
SERC_E,2030,3385.62653828539
SERC_E,2031,3385.62653828539
SERC_E,2032,3385.62653828539
SERC_E,2033,3385.62653828539
SERC_E,2034,3385.62653828539
SERC_E,2035,4806.46021235845
SERC_E,2036,4806.46021235845
SERC_E,2037,4806.46021235845
SERC_E,2038,4806.46021235845
SERC_E,2039,4806.46021235845
SERC_E,2040,5260.87324162329
SERC_E,2041,5260.87324162329
SERC_E,2042,5260.87324162329
SERC_E,2043,5260.87324162329
SERC_E,2044,5260.87324162329
SERC_E,2045,5748.6178613847
SERC_E,2046,5748.6178613847
SERC_E,2047,5748.6178613847
SERC_E,2048,5748.6178613847
SERC_E,2049,5748.6178613847
SERC_E,2050,6388.71230575
SERC_F,2026,0
SERC_F,2027,0
SERC_F,2028,0
SERC_F,2029,0
SERC_F,2030,1301.05520476712
SERC_F,2031,1301.05520476712
SERC_F,2032,1301.05520476712
SERC_F,2033,1301.05520476712
SERC_F,2034,1301.05520476712
SERC_F,2035,1909.58876238696
SERC_F,2036,1909.58876238696
SERC_F,2037,1909.58876238696
SERC_F,2038,1909.58876238696
SERC_F,2039,1909.58876238696
SERC_F,2040,2092.82986897033
SERC_F,2041,2092.82986897033
SERC_F,2042,2092.82986897033
SERC_F,2043,2092.82986897033
SERC_F,2044,2092.82986897033
SERC_F,2045,2285.28781812557
SERC_F,2046,2285.28781812557
SERC_F,2047,2285.28781812557
SERC_F,2048,2285.28781812557
SERC_F,2049,2285.28781812557
SERC_F,2050,2491.80774483333
SERC_SE,2026,0
SERC_SE,2027,0
SERC_SE,2028,0
SERC_SE,2029,0
SERC_SE,2030,2634.9067397854
SERC_SE,2031,2634.9067397854
SERC_SE,2032,2634.9067397854
SERC_SE,2033,2634.9067397854
SERC_SE,2034,2634.9067397854
SERC_SE,2035,3865.07485645662
SERC_SE,2036,3865.07485645662
SERC_SE,2037,3865.07485645662
SERC_SE,2038,3865.07485645662
SERC_SE,2039,3865.07485645662
SERC_SE,2040,4207.12071118722
SERC_SE,2041,4207.12071118722
SERC_SE,2042,4207.12071118722
SERC_SE,2043,4207.12071118722
SERC_SE,2044,4207.12071118722
SERC_SE,2045,4586.50375842009
SERC_SE,2046,4586.50375842009
SERC_SE,2047,4586.50375842009
SERC_SE,2048,4586.50375842009
SERC_SE,2049,4586.50375842009
SERC_SE,2050,4987.31860083333
NPCC_NY,2026,0
NPCC_NY,2027,0
NPCC_NY,2028,0
NPCC_NY,2029,0
NPCC_NY,2030,2088.309821
NPCC_NY,2031,2088.309821
NPCC_NY,2032,2088.309821
NPCC_NY,2033,2088.309821
NPCC_NY,2034,2088.309821
NPCC_NY,2035,2730.35821925457
NPCC_NY,2036,2730.35821925457
NPCC_NY,2037,2730.35821925457
NPCC_NY,2038,2730.35821925457
NPCC_NY,2039,2730.35821925457
NPCC_NY,2040,2854.92362931735
NPCC_NY,2041,2854.92362931735
NPCC_NY,2042,2854.92362931735
NPCC_NY,2043,2854.92362931735
NPCC_NY,2044,2854.92362931735
NPCC_NY,2045,3334.56183943148
NPCC_NY,2046,3334.56183943148
NPCC_NY,2047,3334.56183943148
NPCC_NY,2048,3334.56183943148
NPCC_NY,2049,3334.56183943148
NPCC_NY,2050,3906.93257433335
NPCC_NE,2026,0
NPCC_NE,2027,0
NPCC_NE,2028,0
NPCC_NE,2029,0
NPCC_NE,2030,1059.46567282191
NPCC_NE,2031,1059.46567282191
NPCC_NE,2032,1059.46567282191
NPCC_NE,2033,1059.46567282191
NPCC_NE,2034,1059.46567282191
NPCC_NE,2035,1385.19697940183
NPCC_NE,2036,1385.19697940183
NPCC_NE,2037,1385.19697940183
NPCC_NE,2038,1385.19697940183
NPCC_NE,2039,1385.19697940183
NPCC_NE,2040,1448.3457744315
NPCC_NE,2041,1448.3457744315
NPCC_NE,2042,1448.3457744315
NPCC_NE,2043,1448.3457744315
NPCC_NE,2044,1448.3457744315
NPCC_NE,2045,1692.16663654908
NPCC_NE,2046,1692.16663654908
NPCC_NE,2047,1692.16663654908
NPCC_NE,2048,1692.16663654908
NPCC_NE,2049,1692.16663654908
NPCC_NE,2050,1982.14922108333
