# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
PJM,2026,0
PJM,2027,0
PJM,2028,0
PJM,2029,0
PJM,2030,23000
PJM,2031,23000
PJM,2032,23000
PJM,2033,23000
PJM,2034,23000
PJM,2035,30294
PJM,2036,30294
PJM,2037,30294
PJM,2038,30294
PJM,2039,30294
PJM,2040,32748
PJM,2041,32748
PJM,2042,32748
PJM,2043,32748
PJM,2044,32748
PJM,2045,36916
PJM,2046,36916
PJM,2047,36916
PJM,2048,36916
PJM,2049,36916
PJM,2050,42954
MISO,2026,0
MISO,2027,0
MISO,2028,0
MISO,2029,0
MISO,2030,8492
MISO,2031,8492
MISO,2032,8492
MISO,2033,8492
MISO,2034,8492
MISO,2035,13381
MISO,2036,13381
MISO,2037,13381
MISO,2038,13381
MISO,2039,13381
MISO,2040,16892
MISO,2041,16892
MISO,2042,16892
MISO,2043,16892
MISO,2044,16892
MISO,2045,20795
MISO,2046,20795
MISO,2047,20795
MISO,2048,20795
MISO,2049,20795
MISO,2050,25009
