*i,material,value
biopower,Aluminum,0.313
coal-new,Aluminum,0.5
CoalOldScr,Aluminum,0.5
coalolduns,Aluminum,0.5
coal-igcc,Aluminum,0.5
cofireold,Aluminum,0.5
coal-ccs_mod,Aluminum,0.5
Coal-IGCC_coal-CCS_mod,Aluminum,0.5
coal-new_coal-CCS_mod,Aluminum,0.5
CoalOldScr_coal-CCS_mod,Aluminum,0.5
CoalOldUns_coal-CCS_mod,Aluminum,0.5
CofireNew_coal-CCS_mod,Aluminum,0.5
CofireOld_coal-CCS_mod,Aluminum,0.5
geohydro_allkm_1,Aluminum,0.0
geohydro_allkm_2,Aluminum,0.0
geohydro_allkm_3,Aluminum,0.0
geohydro_allkm_4,Aluminum,0.0
geohydro_allkm_5,Aluminum,0.0
geohydro_allkm_6,Aluminum,0.0
geohydro_allkm_7,Aluminum,0.0
geohydro_allkm_8,Aluminum,0.0
geohydro_allkm_9,Aluminum,0.0
egs_nearfield_1,Aluminum,0.0
egs_nearfield_2,Aluminum,0.0
egs_nearfield_3,Aluminum,0.0
egs_nearfield_4,Aluminum,0.0
egs_nearfield_5,Aluminum,0.0
egs_nearfield_6,Aluminum,0.0
egs_nearfield_7,Aluminum,0.0
egs_nearfield_8,Aluminum,0.0
egs_nearfield_9,Aluminum,0.0
hydD,Aluminum,3.4
hydND,Aluminum,3.4
hydSD,Aluminum,3.4
hydSND,Aluminum,3.4
hydUD,Aluminum,3.4
hydUND,Aluminum,3.4
hydNPD,Aluminum,3.4
hydNPND,Aluminum,3.4
hydED,Aluminum,3.4
hydEND,Aluminum,3.4
gas-cc,Aluminum,0.5
gas-ct,Aluminum,0.5
gas-cc-ccs_mod,Aluminum,0.5
Gas-CC_Gas-CC-CCS_mod,Aluminum,0.5
Gas-CC_H_1x1_Gas-CC_H_1x1-CCS_mod,Aluminum,0.5
Gas-CC_H_2x1_Gas-CC_H_2x1-CCS_mod,Aluminum,0.5
nuclear,Aluminum,0.108
nuclear-smr,Aluminum,0.108
o-g-s,Aluminum,0.5
csp1_1,Aluminum,36.6
csp1_2,Aluminum,36.6
csp1_3,Aluminum,36.6
csp1_4,Aluminum,36.6
csp1_5,Aluminum,36.6
csp1_6,Aluminum,36.6
csp1_7,Aluminum,36.6
csp1_8,Aluminum,36.6
csp1_9,Aluminum,36.6
csp1_10,Aluminum,36.6
csp1_11,Aluminum,36.6
csp2_1,Aluminum,36.6
csp2_2,Aluminum,36.6
csp2_3,Aluminum,36.6
csp2_4,Aluminum,36.6
csp2_5,Aluminum,36.6
csp2_6,Aluminum,36.6
csp2_7,Aluminum,36.6
csp2_8,Aluminum,36.6
csp2_9,Aluminum,36.6
csp2_10,Aluminum,36.6
csp2_11,Aluminum,36.6
csp3_1,Aluminum,36.6
csp3_2,Aluminum,36.6
csp3_3,Aluminum,36.6
csp3_4,Aluminum,36.6
csp3_5,Aluminum,36.6
csp3_6,Aluminum,36.6
csp3_7,Aluminum,36.6
csp3_8,Aluminum,36.6
csp3_9,Aluminum,36.6
csp3_10,Aluminum,36.6
csp3_11,Aluminum,36.6
csp4_1,Aluminum,36.6
csp4_2,Aluminum,36.6
csp4_3,Aluminum,36.6
csp4_4,Aluminum,36.6
csp4_5,Aluminum,36.6
csp4_6,Aluminum,36.6
csp4_7,Aluminum,36.6
csp4_8,Aluminum,36.6
csp4_9,Aluminum,36.6
csp4_10,Aluminum,36.6
csp4_11,Aluminum,36.6
upv_1,Aluminum,13.8
upv_2,Aluminum,13.8
upv_3,Aluminum,13.8
upv_4,Aluminum,13.8
upv_5,Aluminum,13.8
upv_6,Aluminum,13.8
upv_7,Aluminum,13.8
upv_8,Aluminum,13.8
upv_9,Aluminum,13.8
battery_li,Aluminum,0.6
