i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
battery_li,2010,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2011,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2012,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2013,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2014,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2015,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2016,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2017,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2018,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2019,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2020,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2021,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2022,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2023,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2024,361.34,234.01,9.03,5.85,0.0,0.85
battery_li,2025,346.12,199.76,8.65,4.99,0.0,0.85
battery_li,2026,330.89,165.5,8.27,4.14,0.0,0.85
battery_li,2027,326.23,155.01,8.16,3.88,0.0,0.85
battery_li,2028,321.56,144.51,8.04,3.61,0.0,0.85
battery_li,2029,316.9,134.01,7.92,3.35,0.0,0.85
battery_li,2030,312.23,123.51,7.81,3.09,0.0,0.85
battery_li,2031,307.56,113.01,7.69,2.83,0.0,0.85
battery_li,2032,302.9,102.52,7.57,2.56,0.0,0.85
battery_li,2033,298.23,92.02,7.46,2.3,0.0,0.85
battery_li,2034,293.57,81.52,7.34,2.04,0.0,0.85
battery_li,2035,288.9,71.02,7.22,1.78,0.0,0.85
battery_li,2036,287.87,68.7,7.2,1.72,0.0,0.85
battery_li,2037,286.84,66.39,7.17,1.66,0.0,0.85
battery_li,2038,285.81,64.07,7.15,1.6,0.0,0.85
battery_li,2039,284.78,61.75,7.12,1.54,0.0,0.85
battery_li,2040,283.75,59.44,7.09,1.49,0.0,0.85
battery_li,2041,282.72,57.12,7.07,1.43,0.0,0.85
battery_li,2042,281.69,54.8,7.04,1.37,0.0,0.85
battery_li,2043,280.66,52.49,7.02,1.31,0.0,0.85
battery_li,2044,279.63,50.17,6.99,1.25,0.0,0.85
battery_li,2045,278.6,47.85,6.97,1.2,0.0,0.85
battery_li,2046,277.57,45.54,6.94,1.14,0.0,0.85
battery_li,2047,276.54,43.22,6.91,1.08,0.0,0.85
battery_li,2048,275.51,40.9,6.89,1.02,0.0,0.85
battery_li,2049,274.48,38.59,6.86,0.96,0.0,0.85
battery_li,2050,273.45,36.27,6.84,0.91,0.0,0.85
battery_li,2051,272.94,35.11,6.82,0.88,0.0,0.85
battery_li,2052,272.43,33.95,6.81,0.85,0.0,0.85
battery_li,2053,271.91,32.79,6.8,0.82,0.0,0.85
battery_li,2054,271.4,31.63,6.78,0.79,0.0,0.85
battery_li,2055,270.88,30.48,6.77,0.76,0.0,0.85
battery_li,2056,270.37,29.32,6.76,0.73,0.0,0.85
battery_li,2057,269.85,28.16,6.75,0.7,0.0,0.85
battery_li,2058,269.34,27.0,6.73,0.68,0.0,0.85
battery_li,2059,268.82,25.84,6.72,0.65,0.0,0.85
battery_li,2060,268.31,24.68,6.71,0.62,0.0,0.85
