i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
battery_li,2010,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2011,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2012,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2013,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2014,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2015,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2016,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2017,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2018,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2019,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2020,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2021,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2022,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2023,469.74,304.21,11.74,7.61,0.0,0.85
battery_li,2024,361.34,234.01,9.03,5.85,0.0,0.85
battery_li,2025,367.55,247.99,9.19,6.2,0.0,0.85
battery_li,2026,373.77,261.97,9.34,6.55,0.0,0.85
battery_li,2027,372.62,259.39,9.32,6.48,0.0,0.85
battery_li,2028,371.47,256.81,9.29,6.42,0.0,0.85
battery_li,2029,370.33,254.23,9.26,6.36,0.0,0.85
battery_li,2030,369.18,251.65,9.23,6.29,0.0,0.85
battery_li,2031,368.03,249.06,9.2,6.23,0.0,0.85
battery_li,2032,366.88,246.48,9.17,6.16,0.0,0.85
battery_li,2033,365.74,243.9,9.14,6.1,0.0,0.85
battery_li,2034,364.59,241.32,9.11,6.03,0.0,0.85
battery_li,2035,363.44,238.74,9.09,5.97,0.0,0.85
battery_li,2036,362.62,236.88,9.07,5.92,0.0,0.85
battery_li,2037,361.79,235.03,9.04,5.88,0.0,0.85
battery_li,2038,360.97,233.17,9.02,5.83,0.0,0.85
battery_li,2039,360.14,231.32,9.0,5.78,0.0,0.85
battery_li,2040,359.32,229.47,8.98,5.74,0.0,0.85
battery_li,2041,358.5,227.61,8.96,5.69,0.0,0.85
battery_li,2042,357.67,225.76,8.94,5.64,0.0,0.85
battery_li,2043,356.85,223.9,8.92,5.6,0.0,0.85
battery_li,2044,356.02,222.05,8.9,5.55,0.0,0.85
battery_li,2045,355.2,220.19,8.88,5.5,0.0,0.85
battery_li,2046,354.38,218.34,8.86,5.46,0.0,0.85
battery_li,2047,353.55,216.49,8.84,5.41,0.0,0.85
battery_li,2048,352.73,214.63,8.82,5.37,0.0,0.85
battery_li,2049,351.9,212.78,8.8,5.32,0.0,0.85
battery_li,2050,351.08,210.92,8.78,5.27,0.0,0.85
