i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
battery_li,2010,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2011,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2012,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2013,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2014,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2015,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2016,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2017,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2018,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2019,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2020,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2021,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2022,377.89341,390.93,9.45228,9.77,0.0,0.85
battery_li,2023,469.74,304.21,11.7435,7.60525,0.0,0.85
battery_li,2024,361.34,234.01,9.0335,5.85025,0.0,0.85
battery_li,2025,356.28,222.63,8.907,5.56575,0.0,0.85
battery_li,2026,351.23,211.26,8.78075,5.2815,0.0,0.85
battery_li,2027,348.43,204.96,8.71075,5.124,0.0,0.85
battery_li,2028,345.63,198.65,8.64075,4.96625,0.0,0.85
battery_li,2029,342.83,192.35,8.57075,4.80875,0.0,0.85
battery_li,2030,340.02,186.05,8.5005,4.65125,0.0,0.85
battery_li,2031,337.22,179.75,8.4305,4.49375,0.0,0.85
battery_li,2032,334.42,173.44,8.3605,4.336,0.0,0.85
battery_li,2033,331.62,167.14,8.2905,4.1785,0.0,0.85
battery_li,2034,328.82,160.84,8.2205,4.021,0.0,0.85
battery_li,2035,326.02,154.54,8.1505,3.8635,0.0,0.85
battery_li,2036,324.35,150.78,8.10875,3.7695,0.0,0.85
battery_li,2037,322.68,147.02,8.067,3.6755,0.0,0.85
battery_li,2038,321.01,143.27,8.02525,3.58175,0.0,0.85
battery_li,2039,319.34,139.51,7.9835,3.48775,0.0,0.85
battery_li,2040,317.67,135.76,7.94175,3.394,0.0,0.85
battery_li,2041,316.0,132.0,7.9,3.3,0.0,0.85
battery_li,2042,314.33,128.25,7.85825,3.20625,0.0,0.85
battery_li,2043,312.66,124.49,7.8165,3.11225,0.0,0.85
battery_li,2044,310.99,120.73,7.77475,3.01825,0.0,0.85
battery_li,2045,309.33,116.98,7.73325,2.9245,0.0,0.85
battery_li,2046,307.66,113.22,7.6915,2.8305,0.0,0.85
battery_li,2047,305.99,109.47,7.64975,2.73675,0.0,0.85
battery_li,2048,304.32,105.71,7.608,2.64275,0.0,0.85
battery_li,2049,302.65,101.95,7.56625,2.54875,0.0,0.85
battery_li,2050,300.98,98.2,7.5245,2.455,0.0,0.85
battery_li,2051,300.15,96.32,7.50375,2.408,0.0,0.85
battery_li,2052,299.31,94.44,7.48275,2.361,0.0,0.85
battery_li,2053,298.48,92.57,7.462,2.31425,0.0,0.85
battery_li,2054,297.64,90.69,7.441,2.26725,0.0,0.85
battery_li,2055,296.81,88.81,7.42025,2.22025,0.0,0.85
battery_li,2056,295.97,86.93,7.39925,2.17325,0.0,0.85
battery_li,2057,295.14,85.05,7.3785,2.12625,0.0,0.85
battery_li,2058,294.3,83.18,7.3575,2.0795,0.0,0.85
battery_li,2059,293.47,81.3,7.33675,2.0325,0.0,0.85
battery_li,2060,292.63,79.42,7.31575,1.9855,0.0,0.85
