i,t,capcost,fom,vom,heatrate
beccs_max,2010,13940.634679,309.282799,9.52381,19.965
beccs_max,2011,13940.634679,309.282799,9.52381,19.965
beccs_max,2012,13940.634679,309.282799,9.52381,19.965
beccs_max,2013,13940.634679,309.282799,9.52381,19.965
beccs_max,2014,13940.634679,309.282799,9.52381,19.965
beccs_max,2015,13940.634679,309.282799,9.52381,19.965
beccs_max,2016,13940.634679,309.282799,9.52381,19.965
beccs_max,2017,13940.634679,309.282799,9.52381,19.965
beccs_max,2018,13940.634679,309.282799,9.52381,19.965
beccs_max,2019,13940.634679,309.282799,9.52381,19.965
beccs_max,2020,13940.634679,309.282799,9.52381,19.965
beccs_max,2021,13940.634679,309.282799,9.52381,19.965
beccs_max,2022,13940.634679,309.282799,9.52381,19.965
beccs_max,2023,13940.634679,309.282799,9.52381,19.965
beccs_max,2024,13762.049804,309.282799,9.52381,19.965
beccs_max,2025,13583.464929,309.282799,9.52381,19.965
beccs_max,2026,13404.880054,309.282799,9.52381,19.965
beccs_max,2027,13354.631607,309.282799,9.52381,19.965
beccs_max,2028,13218.576794,309.282799,9.52381,19.965
beccs_max,2029,13109.044357,309.282799,9.52381,19.965
beccs_max,2030,13002.926985,309.282799,9.52381,19.965
beccs_max,2031,12941.860281,309.282799,9.52381,19.965
beccs_max,2032,12886.286711,309.282799,9.52381,19.965
beccs_max,2033,12834.466239,309.282799,9.52381,19.965
beccs_max,2034,11996.07712,309.282799,9.52381,19.965
beccs_max,2035,11916.855742,309.282799,9.52381,19.965
beccs_max,2036,10911.9,309.282799,9.52381,19.965
beccs_max,2037,10465.979431,309.282799,9.52381,19.965
beccs_max,2038,10234.761727,309.282799,9.52381,19.965
beccs_max,2039,10091.146163,309.282799,9.52381,19.965
beccs_max,2040,10029.396985,309.282799,9.52381,19.965
beccs_max,2041,9967.802547,309.282799,9.52381,19.965
beccs_max,2042,9912.140435,309.282799,9.52381,19.965
beccs_max,2043,9855.309709,309.282799,9.52381,19.965
beccs_max,2044,9790.685134,309.282799,9.52381,19.965
beccs_max,2045,9733.656108,309.282799,9.52381,19.965
beccs_max,2046,9665.187894,309.282799,9.52381,19.965
beccs_max,2047,9592.704474,309.282799,9.52381,19.965
beccs_max,2048,9529.728024,309.282799,9.52381,19.965
beccs_max,2049,9470.918454,309.282799,9.52381,19.965
beccs_max,2050,9382.681432,309.282799,9.52381,19.965
beccs_max,2051,9294.44441,309.282799,9.52381,19.965
beccs_max,2052,9206.207389,309.282799,9.52381,19.965
beccs_max,2053,9117.970367,309.282799,9.52381,19.965
beccs_max,2054,9029.733345,309.282799,9.52381,19.965
beccs_max,2055,8941.496323,309.282799,9.52381,19.965
beccs_max,2056,8853.259301,309.282799,9.52381,19.965
beccs_max,2057,8765.022279,309.282799,9.52381,19.965
beccs_max,2058,8676.785257,309.282799,9.52381,19.965
beccs_max,2059,8588.548235,309.282799,9.52381,19.965
beccs_max,2060,8500.311213,309.282799,9.52381,19.965
beccs_mod,2010,13940.634679,309.282799,9.52381,19.965
beccs_mod,2011,13940.634679,309.282799,9.52381,19.965
beccs_mod,2012,13940.634679,309.282799,9.52381,19.965
beccs_mod,2013,13940.634679,309.282799,9.52381,19.965
beccs_mod,2014,13940.634679,309.282799,9.52381,19.965
beccs_mod,2015,13940.634679,309.282799,9.52381,19.965
beccs_mod,2016,13940.634679,309.282799,9.52381,19.965
beccs_mod,2017,13940.634679,309.282799,9.52381,19.965
beccs_mod,2018,13940.634679,309.282799,9.52381,19.965
beccs_mod,2019,13940.634679,309.282799,9.52381,19.965
beccs_mod,2020,13940.634679,309.282799,9.52381,19.965
beccs_mod,2021,13940.634679,309.282799,9.52381,19.965
beccs_mod,2022,13940.634679,309.282799,9.52381,19.965
beccs_mod,2023,13940.634679,309.282799,9.52381,19.965
beccs_mod,2024,13762.049804,309.282799,9.52381,19.965
beccs_mod,2025,13583.464929,309.282799,9.52381,19.965
beccs_mod,2026,13404.880054,309.282799,9.52381,19.965
beccs_mod,2027,13354.631607,309.282799,9.52381,19.965
beccs_mod,2028,13218.576794,309.282799,9.52381,19.965
beccs_mod,2029,13109.044357,309.282799,9.52381,19.965
beccs_mod,2030,13002.926985,309.282799,9.52381,19.965
beccs_mod,2031,12941.860281,309.282799,9.52381,19.965
beccs_mod,2032,12886.286711,309.282799,9.52381,19.965
beccs_mod,2033,12834.466239,309.282799,9.52381,19.965
beccs_mod,2034,11996.07712,309.282799,9.52381,19.965
beccs_mod,2035,11916.855742,309.282799,9.52381,19.965
beccs_mod,2036,10911.9,309.282799,9.52381,19.965
beccs_mod,2037,10465.979431,309.282799,9.52381,19.965
beccs_mod,2038,10234.761727,309.282799,9.52381,19.965
beccs_mod,2039,10091.146163,309.282799,9.52381,19.965
beccs_mod,2040,10029.396985,309.282799,9.52381,19.965
beccs_mod,2041,9967.802547,309.282799,9.52381,19.965
beccs_mod,2042,9912.140435,309.282799,9.52381,19.965
beccs_mod,2043,9855.309709,309.282799,9.52381,19.965
beccs_mod,2044,9790.685134,309.282799,9.52381,19.965
beccs_mod,2045,9733.656108,309.282799,9.52381,19.965
beccs_mod,2046,9665.187894,309.282799,9.52381,19.965
beccs_mod,2047,9592.704474,309.282799,9.52381,19.965
beccs_mod,2048,9529.728024,309.282799,9.52381,19.965
beccs_mod,2049,9470.918454,309.282799,9.52381,19.965
beccs_mod,2050,9382.681432,309.282799,9.52381,19.965
beccs_mod,2051,9294.44441,309.282799,9.52381,19.965
beccs_mod,2052,9206.207389,309.282799,9.52381,19.965
beccs_mod,2053,9117.970367,309.282799,9.52381,19.965
beccs_mod,2054,9029.733345,309.282799,9.52381,19.965
beccs_mod,2055,8941.496323,309.282799,9.52381,19.965
beccs_mod,2056,8853.259301,309.282799,9.52381,19.965
beccs_mod,2057,8765.022279,309.282799,9.52381,19.965
beccs_mod,2058,8676.785257,309.282799,9.52381,19.965
beccs_mod,2059,8588.548235,309.282799,9.52381,19.965
beccs_mod,2060,8500.311213,309.282799,9.52381,19.965
