i,t,capcost,fom,vom,heatrate
coal-CCS_mod,2010,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2011,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2012,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2013,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2014,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2015,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2016,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2017,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2018,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2019,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2020,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2021,9225.0576,131.868,15.8652,10.938
coal-CCS_mod,2022,9562.5,137.2,16.12,10.938
coal-CCS_mod,2023,9450,136.1,16.07,10.938
coal-CCS_mod,2024,9337.32,135,16.01,10.938
coal-CCS_mod,2025,9224.64,133.8,15.96,10.938
coal-CCS_mod,2026,9111.96,132.7,15.91,10.938
coal-CCS_mod,2027,8999.28,131.5,15.86,10.938
coal-CCS_mod,2028,8886.78,130.4,15.81,10.938
coal-CCS_mod,2029,8774.1,129.3,15.75,10.938
coal-CCS_mod,2030,8661.42,128.1,15.7,10.938
coal-CCS_mod,2031,8548.74,127,15.65,10.938
coal-CCS_mod,2032,8436.24,125.9,15.6,10.938
coal-CCS_mod,2033,8210.88,123.6,15.49,10.938
coal-CCS_mod,2034,8098.2,122.4,15.44,10.938
coal-CCS_mod,2035,8098.2,122.4,15.44,10.938
coal-CCS_mod,2036,8009.82,121.3,15.39,10.938
coal-CCS_mod,2037,7921.44,120.2,15.33,10.938
coal-CCS_mod,2038,7833.06,119,15.28,10.938
coal-CCS_mod,2039,7744.5,117.9,15.23,10.938
coal-CCS_mod,2040,7656.12,116.8,15.18,10.938
coal-CCS_mod,2041,7567.74,115.6,15.12,10.938
coal-CCS_mod,2042,7479.18,114.5,15.07,10.938
coal-CCS_mod,2043,7390.8,113.3,15.02,10.938
coal-CCS_mod,2044,7302.42,112.2,14.97,10.938
coal-CCS_mod,2045,7214.04,111.1,14.91,10.938
coal-CCS_mod,2046,7125.48,109.9,14.86,10.938
coal-CCS_mod,2047,7037.1,108.8,14.81,10.938
coal-CCS_mod,2048,6948.72,107.6,14.76,10.938
coal-CCS_mod,2049,6860.16,106.5,14.7,10.938
coal-CCS_mod,2050,6771.78,105.4,14.65,10.938
