i,t,capcost,fom,vom,heatrate
coal-CCS_mod,2010,5433.0,141.0,16.48,10.938
coal-CCS_mod,2011,5433.0,141.0,16.48,10.938
coal-CCS_mod,2012,5433.0,141.0,16.48,10.938
coal-CCS_mod,2013,5433.0,141.0,16.48,10.938
coal-CCS_mod,2014,5433.0,141.0,16.48,10.938
coal-CCS_mod,2015,5433.0,141.0,16.48,10.938
coal-CCS_mod,2016,5433.0,141.0,16.48,10.938
coal-CCS_mod,2017,5433.0,141.0,16.48,10.938
coal-CCS_mod,2018,5433.0,141.0,16.48,10.938
coal-CCS_mod,2019,5433.0,141.0,16.48,10.938
coal-CCS_mod,2020,5433.0,141.0,16.48,10.938
coal-CCS_mod,2021,5433.0,141.0,16.48,10.938
coal-CCS_mod,2022,5433.0,141.0,16.48,10.938
coal-CCS_mod,2023,5433.0,141.0,16.48,10.938
coal-CCS_mod,2024,5349.0,139.0,16.21,10.816
coal-CCS_mod,2025,5264.0,137.0,15.94,10.694
coal-CCS_mod,2026,5180.0,135.0,15.68,10.572
coal-CCS_mod,2027,5095.0,133.0,15.41,10.451
coal-CCS_mod,2028,5011.0,131.0,15.14,10.329
coal-CCS_mod,2029,4926.0,129.0,14.87,10.207
coal-CCS_mod,2030,4842.0,127.0,14.6,10.085
coal-CCS_mod,2031,4757.0,125.0,14.34,9.963
coal-CCS_mod,2032,4673.0,123.0,14.07,9.841
coal-CCS_mod,2033,4588.0,121.0,13.8,9.588
coal-CCS_mod,2034,4503.5,119.0,13.53,9.476
coal-CCS_mod,2035,4419.0,117.0,13.26,9.476
coal-CCS_mod,2036,4365.0,116.0,13.21,9.476
coal-CCS_mod,2037,4310.0,115.0,13.15,9.476
coal-CCS_mod,2038,4255.0,114.0,13.09,9.476
coal-CCS_mod,2039,4200.0,112.0,13.03,9.476
coal-CCS_mod,2040,4145.0,111.0,12.97,9.476
coal-CCS_mod,2041,4091.0,110.0,12.91,9.476
coal-CCS_mod,2042,4036.0,108.0,12.86,9.476
coal-CCS_mod,2043,3981.0,107.0,12.8,9.476
coal-CCS_mod,2044,3926.0,106.0,12.74,9.476
coal-CCS_mod,2045,3872.0,105.0,12.68,9.476
coal-CCS_mod,2046,3817.0,103.0,12.62,9.476
coal-CCS_mod,2047,3762.0,102.0,12.56,9.476
coal-CCS_mod,2048,3707.0,101.0,12.5,9.476
coal-CCS_mod,2049,3652.0,100.0,12.45,9.476
coal-CCS_mod,2050,3598.0,99.375,12.39,9.476
coal-CCS_mod,2051,3581.0,98.75,12.36,9.476
coal-CCS_mod,2052,3564.0,98.125,12.33,9.476
coal-CCS_mod,2053,3548.0,97.5,12.31,9.476
coal-CCS_mod,2054,3531.0,96.875,12.28,9.476
coal-CCS_mod,2055,3514.0,96.0,12.25,9.476
coal-CCS_mod,2056,3497.0,95.625,12.23,9.476
coal-CCS_mod,2057,3481.0,95.0,12.2,9.476
coal-CCS_mod,2058,3464.0,94.0,12.17,9.476
coal-CCS_mod,2059,3447.0,93.0,12.15,9.476
coal-CCS_mod,2060,3430.0,93.0,12.12,9.476
