i,t,capcost,fom,vom,heatrate
coal-CCS_mod,2010,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2011,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2012,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2013,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2014,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2015,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2016,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2017,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2018,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2019,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2020,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2021,5335.158308,137.274588,16.515673,10.938
coal-CCS_mod,2022,5530.312496,142.8252,16.78092,10.938
coal-CCS_mod,2023,5433.0,141.0,16.48,10.938
coal-CCS_mod,2024,5367.0,139.0,16.32,10.877
coal-CCS_mod,2025,5300.0,138.0,16.16,10.816
coal-CCS_mod,2026,5233.0,136.0,16.0,10.755
coal-CCS_mod,2027,5166.0,134.0,15.84,10.694
coal-CCS_mod,2028,5100.0,133.0,15.68,10.633
coal-CCS_mod,2029,5033.0,131.0,15.52,10.572
coal-CCS_mod,2030,4966.0,130.0,15.36,10.511
coal-CCS_mod,2031,4900.0,128.0,15.2,10.451
coal-CCS_mod,2032,4833.0,127.0,15.04,10.39
coal-CCS_mod,2033,4766.0,125.0,14.88,10.329
coal-CCS_mod,2034,4699.0,124.0,14.72,10.268
coal-CCS_mod,2035,4633.0,122.0,14.56,10.207
coal-CCS_mod,2036,4581.0,121.0,14.5,10.207
coal-CCS_mod,2037,4529.0,120.0,14.45,10.207
coal-CCS_mod,2038,4477.0,119.0,14.39,10.207
coal-CCS_mod,2039,4425.0,117.0,14.34,10.207
coal-CCS_mod,2040,4373.0,116.0,14.28,10.207
coal-CCS_mod,2041,4322.0,115.0,14.23,10.207
coal-CCS_mod,2042,4270.0,114.0,14.17,10.207
coal-CCS_mod,2043,4218.0,113.0,14.12,10.207
coal-CCS_mod,2044,4166.0,111.0,14.06,10.207
coal-CCS_mod,2045,4114.0,110.0,14.0,10.207
coal-CCS_mod,2046,4062.0,109.0,13.95,10.207
coal-CCS_mod,2047,4011.0,108.0,13.89,10.207
coal-CCS_mod,2048,3959.0,107.0,13.84,10.207
coal-CCS_mod,2049,3907.0,105.0,13.78,10.207
coal-CCS_mod,2050,3855.0,104.0,13.73,10.207
coal-CCS_mod,2051,3834.0,104.0,13.7,10.21
coal-CCS_mod,2052,3813.0,103.0,13.67,10.21
coal-CCS_mod,2053,3792.0,102.0,13.64,10.21
coal-CCS_mod,2054,3772.0,102.0,13.61,10.21
coal-CCS_mod,2055,3751.0,101.0,13.58,10.21
coal-CCS_mod,2056,3730.0,101.0,13.56,10.21
coal-CCS_mod,2057,3709.0,100.0,13.53,10.21
coal-CCS_mod,2058,3688.0,100.0,13.5,10.21
coal-CCS_mod,2059,3667.0,99.0,13.47,10.21
coal-CCS_mod,2060,3646.0,98.0,13.44,10.21
