i,t,capcost,fom,vom,heatrate
Coal-IGCC,2010,5556.5,166.8,16.59,8.308
Coal-IGCC,2011,5556.5,166.8,16.59,8.308
Coal-IGCC,2012,5556.5,166.8,16.59,8.308
Coal-IGCC,2013,5556.5,166.8,16.59,8.308
Coal-IGCC,2014,5556.5,166.8,16.59,8.308
Coal-IGCC,2015,5556.5,166.8,16.59,8.308
Coal-IGCC,2016,5556.5,166.8,16.59,8.308
Coal-IGCC,2017,5556.5,166.8,16.59,8.308
Coal-IGCC,2018,5556.5,166.8,16.59,8.308
Coal-IGCC,2019,5556.5,166.8,16.59,8.308
Coal-IGCC,2020,5556.5,166.8,16.59,8.308
Coal-IGCC,2021,5556.5,166.8,16.59,8.308
Coal-IGCC,2022,5556.5,166.8,16.59,8.308
Coal-IGCC,2023,5556.5,166.8,16.59,8.308
Coal-IGCC,2024,5545.3,166.5,16.57,8.308
Coal-IGCC,2025,5534.1,166.2,16.54,8.308
Coal-IGCC,2026,5522.9,165.9,16.52,8.308
Coal-IGCC,2027,5511.6,165.6,16.49,8.308
Coal-IGCC,2028,5500.4,165.3,16.47,8.308
Coal-IGCC,2029,5489.2,165.0,16.44,8.308
Coal-IGCC,2030,5478.0,164.7,16.41,8.308
Coal-IGCC,2031,5466.8,164.4,16.39,8.308
Coal-IGCC,2032,5455.6,164.1,16.36,8.308
Coal-IGCC,2033,5444.35,163.75,16.34,8.308
Coal-IGCC,2034,5433.125,163.425,16.315,8.308
Coal-IGCC,2035,5421.9,163.1,16.29,8.308
Coal-IGCC,2036,5410.7,162.8,16.26,8.308
Coal-IGCC,2037,5399.5,162.5,16.23,8.308
Coal-IGCC,2038,5388.3,162.2,16.21,8.308
Coal-IGCC,2039,5377.1,161.9,16.18,8.308
Coal-IGCC,2040,5365.8,161.6,16.16,8.308
Coal-IGCC,2041,5354.6,161.3,16.13,8.308
Coal-IGCC,2042,5343.4,161.0,16.11,8.308
Coal-IGCC,2043,5332.2,160.7,16.08,8.308
Coal-IGCC,2044,5321.0,160.4,16.05,8.308
Coal-IGCC,2045,5309.8,160.1,16.03,8.308
Coal-IGCC,2046,5298.6,159.8,16.0,8.308
Coal-IGCC,2047,5287.3,159.4,15.98,8.308
Coal-IGCC,2048,5276.1,159.1,15.95,8.308
Coal-IGCC,2049,5264.9,158.8,15.92,8.308
Coal-IGCC,2050,5253.7,158.5,15.9,8.308
Coal-new,2010,3271.0,89.0,9.37,8.49
Coal-new,2011,3271.0,89.0,9.37,8.49
Coal-new,2012,3271.0,89.0,9.37,8.49
Coal-new,2013,3271.0,89.0,9.37,8.49
Coal-new,2014,3271.0,89.0,9.37,8.49
Coal-new,2015,3271.0,89.0,9.37,8.49
Coal-new,2016,3271.0,89.0,9.37,8.49
Coal-new,2017,3271.0,89.0,9.37,8.49
Coal-new,2018,3271.0,89.0,9.37,8.49
Coal-new,2019,3271.0,89.0,9.37,8.49
Coal-new,2020,3271.0,89.0,9.37,8.49
