type,t,capcost,fom,vom
csp1,2010,10533.246553,87.062956,5.093048
csp1,2011,10533.246553,87.062956,5.093048
csp1,2012,10533.246553,87.062956,5.093048
csp1,2013,10533.246553,87.062956,5.093048
csp1,2014,10533.246553,87.062956,5.093048
csp1,2015,10533.246553,87.062956,5.093048
csp1,2016,10533.246553,87.062956,5.093048
csp1,2017,10533.246553,87.062956,5.093048
csp1,2018,10050.913869,87.062956,5.005071
csp1,2019,9582.955616,87.062956,5.005071
csp1,2020,9089.065141,87.062956,4.811023
csp1,2021,8595.174666,87.062956,4.616975
csp1,2022,8570.824107,87.062741,4.616963
csp1,2023,7920.268155,83.765907,4.442131
csp1,2024,7401.318411,79.014864,4.274145
csp1,2025,6882.368668,74.263822,4.106158
csp1,2026,6363.418925,69.51278,3.938171
csp1,2027,5844.469182,64.761738,3.770184
csp1,2028,5325.519438,60.010696,3.602197
csp1,2029,4806.569695,55.259654,3.43421
csp1,2030,4287.619952,50.508612,3.266224
csp1,2031,4234.024703,50.228009,3.266224
csp1,2032,4180.429453,49.947405,3.266224
csp1,2033,4126.834204,49.666802,3.266224
csp1,2034,4073.238954,49.386198,3.266224
csp1,2035,4019.643705,49.105595,3.266224
csp1,2036,3966.048456,48.824992,3.266224
csp1,2037,3912.453206,48.544388,3.266224
csp1,2038,3858.857957,48.263785,3.266224
csp1,2039,3805.262707,47.983181,3.266224
csp1,2040,3751.667458,47.702578,3.266224
csp1,2041,3698.072209,47.421975,3.266224
csp1,2042,3644.476959,47.141371,3.266224
csp1,2043,3590.88171,46.860768,3.266224
csp1,2044,3537.28646,46.580164,3.266224
csp1,2045,3483.691211,46.299561,3.266224
csp1,2046,3430.095962,46.018958,3.266224
csp1,2047,3376.500712,45.738354,3.266224
csp1,2048,3322.905463,45.457751,3.266224
csp1,2049,3269.310213,45.177147,3.266224
csp1,2050,3215.714964,44.896544,3.266224
csp1,2051,3195.616745,44.615941,3.266224
csp1,2052,3175.518527,44.335337,3.266224
csp1,2053,3155.420308,44.054734,3.266224
csp1,2054,3135.32209,43.77413,3.266224
csp1,2055,3115.223871,43.493527,3.266224
csp1,2056,3095.125653,43.212924,3.266224
csp1,2057,3075.027434,42.93232,3.266224
csp1,2058,3054.929216,42.651717,3.266224
csp1,2059,3034.830997,42.371113,3.266224
csp1,2060,3014.732779,42.09051,3.266224
csp2,2010,9392.442555,81.985657,5.093048
csp2,2011,9392.442555,81.985657,5.093048
csp2,2012,9392.442555,81.985657,5.093048
csp2,2013,9392.442555,81.985657,5.093048
csp2,2014,9392.442555,81.985657,5.093048
csp2,2015,9392.442555,81.985657,5.093048
csp2,2016,9392.442555,81.985657,5.093048
csp2,2017,9392.442555,81.985657,5.093048
csp2,2018,8958.772952,80.569434,5.005071
csp2,2019,7754.021762,78.186148,4.170921
csp2,2020,7711.931745,77.938072,4.145422
csp2,2021,7669.841728,77.689997,4.119924
csp2,2022,7648.131509,77.689997,4.119924
csp2,2023,7347.187528,77.704923,4.120716
csp2,2024,6865.787024,73.297648,3.964884
csp2,2025,6384.38652,68.890373,3.809052
csp2,2026,5902.986016,64.483099,3.65322
csp2,2027,5421.585512,60.075824,3.497388
csp2,2028,4940.185008,55.668549,3.341556
csp2,2029,4458.784504,51.261275,3.185724
csp2,2030,3977.384,46.854,3.029892
csp2,2031,3927.6667,46.5937,3.029892
csp2,2032,3877.9494,46.3334,3.029892
csp2,2033,3828.2321,46.0731,3.029892
csp2,2034,3778.5148,45.8128,3.029892
csp2,2035,3728.7975,45.5525,3.029892
csp2,2036,3679.0802,45.2922,3.029892
csp2,2037,3629.3629,45.0319,3.029892
csp2,2038,3579.6456,44.7716,3.029892
csp2,2039,3529.9283,44.5113,3.029892
csp2,2040,3480.211,44.251,3.029892
csp2,2041,3430.4937,43.9907,3.029892
csp2,2042,3380.7764,43.7304,3.029892
csp2,2043,3331.0591,43.4701,3.029892
csp2,2044,3281.3418,43.2098,3.029892
csp2,2045,3231.6245,42.9495,3.029892
csp2,2046,3181.9072,42.6892,3.029892
csp2,2047,3132.1899,42.4289,3.029892
csp2,2048,3082.4726,42.1686,3.029892
csp2,2049,3032.7553,41.9083,3.029892
csp2,2050,2983.038,41.648,3.029892
csp2,2051,2964.394012,41.3877,3.029892
csp2,2052,2945.750025,41.1274,3.029892
csp2,2053,2927.106037,40.8671,3.029892
csp2,2054,2908.46205,40.6068,3.029892
csp2,2055,2889.818062,40.3465,3.029892
csp2,2056,2871.174075,40.0862,3.029892
csp2,2057,2852.530087,39.8259,3.029892
csp2,2058,2833.8861,39.5656,3.029892
csp2,2059,2815.242112,39.3053,3.029892
csp2,2060,2796.598125,39.045,3.029892
csp3,2010,6639.720194,81.985657,5.093048
csp3,2011,6639.720194,81.985657,5.093048
csp3,2012,6639.720194,81.985657,5.093048
csp3,2013,6639.720194,81.985657,5.093048
csp3,2014,6639.720194,81.985657,5.093048
csp3,2015,6639.720194,81.985657,5.093048
csp3,2016,6639.720194,81.985657,5.093048
csp3,2017,6639.720194,81.985657,5.093048
csp3,2018,6548.860956,82.019684,5.095162
csp3,2019,6283.971584,82.019684,5.095162
csp3,2020,5862.495987,68.566659,4.008927
csp3,2021,5441.020391,55.113635,2.922693
csp3,2022,5424.705891,55.104359,2.9222
csp3,2023,6215.720648,65.738365,3.486125
csp3,2024,5808.455822,62.00981,3.354292
csp3,2025,5401.190996,58.281256,3.222458
csp3,2026,4993.926169,54.552701,3.090624
csp3,2027,4586.661343,50.824147,2.95879
