type,t,capcost,fom,vom
csp1,2010,10533.246553,87.062956,5.093048
csp1,2011,10533.246553,87.062956,5.093048
csp1,2012,10533.246553,87.062956,5.093048
csp1,2013,10533.246553,87.062956,5.093048
csp1,2014,10533.246553,87.062956,5.093048
csp1,2015,10533.246553,87.062956,5.093048
csp1,2016,10533.246553,87.062956,5.093048
csp1,2017,10533.246553,87.062956,5.093048
csp1,2018,10050.913869,87.062956,5.005071
csp1,2019,9582.955616,87.062956,5.005071
csp1,2020,9089.065141,87.062956,4.811023
csp1,2021,8595.174666,87.062956,4.616975
csp1,2022,8570.824107,87.062741,4.616963
csp1,2023,7920.268155,83.765907,4.442131
csp1,2024,7880.666814,83.765907,4.442131
csp1,2025,7841.26348,83.765907,4.442131
csp1,2026,7802.057162,83.765907,4.442131
csp1,2027,7763.046877,83.765907,4.442131
csp1,2028,7724.231642,83.765907,4.442131
csp1,2029,7685.610484,83.765907,4.442131
csp1,2030,7647.182432,83.765907,4.442131
csp1,2031,7608.946519,83.765907,4.442131
csp1,2032,7570.901787,83.765907,4.442131
csp1,2033,7533.047278,83.765907,4.442131
csp1,2034,7495.382042,83.765907,4.442131
csp1,2035,7457.905131,83.765907,4.442131
csp1,2036,7420.615606,83.765907,4.442131
csp1,2037,7383.512528,83.765907,4.442131
csp1,2038,7346.594965,83.765907,4.442131
csp1,2039,7309.86199,83.765907,4.442131
csp1,2040,7273.31268,83.765907,4.442131
csp1,2041,7236.946117,83.765907,4.442131
csp1,2042,7200.761386,83.765907,4.442131
csp1,2043,7164.757579,83.765907,4.442131
csp1,2044,7128.933791,83.765907,4.442131
csp1,2045,7093.289122,83.765907,4.442131
csp1,2046,7057.822677,83.765907,4.442131
csp1,2047,7022.533563,83.765907,4.442131
csp1,2048,6987.420896,83.765907,4.442131
csp1,2049,6952.483791,83.765907,4.442131
csp1,2050,6917.721372,83.765907,4.442131
csp2,2010,9392.442555,81.985657,5.093048
csp2,2011,9392.442555,81.985657,5.093048
csp2,2012,9392.442555,81.985657,5.093048
csp2,2013,9392.442555,81.985657,5.093048
csp2,2014,9392.442555,81.985657,5.093048
csp2,2015,9392.442555,81.985657,5.093048
csp2,2016,9392.442555,81.985657,5.093048
csp2,2017,9392.442555,81.985657,5.093048
csp2,2018,8958.772952,80.569434,5.005071
csp2,2019,7754.021762,78.186148,4.170921
csp2,2020,7711.931745,77.938072,4.145422
csp2,2021,7669.841728,77.689997,4.119924
csp2,2022,7648.131509,77.689997,4.119924
csp2,2023,7347.187528,77.704923,4.120716
csp2,2024,7310.45159,77.704923,4.120716
csp2,2025,7273.899332,77.704923,4.120716
csp2,2026,7237.529835,77.704923,4.120716
csp2,2027,7201.342186,77.704923,4.120716
csp2,2028,7165.335475,77.704923,4.120716
csp2,2029,7129.508798,77.704923,4.120716
csp2,2030,7093.861254,77.704923,4.120716
csp2,2031,7058.391948,77.704923,4.120716
csp2,2032,7023.099988,77.704923,4.120716
csp2,2033,6987.984488,77.704923,4.120716
csp2,2034,6953.044565,77.704923,4.120716
csp2,2035,6918.279343,77.704923,4.120716
csp2,2036,6883.687946,77.704923,4.120716
csp2,2037,6849.269506,77.704923,4.120716
csp2,2038,6815.023159,77.704923,4.120716
csp2,2039,6780.948043,77.704923,4.120716
csp2,2040,6747.043303,77.704923,4.120716
csp2,2041,6713.308086,77.704923,4.120716
csp2,2042,6679.741546,77.704923,4.120716
csp2,2043,6646.342838,77.704923,4.120716
csp2,2044,6613.111124,77.704923,4.120716
csp2,2045,6580.045568,77.704923,4.120716
csp2,2046,6547.14534,77.704923,4.120716
csp2,2047,6514.409614,77.704923,4.120716
csp2,2048,6481.837566,77.704923,4.120716
csp2,2049,6449.428378,77.704923,4.120716
csp2,2050,6417.181236,77.704923,4.120716
csp3,2010,6639.720194,81.985657,5.093048
csp3,2011,6639.720194,81.985657,5.093048
csp3,2012,6639.720194,81.985657,5.093048
csp3,2013,6639.720194,81.985657,5.093048
csp3,2014,6639.720194,81.985657,5.093048
csp3,2015,6639.720194,81.985657,5.093048
csp3,2016,6639.720194,81.985657,5.093048
csp3,2017,6639.720194,81.985657,5.093048
csp3,2018,6548.860956,82.019684,5.095162
csp3,2019,6283.971584,82.019684,5.095162
csp3,2020,5862.495987,68.566659,4.008927
csp3,2021,5441.020391,55.113635,2.922693
csp3,2022,5424.705891,55.104359,2.9222
csp3,2023,6215.720648,65.738365,3.486125
csp3,2024,6184.642045,65.738365,3.486125
csp3,2025,6153.718835,65.738365,3.486125
csp3,2026,6122.950241,65.738365,3.486125
csp3,2027,6092.335489,65.738365,3.486125
csp3,2028,6061.873812,65.738365,3.486125
csp3,2029,6031.564443,65.738365,3.486125
csp3,2030,6001.406621,65.738365,3.486125
csp3,2031,5971.399588,65.738365,3.486125
csp3,2032,5941.54259,65.738365,3.486125
csp3,2033,5911.834877,65.738365,3.486125
csp3,2034,5882.275702,65.738365,3.486125
csp3,2035,5852.864324,65.738365,3.486125
csp3,2036,5823.600002,65.738365,3.486125
csp3,2037,5794.482002,65.738365,3.486125
csp3,2038,5765.509592,65.738365,3.486125
csp3,2039,5736.682044,65.738365,3.486125
csp3,2040,5707.998634,65.738365,3.486125
csp3,2041,5679.458641,65.738365,3.486125
csp3,2042,5651.061348,65.738365,3.486125
csp3,2043,5622.806041,65.738365,3.486125
csp3,2044,5594.692011,65.738365,3.486125
csp3,2045,5566.718551,65.738365,3.486125
csp3,2046,5538.884958,65.738365,3.486125
csp3,2047,5511.190533,65.738365,3.486125
