type,t,capcost,fom,vom
csp1,2010,10533.246553,87.062956,5.093048
csp1,2011,10533.246553,87.062956,5.093048
csp1,2012,10533.246553,87.062956,5.093048
csp1,2013,10533.246553,87.062956,5.093048
csp1,2014,10533.246553,87.062956,5.093048
csp1,2015,10533.246553,87.062956,5.093048
csp1,2016,10533.246553,87.062956,5.093048
csp1,2017,10533.246553,87.062956,5.093048
csp1,2018,10050.913869,87.062956,5.005071
csp1,2019,9582.955616,87.062956,5.005071
csp1,2020,9089.065141,87.062956,4.811023
csp1,2021,8595.174666,87.062956,4.616975
csp1,2022,8570.824107,87.062741,4.616963
csp1,2023,7920.268155,83.765907,4.442131
csp1,2024,7554.447695,80.618312,4.288576
csp1,2025,7188.627236,77.470718,4.13502
csp1,2026,6822.806777,74.323124,3.981464
csp1,2027,6456.986318,71.17553,3.827908
csp1,2028,6091.165858,68.027936,3.674352
csp1,2029,5725.345399,64.880342,3.520797
csp1,2030,5359.52494,61.732748,3.367241
csp1,2031,5321.250636,61.564386,3.367241
csp1,2032,5282.976332,61.396024,3.367241
csp1,2033,5244.702029,61.227662,3.367241
csp1,2034,5206.427725,61.0593,3.367241
csp1,2035,5168.153421,60.890938,3.367241
csp1,2036,5129.879117,60.722576,3.367241
csp1,2037,5091.604814,60.554214,3.367241
csp1,2038,5053.33051,60.385852,3.367241
csp1,2039,5015.056206,60.21749,3.367241
csp1,2040,4976.781902,60.049128,3.367241
csp1,2041,4938.507599,59.880766,3.367241
csp1,2042,4900.233295,59.712404,3.367241
csp1,2043,4861.958991,59.544041,3.367241
csp1,2044,4823.684687,59.375679,3.367241
csp1,2045,4785.410384,59.207317,3.367241
csp1,2046,4747.13608,59.038955,3.367241
csp1,2047,4708.861776,58.870593,3.367241
csp1,2048,4670.587472,58.702231,3.367241
csp1,2049,4632.313169,58.533869,3.367241
csp1,2050,4594.038865,58.365507,3.367241
csp1,2051,4594.038865,58.365507,3.367241
csp1,2052,4594.038865,58.365507,3.367241
csp1,2053,4594.038865,58.365507,3.367241
csp1,2054,4594.038865,58.365507,3.367241
csp1,2055,4594.038865,58.365507,3.367241
csp1,2056,4594.038865,58.365507,3.367241
csp1,2057,4594.038865,58.365507,3.367241
csp1,2058,4594.038865,58.365507,3.367241
csp1,2059,4594.038865,58.365507,3.367241
csp1,2060,4594.038865,58.365507,3.367241
csp2,2010,9392.442555,81.985657,5.093048
csp2,2011,9392.442555,81.985657,5.093048
csp2,2012,9392.442555,81.985657,5.093048
csp2,2013,9392.442555,81.985657,5.093048
csp2,2014,9392.442555,81.985657,5.093048
csp2,2015,9392.442555,81.985657,5.093048
csp2,2016,9392.442555,81.985657,5.093048
csp2,2017,9392.442555,81.985657,5.093048
csp2,2018,8958.772952,80.569434,5.005071
csp2,2019,7754.021762,78.186148,4.170921
csp2,2020,7711.931745,77.938072,4.145422
csp2,2021,7669.841728,77.689997,4.119924
csp2,2022,7648.131509,77.689997,4.119924
csp2,2023,7347.187528,77.704923,4.120716
csp2,2024,7007.836452,74.785077,3.978271
csp2,2025,6668.485377,71.86523,3.835825
csp2,2026,6329.134301,68.945384,3.69338
csp2,2027,5989.783226,66.025538,3.550935
csp2,2028,5650.432151,63.105692,3.40849
csp2,2029,5311.081075,60.185846,3.266045
csp2,2030,4971.73,57.266,3.1236
csp2,2031,4936.22508,57.10982,3.1236
csp2,2032,4900.72016,56.95364,3.1236
csp2,2033,4865.21524,56.79746,3.1236
csp2,2034,4829.71032,56.64128,3.1236
csp2,2035,4794.2054,56.4851,3.1236
csp2,2036,4758.70048,56.32892,3.1236
csp2,2037,4723.19556,56.17274,3.1236
csp2,2038,4687.69064,56.01656,3.1236
csp2,2039,4652.18572,55.86038,3.1236
csp2,2040,4616.6808,55.7042,3.1236
csp2,2041,4581.17588,55.54802,3.1236
csp2,2042,4545.67096,55.39184,3.1236
csp2,2043,4510.16604,55.23566,3.1236
csp2,2044,4474.66112,55.07948,3.1236
csp2,2045,4439.1562,54.9233,3.1236
csp2,2046,4403.65128,54.76712,3.1236
csp2,2047,4368.14636,54.61094,3.1236
csp2,2048,4332.64144,54.45476,3.1236
csp2,2049,4297.13652,54.29858,3.1236
csp2,2050,4261.6316,54.1424,3.1236
csp2,2051,4261.6316,54.1424,3.1236
csp2,2052,4261.6316,54.1424,3.1236
csp2,2053,4261.6316,54.1424,3.1236
csp2,2054,4261.6316,54.1424,3.1236
csp2,2055,4261.6316,54.1424,3.1236
csp2,2056,4261.6316,54.1424,3.1236
csp2,2057,4261.6316,54.1424,3.1236
csp2,2058,4261.6316,54.1424,3.1236
csp2,2059,4261.6316,54.1424,3.1236
csp2,2060,4261.6316,54.1424,3.1236
csp3,2010,6639.720194,81.985657,5.093048
csp3,2011,6639.720194,81.985657,5.093048
csp3,2012,6639.720194,81.985657,5.093048
csp3,2013,6639.720194,81.985657,5.093048
csp3,2014,6639.720194,81.985657,5.093048
csp3,2015,6639.720194,81.985657,5.093048
csp3,2016,6639.720194,81.985657,5.093048
csp3,2017,6639.720194,81.985657,5.093048
csp3,2018,6548.860956,82.019684,5.095162
csp3,2019,6283.971584,82.019684,5.095162
csp3,2020,5862.495987,68.566659,4.008927
csp3,2021,5441.020391,55.113635,2.922693
csp3,2022,5424.705891,55.104359,2.9222
csp3,2023,6215.720648,65.738365,3.486125
csp3,2024,5928.629639,63.268175,3.365617
csp3,2025,5641.538629,60.797985,3.245108
csp3,2026,5354.447619,58.327795,3.1246
csp3,2027,5067.356609,55.857605,3.004091
