i,t,capcost,fom,vom,heatrate
ng-fuel-cell,2010,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2011,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2012,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2013,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2014,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2015,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2016,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2017,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2018,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2019,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2020,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2021,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2022,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2023,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2024,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2025,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2026,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2027,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2028,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2029,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2030,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2031,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2032,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2033,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2034,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2035,1393.0,39.7,7.52,5.543
ng-fuel-cell,2036,1380.8,39.4,7.43,5.504
ng-fuel-cell,2037,1368.5,39.1,7.34,5.465
ng-fuel-cell,2038,1356.3,38.9,7.26,5.425
ng-fuel-cell,2039,1344.0,38.6,7.17,5.386
ng-fuel-cell,2040,1331.8,38.3,7.09,5.347
ng-fuel-cell,2041,1319.5,38.0,7.0,5.308
ng-fuel-cell,2042,1307.3,37.7,6.91,5.269
ng-fuel-cell,2043,1295.0,37.4,6.83,5.23
ng-fuel-cell,2044,1282.8,37.1,6.74,5.191
ng-fuel-cell,2045,1270.6,36.8,6.66,5.152
ng-fuel-cell,2046,1258.3,36.5,6.57,5.113
ng-fuel-cell,2047,1246.1,36.2,6.48,5.074
ng-fuel-cell,2048,1233.8,35.9,6.4,5.035
ng-fuel-cell,2049,1221.6,35.6,6.31,4.995
ng-fuel-cell,2050,1209.3,35.4,6.23,4.956
ng-fuel-cell,2051,1205.4,35.3,6.2,4.956
ng-fuel-cell,2052,1201.4,35.2,6.17,4.956
ng-fuel-cell,2053,1197.4,35.1,6.15,4.956
ng-fuel-cell,2054,1193.4,35.0,6.12,4.956
ng-fuel-cell,2055,1189.4,34.9,6.09,4.956
ng-fuel-cell,2056,1185.4,34.8,6.07,4.956
ng-fuel-cell,2057,1181.4,34.7,6.04,4.956
ng-fuel-cell,2058,1177.5,34.6,6.01,4.956
ng-fuel-cell,2059,1173.5,34.5,5.99,4.956
ng-fuel-cell,2060,1169.5,34.4,5.96,4.956
