i,t,capcost,fom,vom,heatrate
ng-fuel-cell,2010,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2011,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2012,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2013,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2014,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2015,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2016,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2017,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2018,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2019,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2020,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2021,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2022,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2023,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2024,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2025,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2026,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2027,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2028,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2029,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2030,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2031,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2032,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2033,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2034,10408.958992,42.3687,8.10939,5.543
ng-fuel-cell,2035,1393.0,39.7,7.52,5.543
ng-fuel-cell,2036,1391.8,39.7,7.49,5.536
ng-fuel-cell,2037,1390.6,39.7,7.46,5.53
ng-fuel-cell,2038,1389.4,39.6,7.43,5.524
ng-fuel-cell,2039,1388.3,39.6,7.4,5.517
ng-fuel-cell,2040,1387.1,39.6,7.38,5.511
ng-fuel-cell,2041,1385.9,39.6,7.35,5.505
ng-fuel-cell,2042,1384.7,39.5,7.32,5.498
ng-fuel-cell,2043,1383.5,39.5,7.29,5.492
ng-fuel-cell,2044,1382.3,39.5,7.26,5.486
ng-fuel-cell,2045,1381.1,39.4,7.24,5.479
ng-fuel-cell,2046,1379.9,39.4,7.21,5.473
ng-fuel-cell,2047,1378.8,39.4,7.18,5.467
ng-fuel-cell,2048,1377.6,39.4,7.15,5.461
ng-fuel-cell,2049,1376.4,39.3,7.13,5.454
ng-fuel-cell,2050,1375.2,39.3,7.1,5.448
