i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2011,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2012,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2013,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2014,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2015,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2016,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2017,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2018,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2019,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2020,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2021,4629.636,68.796,5.0004,7.22
Gas-CC-CCS_mod,2022,4781.88,70.7,5.11,7.22
Gas-CC-CCS_mod,2023,4690.62,70.1,5.08,7.22
Gas-CC-CCS_mod,2024,4599.36,69.5,5.05,7.22
Gas-CC-CCS_mod,2025,4508.1,68.8,5.02,7.22
Gas-CC-CCS_mod,2026,4416.84,68.2,4.99,7.22
Gas-CC-CCS_mod,2027,4325.58,67.6,4.95,7.22
Gas-CC-CCS_mod,2028,4234.14,67,4.92,7.22
Gas-CC-CCS_mod,2029,4142.88,66.4,4.89,7.22
Gas-CC-CCS_mod,2030,4051.62,65.7,4.86,7.22
Gas-CC-CCS_mod,2031,3960.36,65.1,4.82,7.22
Gas-CC-CCS_mod,2032,3869.1,64.5,4.79,7.22
Gas-CC-CCS_mod,2033,3777.84,63.9,4.76,7.22
Gas-CC-CCS_mod,2034,3686.58,63.2,4.73,7.22
Gas-CC-CCS_mod,2035,3595.32,62.6,4.7,7.22
Gas-CC-CCS_mod,2036,3554.28,62,4.66,7.22
Gas-CC-CCS_mod,2037,3513.24,61.4,4.63,7.22
Gas-CC-CCS_mod,2038,3472.02,60.8,4.6,7.22
Gas-CC-CCS_mod,2039,3430.98,60.1,4.57,7.22
Gas-CC-CCS_mod,2040,3389.94,59.5,4.53,7.22
Gas-CC-CCS_mod,2041,3348.9,58.9,4.5,7.22
Gas-CC-CCS_mod,2042,3307.68,58.3,4.47,7.22
Gas-CC-CCS_mod,2043,3266.64,57.6,4.44,7.22
Gas-CC-CCS_mod,2044,3225.6,57,4.4,7.22
Gas-CC-CCS_mod,2045,3184.56,56.4,4.37,7.22
Gas-CC-CCS_mod,2046,3143.52,55.8,4.34,7.22
Gas-CC-CCS_mod,2047,3102.3,55.2,4.31,7.22
Gas-CC-CCS_mod,2048,3061.26,54.5,4.28,7.22
Gas-CC-CCS_mod,2049,3020.22,53.9,4.24,7.22
Gas-CC-CCS_mod,2050,2979.18,53.3,4.21,7.22
Gas-CC_H_1x1-CCS_mod,2010,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,5173.56,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,5343.66,78,5.3,6.848
Gas-CC_H_1x1-CCS_mod,2023,5262.3,77.3,5.27,6.848
Gas-CC_H_1x1-CCS_mod,2024,5180.94,76.6,5.23,6.848
Gas-CC_H_1x1-CCS_mod,2025,5099.58,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2026,5018.22,75.2,5.16,6.848
Gas-CC_H_1x1-CCS_mod,2027,4936.86,74.5,5.12,6.848
Gas-CC_H_1x1-CCS_mod,2028,4855.68,73.8,5.09,6.848
Gas-CC_H_1x1-CCS_mod,2029,4774.32,73.1,5.05,6.848
Gas-CC_H_1x1-CCS_mod,2030,4692.96,72.4,5.01,6.848
Gas-CC_H_1x1-CCS_mod,2031,4611.6,71.7,4.98,6.848
Gas-CC_H_1x1-CCS_mod,2032,4530.24,71,4.94,6.848
Gas-CC_H_1x1-CCS_mod,2033,4448.88,70.3,4.9,6.848
Gas-CC_H_1x1-CCS_mod,2034,4367.52,69.6,4.87,6.848
Gas-CC_H_1x1-CCS_mod,2035,4286.16,68.9,4.83,6.848
Gas-CC_H_1x1-CCS_mod,2036,4237.02,68.2,4.8,6.848
Gas-CC_H_1x1-CCS_mod,2037,4187.7,67.5,4.76,6.848
Gas-CC_H_1x1-CCS_mod,2038,4138.56,66.8,4.72,6.848
