i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2011,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2012,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2013,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2014,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2015,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2016,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2017,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2018,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2019,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2020,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2021,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2022,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2023,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2024,2724.0,72.3,5.29,7.172
Gas-CC-CCS_mod,2025,2628.4,69.7,5.13,7.109
Gas-CC-CCS_mod,2026,2532.9,67.1,4.97,7.045
Gas-CC-CCS_mod,2027,2437.3,64.5,4.81,6.982
Gas-CC-CCS_mod,2028,2341.7,61.9,4.65,6.918
Gas-CC-CCS_mod,2029,2246.1,59.4,4.49,6.855
Gas-CC-CCS_mod,2030,2150.5,56.8,4.33,6.791
Gas-CC-CCS_mod,2031,2054.9,54.2,4.17,6.728
Gas-CC-CCS_mod,2032,1959.3,51.6,4.01,6.664
Gas-CC-CCS_mod,2033,1863.7,49.0,3.85,6.601
Gas-CC-CCS_mod,2034,1768.1,46.4,3.69,6.537
Gas-CC-CCS_mod,2035,1672.5,43.9,3.53,6.474
Gas-CC-CCS_mod,2036,1638.1,43.0,3.48,6.474
Gas-CC-CCS_mod,2037,1603.7,42.2,3.44,6.474
Gas-CC-CCS_mod,2038,1569.2,41.3,3.39,6.474
Gas-CC-CCS_mod,2039,1534.8,40.5,3.35,6.474
Gas-CC-CCS_mod,2040,1500.4,39.7,3.31,6.474
Gas-CC-CCS_mod,2041,1466.0,38.8,3.26,6.474
Gas-CC-CCS_mod,2042,1431.6,38.0,3.22,6.474
Gas-CC-CCS_mod,2043,1397.1,37.1,3.18,6.474
Gas-CC-CCS_mod,2044,1362.7,36.3,3.13,6.474
Gas-CC-CCS_mod,2045,1328.3,35.5,3.09,6.474
Gas-CC-CCS_mod,2046,1293.9,34.6,3.05,6.474
Gas-CC-CCS_mod,2047,1259.5,33.8,3.0,6.474
Gas-CC-CCS_mod,2048,1225.0,32.9,2.96,6.474
Gas-CC-CCS_mod,2049,1190.6,32.1,2.91,6.474
Gas-CC-CCS_mod,2050,1156.2,31.3,2.87,6.474
Gas-CC-CCS_mod,2051,1147.3,31.0,2.86,6.474
Gas-CC-CCS_mod,2052,1138.3,30.8,2.84,6.474
Gas-CC-CCS_mod,2053,1129.4,30.6,2.83,6.474
Gas-CC-CCS_mod,2054,1120.5,30.4,2.82,6.474
Gas-CC-CCS_mod,2055,1111.6,30.1,2.8,6.474
Gas-CC-CCS_mod,2056,1102.7,29.9,2.79,6.474
Gas-CC-CCS_mod,2057,1093.7,29.7,2.78,6.474
Gas-CC-CCS_mod,2058,1084.8,29.5,2.76,6.474
Gas-CC-CCS_mod,2059,1075.9,29.2,2.75,6.474
Gas-CC-CCS_mod,2060,1067.0,29.0,2.74,6.474
Gas-CC_H_1x1-CCS_mod,2010,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2023,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2024,2684.4,71.2,5.11,6.819
Gas-CC_H_1x1-CCS_mod,2025,2637.8,70.0,5.03,6.791
Gas-CC_H_1x1-CCS_mod,2026,2591.1,68.7,4.94,6.762
Gas-CC_H_1x1-CCS_mod,2027,2544.5,67.5,4.86,6.734
Gas-CC_H_1x1-CCS_mod,2028,2497.9,66.3,4.77,6.705
Gas-CC_H_1x1-CCS_mod,2029,2451.3,65.0,4.69,6.677
Gas-CC_H_1x1-CCS_mod,2030,2404.6,63.8,4.6,6.648
Gas-CC_H_1x1-CCS_mod,2031,2358.0,62.6,4.52,6.62
Gas-CC_H_1x1-CCS_mod,2032,2311.4,61.3,4.43,6.591
Gas-CC_H_1x1-CCS_mod,2033,2264.7,60.1,4.35,6.563
Gas-CC_H_1x1-CCS_mod,2034,2218.1,58.8,4.26,6.534
Gas-CC_H_1x1-CCS_mod,2035,2171.5,57.6,4.18,6.506
Gas-CC_H_1x1-CCS_mod,2036,2126.7,56.5,4.12,6.506
Gas-CC_H_1x1-CCS_mod,2037,2082.0,55.4,4.06,6.506
Gas-CC_H_1x1-CCS_mod,2038,2037.2,54.3,4.01,6.506
Gas-CC_H_1x1-CCS_mod,2039,1992.5,53.2,3.95,6.506
Gas-CC_H_1x1-CCS_mod,2040,1947.8,52.1,3.89,6.506
Gas-CC_H_1x1-CCS_mod,2041,1903.0,51.1,3.84,6.506
Gas-CC_H_1x1-CCS_mod,2042,1858.3,50.0,3.78,6.506
Gas-CC_H_1x1-CCS_mod,2043,1813.5,48.9,3.72,6.506
Gas-CC_H_1x1-CCS_mod,2044,1768.8,47.8,3.67,6.506
Gas-CC_H_1x1-CCS_mod,2045,1724.1,46.7,3.61,6.506
Gas-CC_H_1x1-CCS_mod,2046,1679.3,45.6,3.55,6.506
Gas-CC_H_1x1-CCS_mod,2047,1634.6,44.5,3.5,6.506
