i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2011,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2012,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2013,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2014,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2015,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2016,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2017,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2018,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2019,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2020,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2021,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2022,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2023,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2024,2781.2,73.9,5.4,7.236
Gas-CC-CCS_mod,2025,2742.8,73.0,5.35,7.236
Gas-CC-CCS_mod,2026,2704.4,72.0,5.3,7.236
Gas-CC-CCS_mod,2027,2666.0,71.1,5.25,7.236
Gas-CC-CCS_mod,2028,2627.6,70.2,5.21,7.236
Gas-CC-CCS_mod,2029,2589.2,69.2,5.16,7.236
Gas-CC-CCS_mod,2030,2550.8,68.3,5.11,7.236
Gas-CC-CCS_mod,2031,2512.4,67.3,5.06,7.236
Gas-CC-CCS_mod,2032,2473.9,66.4,5.01,7.236
Gas-CC-CCS_mod,2033,2435.5,65.5,4.96,7.236
Gas-CC-CCS_mod,2034,2397.1,64.5,4.91,7.236
Gas-CC-CCS_mod,2035,2358.7,63.6,4.87,7.236
Gas-CC-CCS_mod,2036,2320.3,62.7,4.82,7.236
Gas-CC-CCS_mod,2037,2281.9,61.7,4.77,7.236
Gas-CC-CCS_mod,2038,2243.5,60.8,4.72,7.236
Gas-CC-CCS_mod,2039,2205.1,59.8,4.67,7.236
Gas-CC-CCS_mod,2040,2166.7,58.9,4.62,7.236
Gas-CC-CCS_mod,2041,2128.3,58.0,4.57,7.236
Gas-CC-CCS_mod,2042,2089.8,57.0,4.52,7.236
Gas-CC-CCS_mod,2043,2051.4,56.1,4.48,7.236
Gas-CC-CCS_mod,2044,2013.0,55.2,4.43,7.236
Gas-CC-CCS_mod,2045,1974.6,54.2,4.38,7.236
Gas-CC-CCS_mod,2046,1936.2,53.3,4.33,7.236
Gas-CC-CCS_mod,2047,1897.8,52.3,4.28,7.236
Gas-CC-CCS_mod,2048,1859.4,51.4,4.23,7.236
Gas-CC-CCS_mod,2049,1821.0,50.5,4.18,7.236
Gas-CC-CCS_mod,2050,1782.6,49.5,4.13,7.236
Gas-CC_H_1x1-CCS_mod,2010,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2023,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2024,2693.8,71.5,5.15,6.848
Gas-CC_H_1x1-CCS_mod,2025,2656.6,70.6,5.1,6.848
Gas-CC_H_1x1-CCS_mod,2026,2619.4,69.7,5.05,6.848
Gas-CC_H_1x1-CCS_mod,2027,2582.2,68.8,5.01,6.848
Gas-CC_H_1x1-CCS_mod,2028,2545.0,67.9,4.96,6.848
Gas-CC_H_1x1-CCS_mod,2029,2507.8,67.0,4.91,6.848
Gas-CC_H_1x1-CCS_mod,2030,2470.6,66.1,4.86,6.848
Gas-CC_H_1x1-CCS_mod,2031,2433.4,65.2,4.82,6.848
Gas-CC_H_1x1-CCS_mod,2032,2396.1,64.3,4.77,6.848
Gas-CC_H_1x1-CCS_mod,2033,2358.9,63.4,4.72,6.848
Gas-CC_H_1x1-CCS_mod,2034,2321.7,62.4,4.68,6.848
Gas-CC_H_1x1-CCS_mod,2035,2284.5,61.5,4.63,6.848
Gas-CC_H_1x1-CCS_mod,2036,2247.3,60.6,4.58,6.848
Gas-CC_H_1x1-CCS_mod,2037,2210.1,59.7,4.53,6.848
Gas-CC_H_1x1-CCS_mod,2038,2172.9,58.8,4.49,6.848
Gas-CC_H_1x1-CCS_mod,2039,2135.7,57.9,4.44,6.848
Gas-CC_H_1x1-CCS_mod,2040,2098.5,57.0,4.39,6.848
Gas-CC_H_1x1-CCS_mod,2041,2061.3,56.1,4.35,6.848
Gas-CC_H_1x1-CCS_mod,2042,2024.1,55.2,4.3,6.848
Gas-CC_H_1x1-CCS_mod,2043,1986.8,54.3,4.25,6.848
Gas-CC_H_1x1-CCS_mod,2044,1949.6,53.4,4.2,6.848
Gas-CC_H_1x1-CCS_mod,2045,1912.4,52.4,4.16,6.848
Gas-CC_H_1x1-CCS_mod,2046,1875.2,51.5,4.11,6.848
Gas-CC_H_1x1-CCS_mod,2047,1838.0,50.6,4.06,6.848
Gas-CC_H_1x1-CCS_mod,2048,1800.8,49.7,4.02,6.848
Gas-CC_H_1x1-CCS_mod,2049,1763.6,48.8,3.97,6.848
Gas-CC_H_1x1-CCS_mod,2050,1726.4,47.9,3.92,6.848
Gas-CC_H_2x1-CCS_mod,2010,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2011,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2012,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2013,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2014,2582.4,66.9,5.03,6.892
