i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2618.811426,32.531243,2.07342,6.5375
Gas-CC-CCS_mod,2011,2618.623698,32.531243,2.07342,6.518111
Gas-CC-CCS_mod,2012,2618.435969,32.531243,2.07342,6.498722
Gas-CC-CCS_mod,2013,2618.24824,32.531243,2.07342,6.479333
Gas-CC-CCS_mod,2014,2618.060511,32.531243,2.07342,6.459944
Gas-CC-CCS_mod,2015,2617.872782,32.531243,2.07342,6.440556
Gas-CC-CCS_mod,2016,2617.685053,32.531243,2.07342,6.421167
Gas-CC-CCS_mod,2017,2617.497324,32.531243,2.07342,6.401778
Gas-CC-CCS_mod,2018,2617.309595,32.531243,2.07342,6.382389
Gas-CC-CCS_mod,2019,2617.121866,32.531243,2.07342,6.363
Gas-CC-CCS_mod,2020,2615.923189,32.95877,2.048152,6.363
Gas-CC-CCS_mod,2021,2621.454191,34.965108,2.203589,6.363
Gas-CC-CCS_mod,2022,2707.661399,35.9145,2.25897,6.363
Gas-CC-CCS_mod,2023,2735.4,37.5,2.36,6.385
Gas-CC-CCS_mod,2024,2680.1,37.0,2.34,6.367
Gas-CC-CCS_mod,2025,3291.4,36.5,2.31,6.349
Gas-CC-CCS_mod,2026,3251.4,36.1,2.29,6.331
Gas-CC-CCS_mod,2027,3211.5,35.6,2.26,6.313
Gas-CC-CCS_mod,2028,3171.5,35.2,2.24,6.295
Gas-CC-CCS_mod,2029,3131.5,34.7,2.21,6.277
Gas-CC-CCS_mod,2030,3091.6,34.2,2.19,6.259
Gas-CC-CCS_mod,2031,3051.7,33.8,2.17,6.241
Gas-CC-CCS_mod,2032,3011.7,33.3,2.14,6.223
Gas-CC-CCS_mod,2033,2971.8,32.9,2.12,6.206
Gas-CC-CCS_mod,2034,2931.9,32.4,2.09,6.188
Gas-CC-CCS_mod,2035,2891.9,32.0,2.07,6.17
Gas-CC-CCS_mod,2036,2878.2,31.8,2.06,6.17
Gas-CC-CCS_mod,2037,2864.5,31.7,2.05,6.17
Gas-CC-CCS_mod,2038,2850.7,31.5,2.05,6.17
Gas-CC-CCS_mod,2039,2837.1,31.4,2.04,6.17
Gas-CC-CCS_mod,2040,2823.4,31.2,2.03,6.17
Gas-CC-CCS_mod,2041,2809.7,31.1,2.03,6.17
Gas-CC-CCS_mod,2042,2795.9,30.9,2.02,6.17
Gas-CC-CCS_mod,2043,2782.2,30.8,2.01,6.17
Gas-CC-CCS_mod,2044,2768.5,30.7,2.0,6.17
Gas-CC-CCS_mod,2045,2754.8,30.5,2.0,6.17
Gas-CC-CCS_mod,2046,2741.1,30.4,1.99,6.17
Gas-CC-CCS_mod,2047,2727.3,30.2,1.98,6.17
Gas-CC-CCS_mod,2048,2713.6,30.1,1.97,6.17
Gas-CC-CCS_mod,2049,2699.9,29.9,1.97,6.17
Gas-CC-CCS_mod,2050,2686.2,29.8,1.96,6.17
