i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2011,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2012,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2013,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2014,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2015,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2016,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2017,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2018,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2019,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2020,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2021,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2022,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2023,2819.6,74.9,5.45,7.236
Gas-CC-CCS_mod,2024,2752.6,73.1,5.34,7.204
Gas-CC-CCS_mod,2025,2685.6,71.3,5.24,7.172
Gas-CC-CCS_mod,2026,2618.6,69.6,5.14,7.141
Gas-CC-CCS_mod,2027,2551.6,67.8,5.03,7.109
Gas-CC-CCS_mod,2028,2484.6,66.1,4.93,7.077
Gas-CC-CCS_mod,2029,2417.6,64.3,4.82,7.045
Gas-CC-CCS_mod,2030,2350.6,62.5,4.72,7.014
Gas-CC-CCS_mod,2031,2283.6,60.8,4.61,6.982
Gas-CC-CCS_mod,2032,2216.6,59.0,4.51,6.95
Gas-CC-CCS_mod,2033,2149.6,57.2,4.4,6.918
Gas-CC-CCS_mod,2034,2082.6,55.5,4.3,6.887
Gas-CC-CCS_mod,2035,2015.6,53.7,4.2,6.855
Gas-CC-CCS_mod,2036,1979.2,52.8,4.15,6.855
Gas-CC-CCS_mod,2037,1942.8,52.0,4.1,6.855
Gas-CC-CCS_mod,2038,1906.4,51.1,4.06,6.855
Gas-CC-CCS_mod,2039,1869.9,50.2,4.01,6.855
Gas-CC-CCS_mod,2040,1833.5,49.3,3.96,6.855
Gas-CC-CCS_mod,2041,1797.1,48.4,3.92,6.855
Gas-CC-CCS_mod,2042,1760.7,47.5,3.87,6.855
Gas-CC-CCS_mod,2043,1724.3,46.6,3.83,6.855
Gas-CC-CCS_mod,2044,1687.9,45.7,3.78,6.855
Gas-CC-CCS_mod,2045,1651.5,44.8,3.73,6.855
Gas-CC-CCS_mod,2046,1615.0,43.9,3.69,6.855
Gas-CC-CCS_mod,2047,1578.6,43.1,3.64,6.855
Gas-CC-CCS_mod,2048,1542.2,42.2,3.6,6.855
Gas-CC-CCS_mod,2049,1505.8,41.3,3.55,6.855
Gas-CC-CCS_mod,2050,1469.4,40.4,3.5,6.855
Gas-CC_H_1x1-CCS_mod,2010,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2023,2731.0,72.4,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2024,2689.1,71.4,5.13,6.834
Gas-CC_H_1x1-CCS_mod,2025,2647.2,70.3,5.06,6.819
Gas-CC_H_1x1-CCS_mod,2026,2605.3,69.2,5.0,6.805
Gas-CC_H_1x1-CCS_mod,2027,2563.4,68.2,4.93,6.791
Gas-CC_H_1x1-CCS_mod,2028,2521.4,67.1,4.87,6.777
Gas-CC_H_1x1-CCS_mod,2029,2479.5,66.0,4.8,6.762
Gas-CC_H_1x1-CCS_mod,2030,2437.6,64.9,4.73,6.748
Gas-CC_H_1x1-CCS_mod,2031,2395.7,63.9,4.67,6.734
Gas-CC_H_1x1-CCS_mod,2032,2353.8,62.8,4.6,6.72
Gas-CC_H_1x1-CCS_mod,2033,2311.8,61.7,4.54,6.705
Gas-CC_H_1x1-CCS_mod,2034,2269.9,60.6,4.47,6.691
Gas-CC_H_1x1-CCS_mod,2035,2228.0,59.6,4.4,6.677
Gas-CC_H_1x1-CCS_mod,2036,2187.0,58.6,4.35,6.677
Gas-CC_H_1x1-CCS_mod,2037,2146.0,57.6,4.3,6.677
Gas-CC_H_1x1-CCS_mod,2038,2105.1,56.6,4.25,6.677
Gas-CC_H_1x1-CCS_mod,2039,2064.1,55.6,4.2,6.677
Gas-CC_H_1x1-CCS_mod,2040,2023.1,54.6,4.14,6.677
Gas-CC_H_1x1-CCS_mod,2041,1982.1,53.6,4.09,6.677
Gas-CC_H_1x1-CCS_mod,2042,1941.2,52.6,4.04,6.677
Gas-CC_H_1x1-CCS_mod,2043,1900.2,51.6,3.99,6.677
Gas-CC_H_1x1-CCS_mod,2044,1859.2,50.6,3.94,6.677
Gas-CC_H_1x1-CCS_mod,2045,1818.2,49.6,3.88,6.677
Gas-CC_H_1x1-CCS_mod,2046,1777.3,48.6,3.83,6.677
Gas-CC_H_1x1-CCS_mod,2047,1736.3,47.6,3.78,6.677
Gas-CC_H_1x1-CCS_mod,2048,1695.3,46.6,3.73,6.677
Gas-CC_H_1x1-CCS_mod,2049,1654.3,45.6,3.68,6.677
Gas-CC_H_1x1-CCS_mod,2050,1613.4,44.6,3.62,6.677
Gas-CC_H_2x1-CCS_mod,2010,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2011,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2012,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2013,2582.4,66.9,5.03,6.892
Gas-CC_H_2x1-CCS_mod,2014,2582.4,66.9,5.03,6.892
