i,t,capcost,fom,vom,heatrate
Gas-CC,2010,1188.045751,32.531243,2.07342,6.5375
Gas-CC,2011,1183.279271,32.531243,2.07342,6.518111
Gas-CC,2012,1178.512788,32.531243,2.07342,6.498722
Gas-CC,2013,1173.746306,32.531243,2.07342,6.479333
Gas-CC,2014,1168.979823,32.531243,2.07342,6.459944
Gas-CC,2015,1164.21334,32.531243,2.07342,6.440556
Gas-CC,2016,1159.446858,32.531243,2.07342,6.421167
Gas-CC,2017,1154.680375,32.531243,2.07342,6.401778
Gas-CC,2018,1149.913892,32.531243,2.07342,6.382389
Gas-CC,2019,1145.14741,32.531243,2.07342,6.363
Gas-CC,2020,1114.712688,32.95877,2.048152,6.363
Gas-CC,2021,1255.146191,34.965108,2.203589,6.363
Gas-CC,2022,1296.461399,35.9145,2.25897,6.363
Gas-CC,2023,1364.2,37.5,2.36,6.385
Gas-CC,2024,1348.8,37.0,2.34,6.367
Gas-CC,2025,2400,36.5,2.31,6.349
Gas-CC,2026,2400,36.1,2.29,6.331
Gas-CC,2027,2400,35.6,2.26,6.313
Gas-CC,2028,2400,35.2,2.24,6.295
Gas-CC,2029,2400,34.7,2.21,6.277
Gas-CC,2030,2400,34.2,2.19,6.259
Gas-CC,2031,2400,33.8,2.17,6.241
Gas-CC,2032,2400,33.3,2.14,6.223
Gas-CC,2033,2400,32.9,2.12,6.206
Gas-CC,2034,2400,32.4,2.09,6.188
Gas-CC,2035,2400,32.0,2.07,6.17
Gas-CC,2036,2400,31.8,2.06,6.17
Gas-CC,2037,2400,31.7,2.05,6.17
Gas-CC,2038,2400,31.5,2.05,6.17
Gas-CC,2039,2400,31.4,2.04,6.17
Gas-CC,2040,2400,31.2,2.03,6.17
Gas-CC,2041,2400,31.1,2.03,6.17
Gas-CC,2042,2400,30.9,2.02,6.17
Gas-CC,2043,2400,30.8,2.01,6.17
Gas-CC,2044,2400,30.7,2.0,6.17
Gas-CC,2045,2400,30.5,2.0,6.17
Gas-CC,2046,2400,30.4,1.99,6.17
Gas-CC,2047,2400,30.2,1.98,6.17
Gas-CC,2048,2400,30.1,1.97,6.17
Gas-CC,2049,2400,29.9,1.97,6.17
Gas-CC,2050,2400,29.8,1.96,6.17
Gas-CC,2051,2400,29.7,1.95,6.17
Gas-CC,2052,2400,29.7,1.95,6.17
Gas-CC,2053,2400,29.6,1.95,6.17
Gas-CC,2054,2400,29.5,1.94,6.17
Gas-CC,2055,2400,29.5,1.94,6.17
Gas-CC,2056,2400,29.4,1.94,6.17
Gas-CC,2057,2400,29.3,1.93,6.17
Gas-CC,2058,2400,29.3,1.93,6.17
Gas-CC,2059,2400,29.2,1.93,6.17
Gas-CC,2060,2400,29.1,1.92,6.17
Gas-CT,2010,1103.440689,24.904871,5.886606,10.2225
Gas-CT,2011,1093.907724,24.904871,5.886606,10.166333
Gas-CT,2012,1084.374759,24.904871,5.886606,10.110167
Gas-CT,2013,1074.841794,24.904871,5.886606,10.054
Gas-CT,2014,1065.30883,24.904871,5.886606,9.997833
Gas-CT,2015,1055.775865,24.904871,5.886606,9.941667
Gas-CT,2016,1046.242899,24.904871,5.886606,9.8855
Gas-CT,2017,1036.709934,24.904871,5.886606,9.829333
Gas-CT,2018,1027.17697,24.904871,5.886606,9.773167
Gas-CT,2019,1017.644005,24.904871,5.886606,9.717
Gas-CT,2020,989.940201,24.719078,5.814869,9.717
Gas-CT,2021,1127.203127,26.98272,7.240363,9.717
Gas-CT,2022,1155.926399,27.1701,7.22454,9.717
Gas-CT,2023,1119.6,26.8,8.5,9.717
Gas-CT,2024,1112.7,26.7,8.5,9.717
Gas-CT,2025,1500,26.6,8.5,9.717
Gas-CT,2026,1500,26.5,8.5,9.717
Gas-CT,2027,1500,26.4,8.5,9.717
Gas-CT,2028,1500,26.3,8.5,9.717
Gas-CT,2029,1500,26.2,8.5,9.717
Gas-CT,2030,1500,26.0,8.5,9.717
Gas-CT,2031,1500,25.9,8.5,9.717
Gas-CT,2032,1500,25.8,8.5,9.717
Gas-CT,2033,1500,25.7,8.5,9.717
Gas-CT,2034,1500,25.6,8.5,9.717
Gas-CT,2035,1500,25.5,8.5,9.717
Gas-CT,2036,1500,25.4,8.5,9.717
Gas-CT,2037,1500,25.2,8.5,9.717
Gas-CT,2038,1500,25.1,8.5,9.717
Gas-CT,2039,1500,25.0,8.5,9.717
Gas-CT,2040,1500,24.9,8.5,9.717
Gas-CT,2041,1500,24.8,8.5,9.717
Gas-CT,2042,1500,24.7,8.5,9.717
Gas-CT,2043,1500,24.6,8.5,9.717
Gas-CT,2044,1500,24.4,8.5,9.717
Gas-CT,2045,1500,24.3,8.5,9.717
Gas-CT,2046,1500,24.2,8.5,9.717
Gas-CT,2047,1500,24.1,8.5,9.717
Gas-CT,2048,1500,24.0,8.5,9.717
Gas-CT,2049,1500,23.9,8.5,9.717
Gas-CT,2050,1500,23.8,8.5,9.717
Gas-CT,2051,1500,23.7,8.5,9.717
Gas-CT,2052,1500,23.6,8.5,9.717
Gas-CT,2053,1500,23.6,8.5,9.717
Gas-CT,2054,1500,23.5,8.5,9.717
Gas-CT,2055,1500,23.5,8.5,9.717
Gas-CT,2056,1500,23.4,8.5,9.717
Gas-CT,2057,1500,23.4,8.5,9.717
Gas-CT,2058,1500,23.3,8.5,9.717
Gas-CT,2059,1500,23.3,8.5,9.717
Gas-CT,2060,1500,23.2,8.5,9.717
