i,t,capcost,fom,vom,heatrate
H2-CC,2010,1306.850326,32.531243,2.07342,6.5375
H2-CC,2011,1301.607198,32.531243,2.07342,6.518111
H2-CC,2012,1296.364067,32.531243,2.07342,6.498722
H2-CC,2013,1291.120937,32.531243,2.07342,6.479333
H2-CC,2014,1285.877805,32.531243,2.07342,6.459944
H2-CC,2015,1280.634674,32.531243,2.07342,6.440556
H2-CC,2016,1275.391544,32.531243,2.07342,6.421167
H2-CC,2017,1270.148413,32.531243,2.07342,6.401778
H2-CC,2018,1264.905281,32.531243,2.07342,6.382389
H2-CC,2019,1259.662151,32.531243,2.07342,6.363
H2-CC,2020,1226.183957,32.95877,2.048152,6.363
H2-CC,2021,1380.66081,34.965108,2.203589,6.363
H2-CC,2022,1426.107539,35.9145,2.25897,6.363
H2-CC,2023,1500.62,37.5,2.36,6.385
H2-CC,2024,1483.68,37,2.34,6.367
H2-CC,2025,1466.63,36.5,2.31,6.349
H2-CC,2026,1449.69,36.1,2.29,6.331
H2-CC,2027,1432.64,35.6,2.26,6.313
H2-CC,2028,1415.7,35.2,2.24,6.295
H2-CC,2029,1398.76,34.7,2.21,6.277
H2-CC,2030,1381.71,34.2,2.19,6.259
H2-CC,2031,1364.77,33.8,2.17,6.241
H2-CC,2032,1347.72,33.3,2.14,6.223
H2-CC,2033,1330.78,32.9,2.12,6.206
H2-CC,2034,1313.73,32.4,2.09,6.188
H2-CC,2035,1296.79,32,2.07,6.17
H2-CC,2036,1290.3,31.8,2.06,6.17
H2-CC,2037,1283.92,31.7,2.05,6.17
H2-CC,2038,1277.43,31.5,2.05,6.17
H2-CC,2039,1270.94,31.4,2.04,6.17
H2-CC,2040,1264.56,31.2,2.03,6.17
H2-CC,2041,1258.07,31.1,2.03,6.17
H2-CC,2042,1251.58,30.9,2.02,6.17
H2-CC,2043,1245.2,30.8,2.01,6.17
H2-CC,2044,1238.71,30.7,2,6.17
H2-CC,2045,1232.22,30.5,2,6.17
H2-CC,2046,1225.84,30.4,1.99,6.17
H2-CC,2047,1219.35,30.2,1.98,6.17
H2-CC,2048,1212.86,30.1,1.97,6.17
H2-CC,2049,1206.48,29.9,1.97,6.17
H2-CC,2050,1199.99,29.8,1.96,6.17
H2-CC,2051,1196.91,29.7,1.95,6.17
H2-CC,2052,1193.94,29.7,1.95,6.17
H2-CC,2053,1190.86,29.6,1.95,6.17
H2-CC,2054,1187.89,29.5,1.94,6.17
H2-CC,2055,1184.81,29.5,1.94,6.17
H2-CC,2056,1181.84,29.4,1.94,6.17
H2-CC,2057,1178.76,29.3,1.93,6.17
H2-CC,2058,1175.68,29.3,1.93,6.17
H2-CC,2059,1172.71,29.2,1.93,6.17
H2-CC,2060,1169.63,29.1,1.92,6.17
H2-CT,2010,1213.784758,24.904871,5.886606,10.2225
H2-CT,2011,1203.298496,24.904871,5.886606,10.166333
H2-CT,2012,1192.812235,24.904871,5.886606,10.110167
H2-CT,2013,1182.325973,24.904871,5.886606,10.054
H2-CT,2014,1171.839713,24.904871,5.886606,9.997833
H2-CT,2015,1161.353452,24.904871,5.886606,9.941667
H2-CT,2016,1150.867189,24.904871,5.886606,9.8855
H2-CT,2017,1140.380927,24.904871,5.886606,9.829333
H2-CT,2018,1129.894667,24.904871,5.886606,9.773167
H2-CT,2019,1119.408406,24.904871,5.886606,9.717
H2-CT,2020,1088.934221,24.719078,5.814869,9.717
H2-CT,2021,1239.92344,26.98272,7.240363,9.717
H2-CT,2022,1271.519039,27.1701,7.22454,9.717
H2-CT,2023,1231.56,26.8,8.5,9.717
H2-CT,2024,1223.97,26.7,8.5,9.717
H2-CT,2025,1216.38,26.6,8.5,9.717
H2-CT,2026,1208.79,26.5,8.5,9.717
H2-CT,2027,1201.2,26.4,8.5,9.717
H2-CT,2028,1193.61,26.3,8.5,9.717
H2-CT,2029,1186.02,26.2,8.5,9.717
H2-CT,2030,1178.43,26,8.5,9.717
H2-CT,2031,1170.84,25.9,8.5,9.717
H2-CT,2032,1163.36,25.8,8.5,9.717
H2-CT,2033,1155.77,25.7,8.5,9.717
H2-CT,2034,1148.18,25.6,8.5,9.717
H2-CT,2035,1140.59,25.5,8.5,9.717
H2-CT,2036,1133,25.4,8.5,9.717
H2-CT,2037,1125.41,25.2,8.5,9.717
H2-CT,2038,1117.82,25.1,8.5,9.717
H2-CT,2039,1110.23,25,8.5,9.717
H2-CT,2040,1102.75,24.9,8.5,9.717
H2-CT,2041,1095.16,24.8,8.5,9.717
H2-CT,2042,1087.57,24.7,8.5,9.717
H2-CT,2043,1079.98,24.6,8.5,9.717
H2-CT,2044,1072.39,24.4,8.5,9.717
H2-CT,2045,1064.8,24.3,8.5,9.717
H2-CT,2046,1057.21,24.2,8.5,9.717
H2-CT,2047,1049.62,24.1,8.5,9.717
H2-CT,2048,1042.14,24,8.5,9.717
H2-CT,2049,1034.55,23.9,8.5,9.717
H2-CT,2050,1026.96,23.8,8.5,9.717
H2-CT,2051,1023.55,23.7,8.5,9.717
H2-CT,2052,1020.14,23.6,8.5,9.717
H2-CT,2053,1016.73,23.6,8.5,9.717
H2-CT,2054,1013.32,23.5,8.5,9.717
H2-CT,2055,1009.91,23.5,8.5,9.717
H2-CT,2056,1006.5,23.4,8.5,9.717
H2-CT,2057,1003.09,23.4,8.5,9.717
H2-CT,2058,999.68,23.3,8.5,9.717
H2-CT,2059,996.27,23.3,8.5,9.717
H2-CT,2060,992.86,23.2,8.5,9.717
