i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,99999.0,136.0,2.6,9.18
Nuclear-SMR,2011,99999.0,136.0,2.6,9.18
Nuclear-SMR,2012,99999.0,136.0,2.6,9.18
Nuclear-SMR,2013,99999.0,136.0,2.6,9.18
Nuclear-SMR,2014,99999.0,136.0,2.6,9.18
Nuclear-SMR,2015,99999.0,136.0,2.6,9.18
Nuclear-SMR,2016,99999.0,136.0,2.6,9.18
Nuclear-SMR,2017,99999.0,136.0,2.6,9.18
Nuclear-SMR,2018,99999.0,136.0,2.6,9.18
Nuclear-SMR,2019,99999.0,136.0,2.6,9.18
Nuclear-SMR,2020,99999.0,136.0,2.6,9.18
Nuclear-SMR,2021,99999.0,136.0,2.6,9.18
Nuclear-SMR,2022,99999.0,136.0,2.6,9.18
Nuclear-SMR,2023,99999.0,136.0,2.6,9.18
Nuclear-SMR,2024,99999.0,136.0,2.6,9.18
Nuclear-SMR,2025,99999.0,136.0,2.6,9.18
Nuclear-SMR,2026,99999.0,136.0,2.6,9.18
Nuclear-SMR,2027,99999.0,136.0,2.6,9.18
Nuclear-SMR,2028,99999.0,136.0,2.6,9.18
Nuclear-SMR,2029,99999.0,136.0,2.6,9.18
Nuclear-SMR,2030,7750.0,136.0,2.6,9.18
Nuclear-SMR,2031,7450.0,136.0,2.6,9.18
Nuclear-SMR,2032,7150.0,136.0,2.6,9.18
Nuclear-SMR,2033,6850.0,136.0,2.6,9.18
Nuclear-SMR,2034,6550.0,136.0,2.6,9.18
Nuclear-SMR,2035,6250.0,136.0,2.6,9.18
Nuclear-SMR,2036,6000.0,136.0,2.6,9.18
Nuclear-SMR,2037,5750.0,136.0,2.6,9.18
Nuclear-SMR,2038,5500.0,136.0,2.6,9.18
Nuclear-SMR,2039,5250.0,136.0,2.6,9.18
Nuclear-SMR,2040,5000.0,136.0,2.6,9.18
Nuclear-SMR,2041,4900.0,136.0,2.6,9.18
Nuclear-SMR,2042,4800.0,136.0,2.6,9.18
Nuclear-SMR,2043,4700.0,136.0,2.6,9.18
Nuclear-SMR,2044,4600.0,136.0,2.6,9.18
Nuclear-SMR,2045,4500.0,136.0,2.6,9.18
Nuclear-SMR,2046,4400.0,136.0,2.6,9.18
Nuclear-SMR,2047,4300.0,136.0,2.6,9.18
Nuclear-SMR,2048,4200.0,136.0,2.6,9.18
Nuclear-SMR,2049,4100.0,136.0,2.6,9.18
Nuclear-SMR,2050,4000.0,136.0,2.6,9.18
Nuclear-SMR,2051,4000.0,136.0,2.6,9.18
Nuclear-SMR,2052,4000.0,136.0,2.6,9.18
Nuclear-SMR,2053,4000.0,136.0,2.6,9.18
Nuclear-SMR,2054,4000.0,136.0,2.6,9.18
Nuclear-SMR,2055,4000.0,136.0,2.6,9.18
Nuclear-SMR,2056,4000.0,136.0,2.6,9.18
Nuclear-SMR,2057,4000.0,136.0,2.6,9.18
Nuclear-SMR,2058,4000.0,136.0,2.6,9.18
Nuclear-SMR,2059,4000.0,136.0,2.6,9.18
Nuclear-SMR,2060,4000.0,136.0,2.6,9.18
