i,t,capcost,fom,vom,heatrate
Nuclear,2010,3911.97088,143.911522,2.8,10.497
Nuclear,2011,3911.97088,143.911522,2.8,10.497
Nuclear,2012,3911.97088,143.911522,2.8,10.497
Nuclear,2013,3911.97088,143.911522,2.8,10.497
Nuclear,2014,3911.97088,143.911522,2.8,10.497
Nuclear,2015,3911.97088,143.911522,2.8,10.497
Nuclear,2016,3911.97088,143.911522,2.8,10.497
Nuclear,2017,5245.131954,143.911522,2.8,10.497
Nuclear,2018,6578.293027,143.911522,2.8,10.497
Nuclear,2019,7911.4541,143.911522,2.8,10.497
Nuclear,2020,9244.615173,143.911522,2.8,10.497
Nuclear,2021,10577.776246,143.911522,2.8,10.497
Nuclear,2022,11910.937319,143.911522,2.8,10.497
Nuclear,2023,13244.098392,143.911522,2.8,10.497
Nuclear,2024,14577.259465,143.911522,2.8,10.497
Nuclear,2025,13106.049554,143.911522,2.8,10.497
Nuclear,2026,11634.839644,143.911522,2.8,10.497
Nuclear,2027,10163.629733,143.911522,2.8,10.497
Nuclear,2028,8692.419822,143.911522,2.8,10.497
Nuclear,2029,7221.209911,143.911522,2.8,10.497
Nuclear,2030,5750.0,143.911522,2.8,10.497
Nuclear,2031,5700.0,143.911522,2.8,10.497
Nuclear,2032,5650.0,143.911522,2.8,10.497
Nuclear,2033,5600.0,143.911522,2.8,10.497
Nuclear,2034,5550.0,143.911522,2.8,10.497
Nuclear,2035,5500.0,143.911522,2.8,10.497
Nuclear,2036,5350.0,143.911522,2.8,10.497
Nuclear,2037,5200.0,143.911522,2.8,10.497
Nuclear,2038,5050.0,143.911522,2.8,10.497
Nuclear,2039,4900.0,143.911522,2.8,10.497
Nuclear,2040,4750.0,143.911522,2.8,10.497
Nuclear,2041,4650.0,143.911522,2.8,10.497
Nuclear,2042,4550.0,143.911522,2.8,10.497
Nuclear,2043,4450.0,143.911522,2.8,10.497
Nuclear,2044,4350.0,143.911522,2.8,10.497
Nuclear,2045,4250.0,143.911522,2.8,10.497
Nuclear,2046,4150.0,143.911522,2.8,10.497
Nuclear,2047,4050.0,143.911522,2.8,10.497
Nuclear,2048,3950.0,143.911522,2.8,10.497
Nuclear,2049,3850.0,143.911522,2.8,10.497
Nuclear,2050,3750.0,143.911522,2.8,10.497
Nuclear,2051,3750.0,143.911522,2.8,10.497
Nuclear,2052,3750.0,143.911522,2.8,10.497
Nuclear,2053,3750.0,143.911522,2.8,10.497
Nuclear,2054,3750.0,143.911522,2.8,10.497
Nuclear,2055,3750.0,143.911522,2.8,10.497
Nuclear,2056,3750.0,143.911522,2.8,10.497
Nuclear,2057,3750.0,143.911522,2.8,10.497
Nuclear,2058,3750.0,143.911522,2.8,10.497
Nuclear,2059,3750.0,143.911522,2.8,10.497
Nuclear,2060,3750.0,143.911522,2.8,10.497
