Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
fixed,2010,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2011,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2012,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2013,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2014,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2015,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2016,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2017,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2018,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2019,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2020,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2021,0.755647,5452.196376,94.638039,0.0,1.0
fixed,2022,0.755647,6620.524177,94.638039,0.0,1.0
fixed,2023,0.947412,5983.651446,93.590385,0.0,1.0
fixed,2024,0.948451,5956.905833,93.115614,0.0,1.0
fixed,2025,0.949491,5932.358741,92.679887,0.0,1.0
fixed,2026,0.95053,5909.688553,92.277478,0.0,1.0
fixed,2027,0.951361,5888.638208,91.903804,0.0,1.0
fixed,2028,0.952193,5868.99968,91.555223,0.0,1.0
fixed,2029,0.953024,5850.602323,91.22861,0.0,1.0
fixed,2030,0.953648,5420.64672,90.921571,0.0,1.0
fixed,2031,0.955726,4959.404156,90.059175,0.0,1.0
fixed,2032,0.957389,4505.269303,89.322864,0.0,1.0
fixed,2033,0.959052,4056.484781,88.681612,0.0,1.0
fixed,2034,0.960299,3611.867931,88.114282,0.0,1.0
fixed,2035,0.961546,3170.585615,87.606194,0.0,1.0
fixed,2036,0.962378,3151.325238,87.264276,0.0,1.0
fixed,2037,0.963209,3133.3457,86.94516,0.0,1.0
fixed,2038,0.963833,3116.493221,86.646033,0.0,1.0
fixed,2039,0.964456,3100.639947,86.364607,0.0,1.0
fixed,2040,0.96508,3085.678117,86.099006,0.0,1.0
fixed,2041,0.965704,3071.516629,85.847669,0.0,1.0
fixed,2042,0.966327,3058.077188,85.609139,0.0,1.0
fixed,2043,0.966743,3045.292534,85.382165,0.0,1.0
fixed,2044,0.967366,3033.104259,85.165811,0.0,1.0
fixed,2045,0.967782,3021.461137,84.95914,0.0,1.0
fixed,2046,0.968198,3010.318399,84.761319,0.0,1.0
