Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
fixed,2010,0.94619,4960.5678,94.63804,0.0,1.0
fixed,2011,0.94619,6712.01177,94.63804,0.0,1.0
fixed,2012,0.94619,6320.0882,94.63804,0.0,1.0
fixed,2013,0.94619,6428.91147,94.63804,0.0,1.0
fixed,2014,0.94619,6926.39015,94.63804,0.0,1.0
fixed,2015,0.94619,5763.30547,94.63804,0.0,1.0
fixed,2016,0.94619,5019.71298,94.63804,0.0,1.0
fixed,2017,0.94619,5891.13747,94.63804,0.0,1.0
fixed,2018,0.94619,5171.86387,94.63804,0.0,1.0
fixed,2019,0.94619,4712.74126,94.63804,0.0,1.0
fixed,2020,0.94619,3768.91115,94.63804,0.0,1.0
fixed,2021,0.94619,3225.60418,94.63804,0.0,1.0
fixed,2022,0.94615,4578.89683,94.638,0.0,1.0
fixed,2023,0.9562,2806.43152,91.43526,0.0,1.0
fixed,2024,0.96343,5150.08748,89.15167,0.0,1.0
fixed,2025,0.96906,5053.31695,87.39442,0.0,1.0
fixed,2026,0.97348,4975.06245,85.97353,0.0,1.0
fixed,2027,0.97709,4909.60917,84.78502,0.0,1.0
fixed,2028,0.98031,4541.90515,83.76625,0.0,1.0
fixed,2029,0.98312,4181.31717,82.87682,0.0,1.0
fixed,2030,0.98573,3826.31607,82.08876,0.0,1.0
fixed,2031,0.98935,3449.29398,80.90088,0.0,1.0
fixed,2032,0.99257,3082.15712,79.89255,0.0,1.0
fixed,2033,0.99538,3034.02481,79.01846,0.0,1.0
fixed,2034,0.99779,2991.631,78.24867,0.0,1.0
fixed,2035,1.0,2953.80951,77.56198,0.0,1.0
fixed,2036,1.00141,2928.441,77.10129,0.0,1.0
fixed,2037,1.00281,2904.8176,76.67234,0.0,1.0
fixed,2038,1.00402,2882.72608,76.27116,0.0,1.0
fixed,2039,1.00522,2861.98953,75.89461,0.0,1.0
fixed,2040,1.00623,2842.45956,75.53999,0.0,1.0
fixed,2041,1.00743,2824.01035,75.205,0.0,1.0
fixed,2042,1.00844,2806.53466,74.88775,0.0,1.0
fixed,2043,1.00924,2789.93989,74.58636,0.0,1.0
fixed,2044,1.01025,2774.14608,74.2996,0.0,1.0
fixed,2045,1.01105,2759.08343,74.02609,0.0,1.0
fixed,2046,1.01185,2744.69071,73.76469,0.0,1.0
fixed,2047,1.01266,2730.91387,73.51456,0.0,1.0
fixed,2048,1.01346,2717.70517,73.27477,0.0,1.0
fixed,2049,1.01406,2705.02197,73.04438,0.0,1.0
fixed,2050,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2051,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2052,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2053,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2054,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2055,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2056,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2057,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2058,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2059,1.01487,2692.82634,72.82296,0.0,1.0
fixed,2060,1.01487,2692.82634,72.82296,0.0,1.0
floating,2010,0.94619,15735.30277,84.87221,0.0,1.0
floating,2011,0.94619,15735.30277,84.87221,0.0,1.0
floating,2012,0.94619,15735.30277,84.87221,0.0,1.0
floating,2013,0.94619,15735.30277,84.87221,0.0,1.0
floating,2014,0.94619,15735.30277,84.87221,0.0,1.0
floating,2015,0.94619,15735.30277,84.87221,0.0,1.0
floating,2016,0.94619,15735.30277,84.87221,0.0,1.0
floating,2017,0.94619,15735.30277,84.87221,0.0,1.0
floating,2018,0.94619,15735.30277,84.87221,0.0,1.0
floating,2019,0.94619,15735.30277,84.87221,0.0,1.0
floating,2020,0.94619,15735.30277,84.87221,0.0,1.0
floating,2021,0.94619,15735.30277,84.87221,0.0,1.0
floating,2022,0.94619,15735.30277,84.87221,0.0,1.0
floating,2023,0.95632,12406.77287,75.67306,0.0,1.0
floating,2024,0.96351,11401.58365,72.89499,0.0,1.0
floating,2025,0.96904,10823.06202,71.29611,0.0,1.0
floating,2026,0.97351,10423.87021,70.19286,0.0,1.0
floating,2027,0.97726,10122.37517,69.3596,0.0,1.0
floating,2028,0.98046,9447.80802,68.69495,0.0,1.0
floating,2029,0.98327,8814.73142,68.14497,0.0,1.0
floating,2030,0.98574,8212.87152,67.68835,0.0,1.0
floating,2031,0.98946,7055.93031,65.69071,0.0,1.0
floating,2032,0.99256,6206.22748,64.54226,0.0,1.0
floating,2033,0.99525,5919.61564,63.75013,0.0,1.0
floating,2034,0.99773,5703.2042,63.15201,0.0,1.0
floating,2035,1.0,5530.61072,62.67505,0.0,1.0
floating,2036,1.00145,5149.16603,61.62085,0.0,1.0
floating,2037,1.00269,4894.59057,60.91727,0.0,1.0
floating,2038,1.00393,4705.82661,60.39557,0.0,1.0
floating,2039,1.00517,4557.01198,59.98422,0.0,1.0
floating,2040,1.0062,4434.86853,59.64664,0.0,1.0
floating,2041,1.00744,4331.71259,59.36154,0.0,1.0
floating,2042,1.00826,4242.7161,59.11557,0.0,1.0
floating,2043,1.0093,4164.65645,58.89986,0.0,1.0
floating,2044,1.01012,4095.28091,58.70819,0.0,1.0
floating,2045,1.01095,4032.9556,58.53589,0.0,1.0
floating,2046,1.01178,3976.45978,58.37979,0.0,1.0
floating,2047,1.0126,3924.85874,58.23714,0.0,1.0
floating,2048,1.01343,3877.42132,58.106,0.0,1.0
floating,2049,1.01405,3833.56565,57.98485,0.0,1.0
floating,2050,1.01488,3792.8216,57.87225,0.0,1.0
floating,2051,1.01488,3792.8216,57.87225,0.0,1.0
floating,2052,1.01488,3792.8216,57.87225,0.0,1.0
floating,2053,1.01488,3792.8216,57.87225,0.0,1.0
floating,2054,1.01488,3792.8216,57.87225,0.0,1.0
floating,2055,1.01488,3792.8216,57.87225,0.0,1.0
floating,2056,1.01488,3792.8216,57.87225,0.0,1.0
floating,2057,1.01488,3792.8216,57.87225,0.0,1.0
floating,2058,1.01488,3792.8216,57.87225,0.0,1.0
floating,2059,1.01488,3792.8216,57.87225,0.0,1.0
floating,2060,1.01488,3792.8216,57.87225,0.0,1.0
