Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
fixed,2010,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2011,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2012,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2013,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2014,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2015,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2016,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2017,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2018,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2019,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2020,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2021,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2022,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2023,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2024,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2025,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2026,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2027,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2028,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2029,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2030,1.0,5121.6516796145825,169.24153513836157,0.0,1.0
fixed,2031,1.0,5035.321343691666,164.31322811068924,0.0,1.0
fixed,2032,1.0,4948.99100776875,159.38492108301693,0.0,1.0
fixed,2033,1.0,4862.660671845832,154.4566140553446,0.0,1.0
fixed,2034,1.0,4776.330335922917,149.5283070276723,0.0,1.0
fixed,2035,1.0,4690.0,144.6,0.0,1.0
fixed,2036,1.0,4690.0,144.6,0.0,1.0
fixed,2037,1.0,4690.0,144.6,0.0,1.0
fixed,2038,1.0,4690.0,144.6,0.0,1.0
fixed,2039,1.0,4690.0,144.6,0.0,1.0
fixed,2040,1.0,4690.0,144.6,0.0,1.0
fixed,2041,1.0,4690.0,144.6,0.0,1.0
fixed,2042,1.0,4690.0,144.6,0.0,1.0
fixed,2043,1.0,4690.0,144.6,0.0,1.0
fixed,2044,1.0,4690.0,144.6,0.0,1.0
fixed,2045,1.0,4690.0,144.6,0.0,1.0
fixed,2046,1.0,4690.0,144.6,0.0,1.0
fixed,2047,1.0,4690.0,144.6,0.0,1.0
fixed,2048,1.0,4690.0,144.6,0.0,1.0
fixed,2049,1.0,4690.0,144.6,0.0,1.0
fixed,2050,1.0,4690.0,144.6,0.0,1.0
