Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.61277,2911.72731,48.94045,0.0
115hh_170rd,2011,0.60304,2804.70978,48.94045,0.0
115hh_170rd,2012,0.69848,2537.31975,48.94045,0.0
115hh_170rd,2013,0.79294,2499.59636,48.94045,0.0
115hh_170rd,2014,0.87144,2186.9192,48.94045,0.0
115hh_170rd,2015,0.82324,2013.94443,48.94045,0.0
115hh_170rd,2016,0.89312,1983.31511,48.94045,0.0
115hh_170rd,2017,0.85843,1953.43484,48.94045,0.0
115hh_170rd,2018,0.92017,1720.28883,48.94045,0.0
115hh_170rd,2019,0.85963,1673.94156,48.94045,0.0
115hh_170rd,2020,0.83469,1708.84044,48.34404,0.0
115hh_170rd,2021,0.76975,1683.57537,34.06568,0.0
115hh_170rd,2022,0.94599,1499.16466,33.77322,0.0
115hh_170rd,2023,0.90958,1762.33822,43.0,0.0
115hh_170rd,2024,0.9196,1796.57361,41.7901,0.0
115hh_170rd,2025,0.92967,1748.26675,40.58021,0.0
115hh_170rd,2026,0.93978,1609.44536,39.37031,0.0
115hh_170rd,2027,0.94994,1558.83287,38.16042,0.0
115hh_170rd,2028,0.96015,1508.22038,36.95052,0.0
115hh_170rd,2029,0.97041,1457.60788,35.74063,0.0
115hh_170rd,2030,0.98071,1406.99539,34.53073,0.0
115hh_170rd,2031,0.99106,1356.3829,33.32084,0.0
115hh_170rd,2032,1.00146,1305.7704,32.11094,0.0
115hh_170rd,2033,1.01191,1255.15791,30.90105,0.0
115hh_170rd,2034,1.02241,1204.54542,29.69115,0.0
115hh_170rd,2035,1.03295,1153.93292,28.48126,0.0
115hh_170rd,2036,1.03364,1135.15406,27.92187,0.0
115hh_170rd,2037,1.03433,1116.37519,27.36248,0.0
115hh_170rd,2038,1.03502,1097.59632,26.80309,0.0
115hh_170rd,2039,1.03572,1078.81746,26.2437,0.0
115hh_170rd,2040,1.03641,1060.03859,25.68432,0.0
115hh_170rd,2041,1.0371,1041.25972,25.12493,0.0
115hh_170rd,2042,1.03779,1022.48086,24.56554,0.0
115hh_170rd,2043,1.03848,1003.70199,24.00615,0.0
115hh_170rd,2044,1.03917,984.92312,23.44676,0.0
115hh_170rd,2045,1.03987,966.14426,22.88738,0.0
115hh_170rd,2046,1.04056,947.36539,22.32799,0.0
115hh_170rd,2047,1.04125,928.58652,21.7686,0.0
115hh_170rd,2048,1.04194,909.80766,21.20921,0.0
115hh_170rd,2049,1.04263,891.02879,20.64982,0.0
115hh_170rd,2050,1.04332,872.24992,20.09044,0.0
115hh_170rd,2051,1.04332,869.05071,20.02461,0.0
115hh_170rd,2052,1.04332,865.85149,19.95878,0.0
115hh_170rd,2053,1.04332,862.65228,19.89295,0.0
115hh_170rd,2054,1.04332,859.45306,19.82712,0.0
115hh_170rd,2055,1.04332,856.25384,19.76129,0.0
115hh_170rd,2056,1.04332,853.05463,19.69546,0.0
115hh_170rd,2057,1.04332,849.85541,19.62963,0.0
115hh_170rd,2058,1.04332,846.6562,19.5638,0.0
115hh_170rd,2059,1.04332,843.45698,19.49797,0.0
115hh_170rd,2060,1.04332,840.25777,19.43214,0.0
