Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.52748,2726.45059,49.9049,0.0
115hh_170rd,2011,0.56049,2626.24271,50.7913,0.0
115hh_170rd,2012,0.56141,2375.86703,51.6777,0.0
115hh_170rd,2013,0.71919,2340.54403,52.56409,0.0
115hh_170rd,2014,0.77477,2047.76289,53.45049,0.0
115hh_170rd,2015,0.76799,1885.79472,54.33689,0.0
115hh_170rd,2016,0.83025,1857.11438,52.44741,0.0
115hh_170rd,2017,0.81166,1829.13542,50.55792,0.0
115hh_170rd,2018,0.81856,1610.82477,48.66844,0.0
115hh_170rd,2019,0.81842,1567.42664,46.77896,0.0
115hh_170rd,2020,0.77464,1600.10486,44.88948,0.0
115hh_170rd,2021,0.73975,1576.44744,43.0,0.0
115hh_170rd,2022,0.82069,1403.77101,43.0,0.0
115hh_170rd,2023,0.7866,1650.19851,43.0,0.0
115hh_170rd,2024,0.91289,1682.25546,42.56789,0.0
115hh_170rd,2025,0.91619,1815.18771,42.13579,0.0
115hh_170rd,2026,0.9195,1705.04674,41.70368,0.0
115hh_170rd,2027,0.92281,1686.30137,41.27158,0.0
115hh_170rd,2028,0.92613,1667.556,40.83947,0.0
115hh_170rd,2029,0.92944,1648.81064,40.40737,0.0
115hh_170rd,2030,0.93276,1630.06527,39.97526,0.0
115hh_170rd,2031,0.93608,1611.3199,39.54316,0.0
115hh_170rd,2032,0.9394,1592.57453,39.11105,0.0
115hh_170rd,2033,0.94272,1573.82916,38.67895,0.0
115hh_170rd,2034,0.94604,1555.0838,38.24684,0.0
115hh_170rd,2035,0.94937,1536.33843,37.81473,0.0
115hh_170rd,2036,0.95052,1524.9552,37.50527,0.0
115hh_170rd,2037,0.95167,1513.57197,37.19582,0.0
115hh_170rd,2038,0.95282,1502.18875,36.88636,0.0
115hh_170rd,2039,0.95397,1490.80552,36.5769,0.0
115hh_170rd,2040,0.95512,1479.42229,36.26744,0.0
115hh_170rd,2041,0.95627,1468.03907,35.95798,0.0
115hh_170rd,2042,0.95742,1456.65584,35.64852,0.0
115hh_170rd,2043,0.95857,1445.27261,35.33906,0.0
115hh_170rd,2044,0.95972,1433.88939,35.0296,0.0
115hh_170rd,2045,0.96087,1422.50616,34.72014,0.0
115hh_170rd,2046,0.96203,1411.12293,34.41068,0.0
115hh_170rd,2047,0.96318,1399.73971,34.10122,0.0
115hh_170rd,2048,0.96433,1388.35648,33.79176,0.0
115hh_170rd,2049,0.96548,1376.97325,33.4823,0.0
115hh_170rd,2050,0.96663,1365.59002,33.17284,0.0
115hh_170rd,2051,0.96663,1360.77431,33.06415,0.0
115hh_170rd,2052,0.96663,1355.95859,32.95545,0.0
115hh_170rd,2053,0.96663,1351.14288,32.84675,0.0
115hh_170rd,2054,0.96663,1346.32716,32.73806,0.0
115hh_170rd,2055,0.96663,1341.51145,32.62936,0.0
115hh_170rd,2056,0.96663,1336.69573,32.52067,0.0
115hh_170rd,2057,0.96663,1331.88002,32.41197,0.0
115hh_170rd,2058,0.96663,1327.0643,32.30328,0.0
115hh_170rd,2059,0.96663,1322.24859,32.19458,0.0
115hh_170rd,2060,0.96663,1317.43287,32.08589,0.0
