Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.613119,2747.327301,48.94045,0.0
115hh_170rd,2011,0.603385,2567.921986,48.94045,0.0
115hh_170rd,2012,0.69888,2388.516681,48.94045,0.0
115hh_170rd,2013,0.793401,2246.463893,48.94045,0.0
115hh_170rd,2014,0.871944,2104.411115,48.94045,0.0
115hh_170rd,2015,0.823713,1987.825965,48.94045,0.0
115hh_170rd,2016,0.893634,1871.240815,48.94045,0.0
115hh_170rd,2017,0.858921,1868.64938,48.94045,0.0
115hh_170rd,2018,0.920701,1717.311382,48.94045,0.0
115hh_170rd,2019,0.86012,1565.973394,48.94045,0.0
115hh_170rd,2020,0.835169,1579.799821,48.34404,0.0
115hh_170rd,2021,0.770193,1443.44402,34.065684,0.0
115hh_170rd,2022,0.800874,1531.889732,33.773215,0.0
115hh_170rd,2023,0.909581,1761.282844,43.0,0.0
115hh_170rd,2024,0.916957,1897.601959,41.868715,0.0
115hh_170rd,2025,0.924362,1758.676209,40.73743,0.0
115hh_170rd,2026,0.931796,1624.316019,39.606145,0.0
115hh_170rd,2027,0.939259,1578.660411,38.47486,0.0
115hh_170rd,2028,0.94675,1533.004803,37.343575,0.0
115hh_170rd,2029,0.954271,1487.349194,36.21229,0.0
115hh_170rd,2030,0.96182,1441.693586,35.081005,0.0
115hh_170rd,2031,0.969399,1396.037978,33.94972,0.0
115hh_170rd,2032,0.977006,1350.38237,32.818435,0.0
115hh_170rd,2033,0.984642,1304.726761,31.68715,0.0
115hh_170rd,2034,0.992306,1259.071153,30.555865,0.0
115hh_170rd,2035,1.0,1213.415545,29.42458,0.0
115hh_170rd,2036,1.000844,1197.735653,29.181541,0.0
115hh_170rd,2037,1.001688,1182.055761,28.938503,0.0
115hh_170rd,2038,1.002532,1166.375869,28.695464,0.0
115hh_170rd,2039,1.003376,1150.695977,28.452425,0.0
115hh_170rd,2040,1.004219,1135.016086,28.209387,0.0
115hh_170rd,2041,1.005063,1119.336194,27.966348,0.0
115hh_170rd,2042,1.005907,1103.656302,27.723309,0.0
115hh_170rd,2043,1.006751,1087.97641,27.480271,0.0
115hh_170rd,2044,1.007595,1072.296518,27.237232,0.0
115hh_170rd,2045,1.008439,1056.616626,26.994193,0.0
115hh_170rd,2046,1.009283,1040.936734,26.751155,0.0
115hh_170rd,2047,1.010127,1025.256842,26.508116,0.0
115hh_170rd,2048,1.01097,1009.57695,26.265077,0.0
115hh_170rd,2049,1.011814,993.897058,26.022039,0.0
115hh_170rd,2050,1.012658,978.217167,25.779,0.0
115hh_170rd,2051,1.012658,974.670734,25.694531,0.0
115hh_170rd,2052,1.012658,971.124302,25.610063,0.0
115hh_170rd,2053,1.012658,967.577869,25.525594,0.0
115hh_170rd,2054,1.012658,964.031437,25.441126,0.0
115hh_170rd,2055,1.012658,960.485004,25.356657,0.0
115hh_170rd,2056,1.012658,956.938572,25.272189,0.0
115hh_170rd,2057,1.012658,953.392139,25.18772,0.0
115hh_170rd,2058,1.012658,949.845707,25.103251,0.0
115hh_170rd,2059,1.012658,946.299274,25.018783,0.0
115hh_170rd,2060,1.012658,942.752842,24.934314,0.0
