t,capcost,fom,vom,cf_improvement
2010,5724.003883,37.134933,0.0,0.920466
2011,5393.586002,36.50336,0.0,0.920466
2012,4606.413991,35.871788,0.0,0.920466
2013,4791.059278,35.240215,0.0,0.920466
2014,4606.413991,34.608642,0.0,0.920466
2015,3799.805634,33.977069,0.0,0.920466
2016,2934.888239,33.345497,0.0,0.920466
2017,2662.779396,32.082351,0.0,0.920466
2018,2244.897958,29.677885,0.0,0.920466
2019,1914.480076,27.273418,0.0,0.920466
2020,1710.398444,26.630322,0.0,0.920466
2021,1603.498541,25.328802,0.0,0.920466
2022,1545.189503,24.739993,0.0,0.920466
2023,1545.189503,23.133429,0.0,0.920466
2024,1564.625849,24.659673,0.0,0.920466
2025,1333.107339,24.762653,0.0,0.920466
2026,1365.652929,24.868463,0.0,0.920466
2027,1398.198519,24.97701,0.0,0.920466
2028,1430.744109,25.088205,0.0,0.920466
2029,1463.289699,25.201962,0.0,0.920466
2030,1495.835289,25.318201,0.0,0.920466
2031,1491.95863,25.248311,0.0,0.920466
2032,1488.081972,25.178615,0.0,0.920466
2033,1484.205313,25.109112,0.0,0.920466
2034,1480.328654,25.0398,0.0,0.920466
2035,1476.451996,24.970677,0.0,0.920466
2036,1472.575337,24.901741,0.0,0.925768
2037,1468.698678,24.832992,0.0,0.93107
2038,1464.82202,24.764426,0.0,0.936373
2039,1460.945361,24.696043,0.0,0.941675
2040,1457.068702,24.627841,0.0,0.946977
2041,1452.794339,24.56595,0.0,0.952279
2042,1448.519977,24.504237,0.0,0.957582
2043,1444.245614,24.4427,0.0,0.962884
2044,1439.971251,24.381338,0.0,0.968186
2045,1435.696889,24.320149,0.0,0.973489
2046,1431.422526,24.259132,0.0,0.978791
2047,1427.148163,24.198284,0.0,0.984093
2048,1422.8738,24.137606,0.0,0.989395
2049,1418.599438,24.077095,0.0,0.994698
2050,1414.325075,24.016749,0.0,1.0
