t,capcost,fom,vom,cf_improvement
2010,1890.1204263649163,31.928615525232,0.0,1.0
2011,1890.1204263649163,31.928615525232,0.0,1.0
2012,1890.1204263649163,31.928615525232,0.0,1.0
2013,1890.1204263649163,31.928615525232,0.0,1.0
2014,1890.1204263649163,31.928615525232,0.0,1.0
2015,1890.1204263649163,31.928615525232,0.0,1.0
2016,1890.1204263649163,31.928615525232,0.0,1.0
2017,1890.1204263649163,31.928615525232,0.0,1.0
2018,1890.1204263649163,31.928615525232,0.0,1.0
2019,1890.1204263649163,31.928615525232,0.0,1.0
2020,1890.1204263649163,31.928615525232,0.0,1.0
2021,1890.1204263649163,31.928615525232,0.0,1.0
2022,1890.1204263649163,31.928615525232,0.0,1.0
2023,1812.4136175766107,30.982410350154666,0.0,1.0
2024,1734.7068087883054,30.03620517507733,0.0,1.0
2025,1657.0,29.09,0.0,1.0
2026,1579.2931912116944,28.143794824922665,0.0,1.0
2027,1501.586382423389,27.197589649845327,0.0,1.0
2028,1423.8795736350835,26.251384474767995,0.0,1.0
2029,1346.1727648467781,25.305179299690664,0.0,1.0
2030,1268.4659560584728,24.358974124613326,0.0,1.0
2031,1257.1628487688292,24.198637138069774,0.0,1.0
2032,1245.8597414791857,24.03830015152622,0.0,1.0
2033,1234.5566341895424,23.877963164982667,0.0,1.0
2034,1223.2535268998988,23.717626178439115,0.0,1.0
2035,1211.9504196102553,23.55728919189556,0.0,1.0
2036,1200.647315247249,23.398894467583744,0.0,1.0
2037,1189.3442108842428,23.240499743271926,0.0,1.0
2038,1178.0411065212368,23.08210501896011,0.0,1.0
2039,1166.7380021582303,22.92371029464829,0.0,1.0
2040,1155.434897795224,22.765315570336476,0.0,1.0
2041,1144.1317892890095,22.608715124957953,0.0,1.0
2042,1132.8286807827951,22.452114679579438,0.0,1.0
2043,1121.5255722765803,22.295514234200915,0.0,1.0
2044,1110.222463770366,22.1389137888224,0.0,1.0
2045,1098.9193552641514,21.98231334344388,0.0,1.0
2046,1087.6161965148876,21.82737296070848,0.0,1.0
2047,1076.313037765624,21.67243257797308,0.0,1.0
2048,1065.00987901636,21.51749219523768,0.0,1.0
2049,1053.7067202670962,21.362551812502282,0.0,1.0
2050,1042.4035615178325,21.20761142976688,0.0,1.0
