i,years_from_now
battery_li,0
biopower,2
beccs_mod,4
beccs_max,4
can-imports,500
coal-CCS_mod,4
coal-CCS_max,4
coal-CCS-F1,4
coal-CCS-F2,4
coal-CCS-F3,4
Coal-IGCC,2
coal-new,2
CoalOldScr,500
CoalOldUns,500
CofireNew,2
CofireOld,500
csp1_1,3
csp1_2,3
csp1_3,3
csp1_4,3
csp1_5,3
csp1_6,3
csp1_7,3
csp1_8,3
csp1_9,3
csp1_10,3
csp1_11,3
csp1_12,3
csp2_1,3
csp2_2,3
csp2_3,3
csp2_4,3
csp2_5,3
csp2_6,3
csp2_7,3
csp2_8,3
csp2_9,3
csp2_10,3
csp2_11,3
csp2_12,3
csp3_1,3
csp3_2,3
csp3_3,3
csp3_4,3
csp3_5,3
csp3_6,3
csp3_7,3
csp3_8,3
csp3_9,3
csp3_10,3
csp3_11,3
csp3_12,3
csp4_1,3
csp4_2,3
csp4_3,3
csp4_4,3
csp4_5,3
csp4_6,3
csp4_7,3
csp4_8,3
csp4_9,3
csp4_10,3
csp4_11,3
csp4_12,3
dr_shed_1,0
dr_shed_2,0
evmc_storage_1,0
evmc_storage_2,0
evmc_storage_3,0
evmc_storage_4,0
evmc_storage_5,0
evmc_storage_6,0
evmc_storage_7,0
evmc_storage_8,0
evmc_storage_9,0
evmc_storage_10,0
evmc_shape_1,0
evmc_shape_2,0
evmc_shape_3,0
evmc_shape_4,0
evmc_shape_5,0
evmc_shape_6,0
evmc_shape_7,0
evmc_shape_8,0
evmc_shape_9,0
evmc_shape_10,0
egs1_1,8
egs1_2,8
egs1_3,8
egs1_4,8
egs1_5,8
egs1_6,8
egs1_7,8
egs1_8,8
egs1_9,8
egs1_10,8
egs2_1,8
egs2_2,8
egs2_3,8
egs2_4,8
egs2_5,8
egs2_6,8
egs2_7,8
egs2_8,8
egs2_9,8
egs2_10,8
egs3_1,8
egs3_2,8
egs3_3,8
egs3_4,8
egs3_5,8
egs3_6,8
egs3_7,8
egs3_8,8
egs3_9,8
egs3_10,8
egs4_1,8
egs4_2,8
egs4_3,8
egs4_4,8
egs4_5,8
egs4_6,8
egs4_7,8
egs4_8,8
egs4_9,8
egs4_10,8
egs5_1,8
egs5_2,8
egs5_3,8
egs5_4,8
egs5_5,8
egs5_6,8
egs5_7,8
egs5_8,8
egs5_9,8
egs5_10,8
distpv,0
h2-fuel-cell,4
