t,st,rps_all,rps_solar,rps_wind
2010,IL,0.0236549390979454,0.0,0.0
2011,IL,0.0324253769425959,0.0,0.0
2012,IL,0.0376569955715993,0.0,0.0
2013,IL,0.0469045105398022,0.0,0.0
2014,IL,0.0535251300435099,0.0,0.0
2015,IL,0.0562862587263581,0.0,0.0
2016,IL,0.047161614886916,0.0,0.0
2017,IL,0.0568181944288807,0.0,0.0
2018,IL,0.0620344640994215,0.0,0.0
2019,IL,0.1041021381810108,0.0,0.0
2020,IL,0.1516583301611423,0.0,0.0
2021,IL,0.1685921717595472,0.0147522588990752,0.0147522588990752
2022,IL,0.1751324793732213,0.0405192021530401,0.033152074488851
2023,IL,0.1933976665528982,0.0585860010360254,0.0479340008476572
2024,IL,0.2083711787721065,0.0734979234205851,0.0601346646168423
2025,IL,0.22165695773662947,0.0876466976123568,0.0717109344101101
2026,IL,0.23578660332849508,0.1026227481024771,0.0839640666292995
2027,IL,0.2499162489203607,0.1169762314453554,0.095707825728018
2028,IL,0.2805423682222886,0.1313769480538958,0.1074902302259148
2029,IL,0.3070966301076889,0.1453506399833955,0.1189232508955054
2030,IL,0.3346430774620132,0.1590353982020779,0.1301198712562455
2031,IL,0.3608734057544516,0.1722693549356746,0.1409476540382792
2032,IL,0.36895668321193614,0.1695198133590463,0.138698029111947
2033,IL,0.3770399606694207,0.1667894761195207,0.1364641168250624
2034,IL,0.3851232381269052,0.1634816631249451,0.1337577243749551
2035,IL,0.39320651558438974,0.1601320823206068,0.1310171582623147
2036,IL,0.4012897930418743,0.15725898494336438,0.1283137280208395
2037,IL,0.40937307049935884,0.15438588756612195,0.12620265956295668
2038,IL,0.4174563479568434,0.15151279018887953,0.12409159110507387
2039,IL,0.4255396254143279,0.1486396928116371,0.12198052264719104
2040,IL,0.43362290287181243,0.14658880521016024,0.11986945418930822
2041,IL,0.441706180329297,0.14453791760868337,0.1177583857314254
2042,IL,0.443415543664354,0.14248703000720653,0.11646283825313564
2043,IL,0.4451809014923747,0.14043614240572966,0.11516729077484587
2044,IL,0.4465371534151858,0.1383852548042528,0.11387174329655611
2045,IL,0.4479955055630209,0.13697629786295581,0.11257619581826635
2046,IL,0.4492280726576756,0.13556734092165887,0.11128064833997658
2047,IL,0.4496592599979534,0.1341583839803619,0.10998510086168682
2048,IL,0.4498128084508779,0.13274942703906492,0.10868955338339706
2049,IL,0.4499229679498255,0.13134047009776798,0.1073940059051073
2050,IL,0.450360963093348,0.129931513156471,0.1063076016734763
2010,voluntary,0.0099084811842064,0.0,0.0
2011,voluntary,0.0119799330238847,0.0,0.0
2012,voluntary,0.0146484917483749,0.0,0.0
2013,voluntary,0.0172663207152834,0.0,0.0
2014,voluntary,0.0188151050669642,0.0,0.0
2015,voluntary,0.022365087829517,0.0,0.0
2016,voluntary,0.0252030115219519,0.0,0.0
2017,voluntary,0.029991446140991,0.0,0.0
2018,voluntary,0.0361875974605465,0.0,0.0
2019,voluntary,0.0443321907097704,0.0,0.0
2020,voluntary,0.0538400086399383,0.0,0.0
2021,voluntary,0.0646123011410705,0.0,0.0
2022,voluntary,0.0715170637186296,0.0,0.0
2023,voluntary,0.0825366105770411,0.0,0.0
2024,voluntary,0.08408539492872186,0.0,0.0
2025,voluntary,0.0856341792804026,0.0,0.0
2026,voluntary,0.08718296363208335,0.0,0.0
2027,voluntary,0.0887317479837641,0.0,0.0
2028,voluntary,0.09028053233544485,0.0,0.0
2029,voluntary,0.0918293166871256,0.0,0.0
2030,voluntary,0.09337810103880634,0.0,0.0
2031,voluntary,0.0949268853904871,0.0,0.0
2032,voluntary,0.09647566974216784,0.0,0.0
2033,voluntary,0.0980244540938486,0.0,0.0
2034,voluntary,0.09957323844552933,0.0,0.0
2035,voluntary,0.1011220227972101,0.0,0.0
2036,voluntary,0.10267080714889082,0.0,0.0
2037,voluntary,0.10421959150057158,0.0,0.0
2038,voluntary,0.10576837585225232,0.0,0.0
2039,voluntary,0.10731716020393307,0.0,0.0
2040,voluntary,0.10886594455561382,0.0,0.0
2041,voluntary,0.11041472890729456,0.0,0.0
2042,voluntary,0.11196351325897531,0.0,0.0
2043,voluntary,0.11351229761065607,0.0,0.0
2044,voluntary,0.1150610819623368,0.0,0.0
2045,voluntary,0.11660986631401757,0.0,0.0
2046,voluntary,0.1181586506656983,0.0,0.0
2047,voluntary,0.11970743501737906,0.0,0.0
2048,voluntary,0.12125621936905981,0.0,0.0
2049,voluntary,0.12280500372074055,0.0,0.0
2050,voluntary,0.1243537880724213,0.0,0.0
