class,access_case,min_reV_mean_temp,max_reV_mean_temp
1,reference,325,500
2,reference,300,325
3,reference,275,300
4,reference,250,275
5,reference,225,250
6,reference,200,225
7,reference,175,200
8,reference,150,175
9,reference,125,150
10,reference,0,125
1,lowthreshold_adv,325,500
2,lowthreshold_adv,300,325
3,lowthreshold_adv,275,300
4,lowthreshold_adv,250,275
5,lowthreshold_adv,225,250
6,lowthreshold_adv,200,225
7,lowthreshold_adv,175,200
8,lowthreshold_adv,150,175
9,lowthreshold_adv,125,150
10,lowthreshold_adv,0,125
1,lowthreshold_mod,325,500
2,lowthreshold_mod,300,325
3,lowthreshold_mod,275,300
4,lowthreshold_mod,250,275
5,lowthreshold_mod,225,250
6,lowthreshold_mod,200,225
7,lowthreshold_mod,175,200
8,lowthreshold_mod,150,175
9,lowthreshold_mod,125,150
10,lowthreshold_mod,0,125
1,highthreshold_adv,325,500
2,highthreshold_adv,300,325
3,highthreshold_adv,275,300
4,highthreshold_adv,250,275
5,highthreshold_adv,225,250
6,highthreshold_adv,200,225
7,highthreshold_adv,175,200
8,highthreshold_adv,150,175
9,highthreshold_adv,125,150
10,highthreshold_adv,0,125
1,highthreshold_mod,325,500
2,highthreshold_mod,300,325
3,highthreshold_mod,275,300
4,highthreshold_mod,250,275
5,highthreshold_mod,225,250
6,highthreshold_mod,200,225
7,highthreshold_mod,175,200
8,highthreshold_mod,150,175
9,highthreshold_mod,125,150
10,highthreshold_mod,0,125
