*tech,region,year,onlineyear,sc_point_gid,MW
wind-ons_3,p9,2010,1988,118492,17.4
wind-ons_3,p9,2011,1988,118492,17.4
wind-ons_3,p9,2012,1988,118492,17.4
wind-ons_3,p9,2013,1988,118492,17.4
wind-ons_3,p9,2014,1988,118492,17.4
wind-ons_3,p9,2015,1988,118492,17.4
wind-ons_3,p9,2016,1988,118492,17.4
wind-ons_3,p9,2017,1988,118492,17.4
wind-ons_3,p9,2018,1988,118492,17.4
wind-ons_3,p9,2019,1988,118492,17.4
wind-ons_3,p9,2020,1988,118492,17.4
wind-ons_3,p9,2021,1988,118492,17.4
wind-ons_3,p9,2022,1988,118492,17.4
wind-ons_3,p9,2023,1988,118492,17.4
wind-ons_3,p9,2024,1988,118492,17.4
wind-ons_3,p9,2025,1988,118492,17.4
wind-ons_3,p9,2026,1988,118492,17.4
wind-ons_3,p9,2027,1988,118492,17.4
wind-ons_3,p9,2028,1988,118492,17.4
wind-ons_3,p9,2029,1988,118492,17.4
wind-ons_3,p9,2030,1988,118492,17.4
wind-ons_3,p9,2031,1988,118492,17.4
wind-ons_3,p9,2032,1988,118492,17.4
wind-ons_3,p9,2033,1988,118492,17.4
wind-ons_3,p9,2034,1988,118492,17.4
wind-ons_3,p9,2035,1988,118492,17.4
wind-ons_3,p9,2036,1988,118492,17.4
wind-ons_3,p9,2037,1988,118492,17.4
wind-ons_8,p10,2010,1984,132191,8.7
wind-ons_8,p10,2011,1984,132191,8.7
wind-ons_8,p10,2012,1984,132191,8.7
wind-ons_8,p10,2013,1984,132191,8.7
wind-ons_8,p10,2014,1984,132191,8.7
wind-ons_8,p10,2015,1984,132191,8.7
wind-ons_8,p10,2016,1984,132191,8.7
wind-ons_8,p10,2017,1984,132191,8.7
wind-ons_8,p10,2018,1984,132191,8.7
wind-ons_8,p10,2019,1984,132191,8.7
wind-ons_8,p10,2020,1984,132191,8.7
wind-ons_8,p10,2021,1984,132191,8.7
wind-ons_8,p10,2022,1984,132191,8.7
wind-ons_8,p10,2023,1984,132191,8.7
wind-ons_8,p10,2024,1984,132191,8.7
wind-ons_8,p10,2025,1984,132191,8.7
wind-ons_8,p10,2026,1984,132191,8.7
wind-ons_8,p10,2027,1984,132191,8.7
wind-ons_8,p10,2028,1984,132191,8.7
wind-ons_8,p10,2029,1984,132191,8.7
wind-ons_8,p10,2030,1984,132191,8.7
wind-ons_8,p10,2031,1984,132191,8.7
wind-ons_8,p10,2032,1984,132191,8.7
wind-ons_8,p10,2033,1984,132191,8.7
wind-ons_8,p10,2034,1984,132191,8.7
wind-ons_8,p10,2035,1984,132191,8.7
wind-ons_8,p10,2036,1984,132191,8.7
wind-ons_8,p10,2037,1984,132191,8.7
wind-ons_8,p10,2038,1984,132191,8.7
wind-ons_8,p10,2039,1984,132191,8.7
wind-ons_8,p10,2040,1984,132191,8.7
wind-ons_8,p10,2041,1984,132191,8.7
wind-ons_8,p10,2042,1984,132191,8.7
wind-ons_8,p10,2043,1984,132191,8.7
wind-ons_10,p10,2010,1984,132192,59.6
wind-ons_10,p10,2011,1984,132192,59.6
wind-ons_10,p10,2012,1984,132192,59.6
wind-ons_10,p10,2013,1984,132192,59.6
wind-ons_10,p10,2014,1984,132192,59.6
wind-ons_10,p10,2015,1984,132192,59.6
wind-ons_10,p10,2016,1984,132192,59.6
wind-ons_10,p10,2017,1984,132192,59.6
wind-ons_10,p10,2018,1984,132192,59.6
wind-ons_10,p10,2019,1984,132192,59.6
wind-ons_10,p10,2020,1984,132192,59.6
wind-ons_10,p10,2021,1984,132192,59.6
wind-ons_10,p10,2022,1984,132192,59.6
wind-ons_10,p10,2023,1984,132192,59.6
wind-ons_10,p10,2024,1984,132192,59.6
wind-ons_10,p10,2025,1984,132192,59.6
wind-ons_10,p10,2026,1984,132192,59.6
wind-ons_10,p10,2027,1984,132192,59.6
wind-ons_10,p10,2028,1984,132192,59.6
wind-ons_10,p10,2029,1984,132192,59.6
wind-ons_10,p10,2030,1984,132192,59.6
wind-ons_10,p10,2031,1984,132192,59.6
wind-ons_10,p10,2032,1984,132192,59.6
wind-ons_10,p10,2033,1984,132192,59.6
wind-ons_10,p10,2034,1984,132192,59.6
wind-ons_10,p10,2035,1984,132192,59.6
wind-ons_10,p10,2036,1984,132192,59.6
wind-ons_10,p10,2037,1984,132192,59.6
wind-ons_10,p10,2038,1984,132192,59.6
wind-ons_10,p10,2039,1984,132192,59.6
wind-ons_10,p10,2040,1984,132192,59.6
wind-ons_10,p10,2041,1984,132192,59.6
wind-ons_10,p10,2042,1984,132192,59.6
wind-ons_10,p10,2043,1984,132192,59.6
wind-ons_10,p10,2010,1984,132192,29.0
wind-ons_10,p10,2011,1984,132192,29.0
wind-ons_10,p10,2012,1984,132192,29.0
wind-ons_10,p10,2013,1984,132192,29.0
wind-ons_10,p10,2014,1984,132192,29.0
wind-ons_10,p10,2015,1984,132192,29.0
wind-ons_10,p10,2016,1984,132192,29.0
wind-ons_10,p10,2017,1984,132192,29.0
wind-ons_10,p10,2018,1984,132192,29.0
wind-ons_10,p10,2019,1984,132192,29.0
wind-ons_10,p10,2020,1984,132192,29.0
wind-ons_10,p10,2021,1984,132192,29.0
wind-ons_10,p10,2022,1984,132192,29.0
wind-ons_10,p10,2023,1984,132192,29.0
wind-ons_10,p10,2024,1984,132192,29.0
wind-ons_10,p10,2025,1984,132192,29.0
wind-ons_10,p10,2026,1984,132192,29.0
wind-ons_10,p10,2027,1984,132192,29.0
wind-ons_10,p10,2028,1984,132192,29.0
wind-ons_10,p10,2029,1984,132192,29.0
wind-ons_10,p10,2030,1984,132192,29.0
wind-ons_10,p10,2031,1984,132192,29.0
wind-ons_10,p10,2032,1984,132192,29.0
wind-ons_10,p10,2033,1984,132192,29.0
wind-ons_10,p10,2034,1984,132192,29.0
wind-ons_10,p10,2035,1984,132192,29.0
wind-ons_10,p10,2036,1984,132192,29.0
wind-ons_10,p10,2037,1984,132192,29.0
wind-ons_10,p10,2038,1984,132192,29.0
wind-ons_10,p10,2039,1984,132192,29.0
wind-ons_10,p10,2040,1984,132192,29.0
wind-ons_10,p10,2041,1984,132192,29.0
wind-ons_10,p10,2042,1984,132192,29.0
wind-ons_10,p10,2043,1984,132192,29.0
wind-ons_7,p10,2010,1985,141779,11.7
wind-ons_7,p10,2011,1985,141779,11.7
wind-ons_7,p10,2012,1985,141779,11.7
wind-ons_7,p10,2013,1985,141779,11.7
wind-ons_7,p10,2014,1985,141779,11.7
wind-ons_7,p10,2015,1985,141779,11.7
wind-ons_7,p10,2016,1985,141779,11.7
wind-ons_7,p10,2017,1985,141779,11.7
wind-ons_7,p10,2018,1985,141779,11.7
wind-ons_7,p10,2019,1985,141779,11.7
wind-ons_7,p10,2020,1985,141779,11.7
wind-ons_7,p10,2021,1985,141779,11.7
wind-ons_7,p10,2022,1985,141779,11.7
wind-ons_7,p10,2023,1985,141779,11.7
wind-ons_7,p10,2024,1985,141779,11.7
wind-ons_7,p10,2025,1985,141779,11.7
wind-ons_7,p10,2026,1985,141779,11.7
wind-ons_7,p10,2027,1985,141779,11.7
wind-ons_7,p10,2028,1985,141779,11.7
wind-ons_7,p10,2029,1985,141779,11.7
wind-ons_7,p10,2030,1985,141779,11.7
wind-ons_7,p10,2031,1985,141779,11.7
wind-ons_7,p10,2032,1985,141779,11.7
wind-ons_7,p10,2033,1985,141779,11.7
wind-ons_7,p10,2034,1985,141779,11.7
wind-ons_7,p10,2035,1985,141779,11.7
wind-ons_7,p10,2036,1985,141779,11.7
wind-ons_7,p10,2037,1985,141779,11.7
wind-ons_7,p10,2038,1985,141779,11.7
wind-ons_7,p10,2039,1985,141779,11.7
wind-ons_7,p10,2040,1985,141779,11.7
wind-ons_7,p10,2041,1985,141779,11.7
wind-ons_7,p10,2042,1985,141779,11.7
wind-ons_7,p10,2043,1985,141779,11.7
wind-ons_7,p10,2044,1985,141779,11.7
wind-ons_6,p69,2010,2009,91347,0.5
wind-ons_6,p69,2011,2009,91347,0.5
wind-ons_6,p69,2012,2009,91347,0.5
wind-ons_6,p69,2013,2009,91347,0.5
wind-ons_6,p69,2014,2009,91347,0.5
wind-ons_6,p69,2015,2009,91347,0.5
wind-ons_6,p69,2016,2009,91347,0.5
wind-ons_6,p69,2017,2009,91347,0.5
wind-ons_6,p69,2018,2009,91347,0.5
wind-ons_6,p69,2019,2009,91347,0.5
wind-ons_6,p69,2020,2009,91347,0.5
wind-ons_6,p69,2021,2009,91347,0.5
wind-ons_6,p69,2022,2009,91347,0.5
wind-ons_6,p69,2023,2009,91347,0.5
wind-ons_6,p69,2024,2009,91347,0.5
wind-ons_6,p69,2025,2009,91347,0.5
wind-ons_6,p69,2026,2009,91347,0.5
wind-ons_6,p69,2027,2009,91347,0.5
wind-ons_6,p69,2028,2009,91347,0.5
wind-ons_6,p69,2029,2009,91347,0.5
wind-ons_6,p69,2030,2009,91347,0.5
wind-ons_6,p69,2031,2009,91347,0.5
wind-ons_6,p69,2032,2009,91347,0.5
wind-ons_6,p69,2033,2009,91347,0.5
wind-ons_6,p69,2034,2009,91347,0.5
wind-ons_6,p69,2035,2009,91347,0.5
wind-ons_6,p69,2036,2009,91347,0.5
wind-ons_6,p69,2037,2009,91347,0.5
wind-ons_6,p69,2038,2009,91347,0.5
wind-ons_7,p68,2010,2007,87229,1.2
wind-ons_7,p68,2011,2007,87229,1.2
wind-ons_7,p68,2012,2007,87229,1.2
wind-ons_7,p68,2013,2007,87229,1.2
wind-ons_7,p68,2014,2007,87229,1.2
wind-ons_7,p68,2015,2007,87229,1.2
wind-ons_7,p68,2016,2007,87229,1.2
wind-ons_7,p68,2017,2007,87229,1.2
wind-ons_7,p68,2018,2007,87229,1.2
wind-ons_7,p68,2019,2007,87229,1.2
