sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp,mean_resource_depth,lcoe_site_usd_per_mwh,lcoe_all_in_usd_per_mwh
37804,7,208.34,0,0.9948,194,5000,78.05596,79.02707
37805,7,97.41,0,0.9947,190,5000,78.38576,79.8088
37806,7,80.72,0,0.9947,192,5000,78.234314,80.33001
37807,8,43.55,0,0.9944,164,4000,77.50319,79.976295
37808,8,8.19,0,0.9945,166,4000,77.14982,80.3283
38488,7,170.31,0,0.9948,195,5000,77.9602,78.69267
38489,8,84.48,0,0.9944,159,4000,78.23373,79.20506
38490,8,118.34,0,0.9944,160,4000,78.0426,79.35734
38491,8,179.48,0,0.9944,158,4000,78.306145,81.258156
38492,8,34.04,0,0.9944,161,4000,77.89666,81.46047
39158,7,299.97,0,0.9948,195,5000,77.871796,87.73094
39173,8,137.13,0,0.9944,162,4000,77.74805,78.61709
39174,8,183.26,0,0.9944,160,4000,78.01441,79.1115
39175,8,90.31,0,0.9944,164,4000,77.51415,79.24346
39176,8,19.53,0,0.9944,159,4000,78.17956,81.941895
39180,8,0.1,0,0.9944,158,4000,78.382675,84.70664
39181,7,0.09,0,0.9947,180,5000,79.50187,85.52008
39182,7,0.46,0,0.9947,189,5000,78.43012,84.036095
39183,7,0.17,0,0.9947,176,5000,79.98478,86.17076
39842,7,542.54,0,0.9948,198,5000,77.65507,87.28921
39843,7,391.86,0,0.9948,199,5000,77.617874,87.152725
39857,8,172.92,0,0.9944,158,4000,78.402664,79.760315
39858,8,139.91,0,0.9944,162,4000,77.708305,78.84328
39859,8,77.62,0,0.9944,165,4000,77.315575,79.052216
39867,8,0.03,0,0.9946,175,5000,80.180046,86.229904
39868,7,0.22,0,0.9947,178,5000,79.65685,87.3455
39869,7,0.05,0,0.9947,187,5000,78.68157,89.77638
39870,6,0.28,0,0.9949,212,6000,80.426216,90.80884
39871,7,0.11,0,0.9947,179,5000,79.60998,89.99449
40525,7,57.99,0,0.9948,196,5000,77.79965,87.83756
40526,7,639.27,0,0.9948,199,5000,77.61281,87.10417
40527,7,448.18,0,0.9948,199,5000,77.556244,86.88783
40528,6,403.76,0,0.9948,200,5000,77.46905,86.79383
40539,8,35.05,0,0.9944,160,4000,78.05216,81.566765
40540,8,39.55,0,0.9944,158,4000,78.30134,80.542854
40541,8,189.81,0,0.9944,159,4000,78.15146,80.05541
40542,8,54.61,0,0.9943,158,4000,78.45558,79.98853
40543,8,62.61,0,0.9944,161,4000,77.92778,80.37623
40544,7,26.26,0,0.9947,184,5000,78.9518,82.909386
40545,8,15.62,0,0.9945,171,4000,76.62137,81.01919
40555,6,0.05,0,0.9948,206,6000,80.96945,92.17197
40556,6,0.12,0,0.9949,214,6000,80.190704,88.1662
40557,6,0.12,0,0.9948,207,6000,80.82737,88.09939
40558,8,0.19,0,0.9944,161,4000,77.88504,85.2685
41209,7,369.46,0,0.9948,196,5000,77.87671,87.76052
41210,7,649.88,0,0.9948,196,5000,77.8356,87.582275
41211,7,478.27,0,0.9948,199,5000,77.56782,86.79543
41212,6,277.47,0,0.9948,202,5000,77.344574,86.252396
41213,8,135.62,0,0.9944,165,4000,77.36248,85.71862
41214,8,201.73,0,0.9946,175,4000,76.16442,83.871124
41224,8,67.09,0,0.9943,158,4000,78.428185,80.652756
41225,8,74.87,0,0.9944,159,4000,78.26948,80.07957
41226,8,77.4,0,0.9944,162,4000,77.78629,79.150215
41227,8,128.11,0,0.9944,165,4000,77.30117,79.226105
41228,8,131.31,0,0.9945,167,4000,77.10956,79.82953
41229,8,63.95,0,0.9945,168,4000,76.90301,80.629814
41230,7,0.15,0,0.9947,181,5000,79.3884,84.166504
41231,8,0.92,0,0.9944,165,4000,77.40816,81.6326
41236,7,0.76,0,0.9947,179,5000,79.531715,86.268524
41241,7,12.73,0,0.9947,179,5000,79.59448,86.541145
41242,7,102.04,0,0.9946,176,5000,80.0131,86.366554
41243,8,85.63,0,0.9942,152,4000,79.487686,85.85119
41244,8,69.14,0,0.9943,157,4000,78.480606,84.46262
41245,9,125.82,0,0.9942,150,4000,79.85158,86.2968
41246,9,51.78,0,0.9942,148,4000,80.297005,87.00322
41893,7,223.42,0,0.9948,197,5000,77.76032,87.62506
41894,7,579.23,0,0.9948,194,5000,77.9866,87.6753
41895,7,189.08,0,0.9948,194,5000,77.99053,87.349785
41896,7,50.79,0,0.9948,198,5000,77.70194,87.04764
41897,8,13.18,0,0.9945,171,4000,76.591255,85.59419
41898,7,13.6,0,0.9946,184,4000,75.22957,82.9814
41899,8,70.92,0,0.9945,172,4000,76.469986,83.70166
41900,7,202.04,0,0.9946,180,4000,75.56927,82.054276
41906,8,106.83,0,0.9944,165,4000,77.40242,81.30542
41907,8,78.78,0,0.9944,163,4000,77.56491,79.528786
41908,8,42.19,0,0.9944,161,4000,77.91281,80.456825
41909,8,202.37,0,0.9943,157,4000,78.60191,81.16506
41910,9,213.28,0,0.9942,149,4000,80.0019,81.6541
41911,8,64.44,0,0.9943,153,4000,79.24051,81.75253
41912,8,10.63,0,0.9943,157,4000,78.487656,82.37829
41913,8,70.1,0,0.9944,160,4000,78.063095,81.925095
41914,8,29.53,0,0.9944,160,4000,78.03067,81.41809
41915,8,2.49,0,0.9944,164,4000,77.467415,81.59159
41921,7,0.26,0,0.9947,191,5000,78.3296,87.180824
41925,7,247.11,0,0.9947,179,5000,79.62356,86.290695
41926,7,72.94,0,0.9947,180,5000,79.480965,85.621254
41927,7,178.65,0,0.9947,180,5000,79.471725,85.12006
41928,8,94.12,0,0.9943,156,4000,78.634155,84.2798
41929,8,201.28,0,0.9942,151,4000,79.64592,86.22024
41930,8,253.57,0,0.9942,151,4000,79.587074,86.34678
41931,9,56.41,0,0.9942,149,4000,80.00577,87.06153
41932,6,136.62,0,0.9949,212,6000,80.38289,91.10779
41933,6,91.05,0,0.9948,202,6000,81.38378,91.48688
41934,8,34.95,0,0.9946,174,5000,80.21,89.47472
41935,7,0.25,0,0.9948,199,6000,81.622406,90.88536
42578,7,532.78,0,0.9948,196,5000,77.8065,87.6743
42579,7,414.7,0,0.9948,197,5000,77.71702,87.6043
42580,8,15.02,0,0.9945,166,4000,77.13521,87.27113
42581,7,0.03,0,0.9947,186,5000,78.77582,88.240234
42584,7,4.31,0,0.9946,184,4000,75.26963,82.00094
42585,7,159.22,0,0.9946,186,4000,75.10501,81.49003
42586,7,361.39,0,0.9946,185,4000,75.18361,80.891914
42587,7,125.77,0,0.9946,183,4000,75.29217,81.11975
42590,8,79.56,0,0.9944,165,4000,77.39871,82.07938
42591,7,123.98,0,0.9947,190,5000,78.40234,80.51552
42592,7,108.59,0,0.9947,188,5000,78.57502,79.75062
42593,7,332.59,0,0.9947,183,5000,79.0706,80.14028
42594,8,193.28,0,0.9943,153,4000,79.1641,80.26849
42595,8,174.41,0,0.9943,155,4000,78.80942,80.71115
42596,8,7.47,0,0.9942,151,4000,79.575745,81.966736
42597,8,52.19,0,0.9943,158,4000,78.385475,81.423386
42598,8,10.35,0,0.9944,165,4000,77.316536,80.845566
42605,8,7.53,0,0.9944,162,4000,77.784004,86.04193
42606,7,5.94,0,0.9947,190,5000,78.40985,86.35932
42607,7,17.39,0,0.9948,193,5000,78.14308,86.338844
42608,6,0.15,0,0.9949,210,6000,80.529015,89.091965
42609,7,93.06,0,0.9947,178,5000,79.74885,86.519104
42610,7,99.43,0,0.9946,175,5000,80.11252,85.48901
42611,8,283.42,0,0.9943,156,4000,78.7876,83.82324
42612,8,248.99,0,0.9943,158,4000,78.42845,83.22145
42613,8,177.07,0,0.9943,152,4000,79.441246,84.826355
42614,9,78.78,0,0.9942,150,4000,79.86584,86.19329
42615,9,86.37,0,0.9942,149,4000,80.01819,88.45335
42616,6,85.91,0,0.9948,208,6000,80.70872,89.16355
42617,6,371.27,0,0.9949,210,6000,80.560844,90.77151
42618,8,120.05,0,0.9946,169,5000,81.10844,90.89354
42619,6,3.54,0,0.9948,204,6000,81.133575,91.062775
42620,8,74.13,0,0.9946,172,5000,80.53822,91.08974
42621,6,12.76,0,0.9948,202,6000,81.37251,87.26238
42622,6,83.22,0,0.9948,203,6000,81.27858,87.572075
42623,8,16.17,0,0.9946,171,5000,80.80325,86.79919
43262,6,427.97,0,0.9948,200,5000,77.50166,87.60592
43263,6,485.24,0,0.9948,201,5000,77.42938,87.547554
43264,8,171.35,0,0.9945,167,4000,77.05955,87.28623
43265,8,18.84,0,0.9945,168,4000,76.88345,86.8757
43270,7,40.34,0,0.9946,177,4000,75.88973,81.944916
43271,7,134.29,0,0.9946,180,4000,75.57531,81.19058
43272,7,312.75,0,0.9946,180,4000,75.57439,80.68734
43274,8,81.03,0,0.9944,164,4000,77.48771,82.51926
43276,7,238.17,0,0.9947,182,5000,79.233864,80.34304
43277,7,185.72,0,0.9947,180,5000,79.47259,80.69658
43278,9,204.75,0,0.9942,149,4000,79.97139,81.006516
43279,6,180.9,0,0.9948,208,6000,80.62141,82.27803
43280,8,64.51,0,0.9945,166,4000,77.20957,79.32411
43281,8,65.85,0,0.9944,163,4000,77.6637,80.056335
43282,8,17.72,0,0.9944,161,4000,77.870674,81.11348
43289,7,0.86,0,0.9948,197,5000,77.75856,85.79469
43290,7,138.05,0,0.9948,195,5000,77.93973,85.333015
43291,7,8.0,0,0.9947,192,5000,78.203415,86.15721
43292,7,4.13,0,0.9947,184,5000,78.98601,85.17321
43293,7,83.65,0,0.9947,186,5000,78.71608,83.63924
43294,7,257.53,0,0.9947,179,5000,79.535446,84.426895
43295,8,207.2,0,0.9943,154,4000,79.14263,83.62736
43296,8,287.58,0,0.9943,152,4000,79.40534,84.4375
43297,8,215.91,0,0.9943,154,4000,79.1293,84.567665
43298,8,211.74,0,0.9943,153,4000,79.32337,87.56763
43299,9,57.0,0,0.9942,149,4000,79.94469,87.993546
43300,6,420.99,0,0.9949,212,6000,80.33848,88.37651
43301,7,235.77,0,0.9946,175,5000,80.08797,88.246124
43302,6,101.6,0,0.9948,203,6000,81.27512,91.66872
43303,6,52.46,0,0.9948,209,6000,80.62198,91.1617
43304,8,186.4,0,0.9945,167,5000,81.3545,87.380135
43305,8,147.82,0,0.9946,168,5000,81.25431,86.8268
43306,8,207.53,0,0.9946,169,5000,80.99108,86.34201
43307,8,193.25,0,0.9946,170,5000,80.82972,86.40107
43308,8,78.75,0,0.9945,166,5000,81.56814,86.46768
43309,8,33.8,0,0.9946,169,5000,80.97239,85.21087
43310,8,0.86,0,0.9946,168,5000,81.17033,86.060684
43311,7,0.08,0,0.9948,187,6000,83.1085,89.04869
43946,8,210.17,0,0.9945,166,4000,77.17879,87.521805
43947,8,293.49,0,0.9945,167,4000,77.04855,87.40476
43948,8,99.28,0,0.9945,166,4000,77.17921,87.63393
43949,8,12.24,0,0.9945,167,4000,77.035126,87.29662
43955,7,13.62,0,0.9946,180,4000,75.57627,81.36476
43956,7,433.32,0,0.9946,176,4000,76.00211,80.79078
43957,8,226.32,0,0.9945,167,4000,77.03916,82.752464
43959,7,204.94,0,0.9947,186,5000,78.8308,84.38777
43961,7,117.23,0,0.9947,178,5000,79.65918,79.8663
43962,7,299.4,0,0.9947,179,5000,79.643425,80.6744
43963,8,113.79,0,0.9942,151,4000,79.627464,81.23067
43965,8,2.74,0,0.9943,157,4000,78.47371,81.50028
43973,7,9.14,0,0.9948,193,5000,78.12125,85.05146
43974,7,123.4,0,0.9948,192,5000,78.1878,84.96348
43975,7,36.22,0,0.9947,191,5000,78.28803,85.47716
43976,7,6.05,0,0.9946,175,5000,80.10347,85.77662
43977,7,204.36,0,0.9947,188,5000,78.58373,83.26033
43978,7,338.89,0,0.9947,182,5000,79.20495,83.36429
43979,6,662.37,0,0.9949,218,6000,79.862366,84.14529
43980,6,569.42,0,0.9949,217,6000,79.97756,85.295
43981,8,189.51,0,0.9943,154,4000,79.01771,84.5368
43982,9,160.15,0,0.9942,149,4000,80.034454,88.26042
43983,9,165.64,0,0.9942,149,4000,79.98354,88.006195
43984,9,207.67,0,0.9942,150,4000,79.862885,87.61223
43985,8,96.49,0,0.9946,175,5000,80.19713,88.24644
43987,6,65.85,0,0.9948,202,6000,81.37351,86.999695
43988,8,267.27,0,0.9946,169,5000,80.96805,86.80162
43989,8,234.79,0,0.9946,169,5000,81.058014,86.51574
43990,6,585.13,0,0.9948,202,6000,81.338684,86.47607
43991,6,242.01,0,0.9948,201,6000,81.459915,86.51859
43992,8,9.03,0,0.9946,170,5000,80.86724,84.86326
43993,8,74.64,0,0.9946,170,5000,80.96916,84.90159
43994,8,0.82,0,0.9945,165,5000,81.82628,86.61356
43995,7,9.08,0,0.9948,192,6000,82.387886,88.029015
43996,7,12.17,0,0.9948,193,6000,82.28436,92.21948
43997,7,56.19,0,0.9948,193,6000,82.26968,91.81962
43998,7,11.67,0,0.9947,192,5000,78.20115,87.21772
43999,7,54.52,0,0.9947,185,5000,78.89568,87.3343
44000,7,4.28,0,0.9948,188,6000,83.01135,91.64394
44630,8,406.71,0,0.9945,168,4000,76.886375,80.38967
44631,8,381.83,0,0.9945,169,4000,76.84485,80.576416
