sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
37804,7,184.21,0,0.9946,185
37805,7,87.23,0,0.9946,182
37806,7,65.84,0,0.9946,177
37807,7,54.85,0,0.9946,180
37808,5,20.93,0,0.9948,231
38488,7,147.39,0,0.9946,185
38489,7,121.36,0,0.9946,184
38490,7,153.46,0,0.9946,178
38491,8,227.93,0,0.9945,175
38492,7,43.49,0,0.9945,177
39158,7,252.58,0,0.9946,183
39173,7,176.98,0,0.9946,180
39174,8,226.15,0,0.9946,175
39175,7,111.9,0,0.9946,178
39176,8,23.98,0,0.9945,172
39180,7,0.12,0,0.9946,175
39181,8,0.08,0,0.9945,172
39182,7,0.43,0,0.9946,184
39183,6,0.24,0,0.9948,202
39842,7,448.14,0,0.9946,185
39843,7,321.7,0,0.9946,185
39857,8,216.58,0,0.9945,174
39858,7,179.11,0,0.9946,179
39859,8,88.98,0,0.9946,175
39867,7,0.05,0,0.9948,199
39868,6,0.31,0,0.9948,204
39869,6,0.07,0,0.9948,213
39870,6,0.24,0,0.9948,202
39871,6,0.18,0,0.9948,214
40525,5,100.26,0,0.9948,234
40526,7,511.73,0,0.9946,183
40527,7,374.36,0,0.9947,187
40528,7,317.23,0,0.9946,184
40539,7,48.2,0,0.9946,182
40540,7,58.68,0,0.9947,186
40541,7,239.02,0,0.9946,175
40542,8,69.88,0,0.9946,175
40543,8,75.64,0,0.9945,174
40544,8,20.33,0,0.9945,166
40545,7,19.91,0,0.9947,187
40555,7,0.05,0,0.9948,196
40556,8,0.06,0,0.9945,167
40557,6,0.11,0,0.9948,200
40558,7,0.27,0,0.9946,185
41209,5,620.43,0,0.9948,232
41210,5,1133.94,0,0.9948,235
41211,7,394.01,0,0.9947,186
41212,7,226.46,0,0.9947,188
41213,7,170.52,0,0.9946,181
41214,7,243.5,0,0.9947,188
41224,7,101.95,0,0.9947,187
41225,7,96.18,0,0.9946,176
41226,7,100.77,0,0.9946,180
41227,7,164.2,0,0.9946,183
41228,7,166.2,0,0.9946,183
41229,7,79.79,0,0.9946,184
41230,8,0.12,0,0.9945,168
41231,7,1.39,0,0.9947,193
41236,7,1.0,0,0.9948,198
41241,6,19.69,0,0.9948,209
41242,6,163.53,0,0.9948,208
41243,6,178.19,0,0.9948,202
41244,6,150.05,0,0.9948,211
41245,6,261.31,0,0.9948,201
41246,7,105.03,0,0.9948,197
41893,7,190.93,0,0.9947,186
41894,7,501.57,0,0.9946,184
41895,5,340.71,0,0.9948,235
41896,7,43.15,0,0.9946,186
41897,7,16.92,0,0.9947,188
41898,6,17.36,0,0.9947,201
41899,7,87.88,0,0.9947,187
41900,7,240.63,0,0.9947,193
41906,7,152.4,0,0.9947,189
41907,7,120.76,0,0.9947,193
41908,7,63.12,0,0.9947,189
41909,7,276.62,0,0.9946,178
41910,8,276.87,0,0.9944,166
41911,8,84.2,0,0.9945,171
41912,8,13.35,0,0.9945,173
41913,7,91.89,0,0.9946,179
41914,7,40.76,0,0.9946,182
41915,7,3.7,0,0.9947,192
41921,6,0.37,0,0.9948,215
41925,6,348.8,0,0.9948,203
41926,8,62.82,0,0.9945,169
41927,6,247.91,0,0.9948,202
41928,6,189.13,0,0.9948,205
41929,7,377.55,0,0.9948,194
41930,7,484.48,0,0.9948,196
41931,6,120.4,0,0.9948,201
41932,6,127.69,0,0.9948,207
41933,7,68.88,0,0.9947,182
41934,6,59.06,0,0.9948,209
41935,7,0.19,0,0.9947,179
42578,7,469.22,0,0.9947,188
42579,7,364.61,0,0.9947,188
42580,1,149.9,0,0.9943,326
42581,8,0.03,0,0.9946,174
42584,7,5.07,0,0.9947,195
42585,6,211.49,0,0.9947,205
42586,6,486.91,0,0.9947,205
42587,6,171.12,0,0.9947,205
42590,7,112.76,0,0.9947,189
42591,7,114.1,0,0.9946,184
42592,7,90.53,0,0.9946,175
42593,8,268.29,0,0.9945,168
42594,8,245.77,0,0.9945,170
42595,7,243.85,0,0.9946,178
42596,8,9.39,0,0.9945,167
42597,8,66.86,0,0.9946,175
42598,7,14.01,0,0.9947,186
42605,7,10.36,0,0.9946,184
42606,8,4.48,0,0.9945,170
42607,7,13.85,0,0.9946,177
42608,7,0.11,0,0.9947,189
42609,8,78.34,0,0.9945,166
42610,8,84.24,0,0.9944,164
42611,8,347.77,0,0.9945,170
42612,8,269.01,0,0.9944,163
42613,7,301.82,0,0.9947,189
42614,7,134.72,0,0.9947,187
42615,8,99.19,0,0.9944,159
42616,7,62.22,0,0.9947,186
42617,7,270.07,0,0.9947,188
42618,7,152.11,0,0.9947,185
42619,7,2.72,0,0.9947,186
42620,6,119.61,0,0.9948,205
42621,6,12.8,0,0.9948,202
42622,6,83.55,0,0.9948,203
42623,6,27.54,0,0.9948,207
43262,7,375.28,0,0.9947,191
43263,7,407.66,0,0.9947,189
43264,7,241.83,0,0.9947,191
43265,1,203.57,0,0.9941,332
43270,7,52.81,0,0.9947,196
43271,6,188.34,0,0.9947,204
43272,6,446.37,0,0.9947,205
43274,7,111.94,0,0.9947,186
43276,8,189.33,0,0.9945,166
43277,8,149.26,0,0.9944,165
43278,8,242.51,0,0.9944,161
43279,8,97.39,0,0.9944,165
43280,7,89.89,0,0.9947,189
43281,7,84.82,0,0.9946,180
43282,7,23.74,0,0.9946,182
43289,7,0.7,0,0.9946,182
43290,7,106.97,0,0.9946,177
43291,8,6.05,0,0.9945,172
43292,8,3.45,0,0.9945,172
43293,8,69.19,0,0.9945,173
43294,8,207.45,0,0.9944,164
43295,8,265.9,0,0.9945,171
43296,8,330.02,0,0.9944,162
43297,7,390.62,0,0.9948,195
43298,7,359.53,0,0.9947,189
43299,8,65.93,0,0.9944,159
43300,7,316.8,0,0.9947,192
43301,7,320.73,0,0.9948,196
43302,7,73.52,0,0.9947,180
43303,7,40.56,0,0.9947,191
43304,7,253.67,0,0.9947,188
43305,7,207.36,0,0.9947,191
43306,6,335.81,0,0.9948,202
43307,6,324.21,0,0.9948,206
43308,7,126.68,0,0.9948,199
43309,6,56.81,0,0.9948,206
43310,6,1.41,0,0.9948,202
43311,7,0.07,0,0.9947,177
43946,7,288.29,0,0.9947,188
43947,7,401.25,0,0.9947,189
43948,7,134.68,0,0.9947,187
43949,7,16.1,0,0.9947,186
43955,7,17.8,0,0.9947,199
43956,7,566.9,0,0.9947,195
43957,7,293.69,0,0.9947,185
43959,7,192.99,0,0.9946,181
43961,7,159.6,0,0.9948,200
43962,8,250.85,0,0.9945,166
43963,8,148.61,0,0.9945,170
43965,8,3.28,0,0.9945,170
43973,7,7.22,0,0.9946,176
43974,8,95.05,0,0.9945,174
43975,8,28.69,0,0.9946,175
43976,8,4.96,0,0.9944,161
43977,8,167.24,0,0.9945,174
43978,8,265.69,0,0.9944,165
43979,8,315.82,0,0.9945,167
43980,7,397.07,0,0.9947,192
43981,7,353.94,0,0.9948,197
43982,7,283.7,0,0.9947,188
43983,8,184.11,0,0.9943,157
43984,7,423.18,0,0.9948,199
43985,7,133.07,0,0.9948,197
43987,7,54.54,0,0.9947,188
43988,7,360.6,0,0.9947,190
43989,7,318.48,0,0.9947,190
43990,7,481.08,0,0.9947,188
43991,7,208.98,0,0.9947,190
43992,7,13.15,0,0.9948,196
43993,7,104.44,0,0.9948,193
43994,7,1.02,0,0.9947,180
43995,7,7.87,0,0.9947,182
43996,7,11.63,0,0.9947,190
43997,7,52.55,0,0.9947,189
43998,3,51.87,0,0.9946,295
43999,3,227.79,0,0.9947,282
44000,7,4.59,0,0.9947,192
44630,7,553.67,0,0.9947,190
44631,5,1094.25,0,0.9948,242
44632,1,385.01,0,0.9943,325
44639,7,24.25,0,0.9947,199
44642,7,133.84,0,0.9946,184
44644,6,126.55,0,0.9948,204
44645,6,151.96,0,0.9948,200
44646,8,321.4,0,0.9945,168
44647,8,154.86,0,0.9945,167
44648,8,4.43,0,0.9945,173
44655,7,0.08,0,0.9946,181
44658,8,36.5,0,0.9945,174
44659,7,89.54,0,0.9946,179
44660,8,237.48,0,0.9944,164
44661,8,207.86,0,0.9944,165
44662,8,228.6,0,0.9945,171
44663,8,304.95,0,0.9944,164
44664,7,408.86,0,0.9947,188
44665,7,190.44,0,0.9947,189
