sc_point_gid,class,capacity,capital_adder_per_mw,mean_resource_temp
37804,8,131.01,0,161
37805,8,60.01,0,156
37806,8,50.74,0,159
37807,7,53.25,0,177
37808,7,10.98,0,186
38488,8,116.75,0,168
38489,8,95.17,0,167
38490,8,132.15,0,168
38491,8,208.77,0,168
38492,9,21.53,0,146
39158,8,205.42,0,169
39173,8,150.24,0,168
39174,8,210.56,0,170
39175,8,105.37,0,174
39176,8,24.13,0,173
39180,8,0.1,0,164
39181,7,0.09,0,184
39182,8,0.32,0,165
39183,8,0.16,0,175
39842,8,387.1,0,175
39843,8,265.59,0,171
39857,8,182.21,0,161
39858,8,161.02,0,172
39859,7,91.09,0,176
39867,8,0.03,0,175
39868,7,0.21,0,177
39869,7,0.05,0,185
39870,7,0.18,0,181
39871,7,0.13,0,193
40525,6,63.69,0,203
40526,8,430.16,0,171
40527,8,312.32,0,174
40528,8,252.58,0,168
40539,6,63.04,0,201
40540,7,68.28,0,196
40541,8,204.11,0,164
40542,8,60.76,0,165
40543,8,72.14,0,171
40544,9,4.9,0,135
40545,7,20.76,0,190
40555,7,0.04,0,187
40556,7,0.09,0,194
40557,7,0.09,0,187
40558,7,0.25,0,181
41209,7,388.82,0,199
41210,6,721.32,0,203
41211,8,329.14,0,173
41212,7,190.68,0,176
41213,6,245.09,0,205
41214,8,201.43,0,174
41224,8,74.44,0,165
41225,8,86.67,0,169
41226,8,89.77,0,172
41227,7,156.11,0,179
41228,7,158.63,0,179
41229,7,74.86,0,179
41230,7,0.16,0,185
41231,7,1.08,0,176
41236,7,0.73,0,177
41241,7,13.19,0,181
41242,9,4.78,0,132
41243,7,165.18,0,196
41244,8,76.18,0,164
41245,7,219.1,0,188
41246,7,89.62,0,186
41893,7,229.62,0,199
41894,7,608.34,0,198
41895,6,215.17,0,203
41896,8,36.12,0,173
41897,7,14.43,0,177
41898,7,15.23,0,192
41899,8,72.63,0,173
41900,7,193.54,0,177
41906,8,114.87,0,170
41907,8,84.78,0,168
41908,8,46.92,0,168
41909,8,230.18,0,165
41910,7,356.98,0,184
41911,7,110.8,0,190
41912,8,11.13,0,160
41913,8,80.39,0,169
41914,8,34.64,0,171
41915,7,3.12,0,180
41921,7,0.25,0,188
41925,7,255.05,0,181
41926,7,78.94,0,185
41927,7,203.96,0,189
41928,8,103.08,0,163
41929,7,334.72,0,186
41930,7,428.62,0,188
41931,8,68.77,0,163
41932,8,67.76,0,163
41933,7,64.87,0,178
41934,7,43.95,0,190
41935,7,0.19,0,181
42578,7,555.67,0,199
42579,8,261.82,0,165
42580,8,16.48,0,173
42581,7,0.04,0,193
42584,7,4.13,0,181
42585,7,158.04,0,185
42586,7,378.76,0,188
42587,7,126.58,0,184
42590,8,83.75,0,168
42591,8,83.78,0,163
42592,8,75.87,0,163
42593,7,369.32,0,191
42594,7,317.63,0,188
42595,8,190.94,0,161
42596,7,11.75,0,182
42597,8,59.71,0,167
42598,7,13.14,0,181
42605,8,8.25,0,168
42606,7,5.81,0,188
42607,7,17.28,0,192
42608,8,0.09,0,174
42609,7,95.83,0,180
42610,7,109.23,0,182
42611,7,474.74,0,191
42612,7,425.99,0,195
42613,7,280.03,0,184
42614,7,128.81,0,184
42615,7,164.03,0,194
42616,7,63.02,0,187
42617,7,261.57,0,186
42618,7,140.54,0,180
42619,7,2.74,0,186
42620,7,96.71,0,191
42621,7,9.68,0,183
42622,7,58.44,0,178
42623,7,18.37,0,179
43262,8,273.4,0,169
43263,8,299.55,0,167
43264,8,180.53,0,171
43265,8,20.27,0,173
43270,7,42.71,0,181
43271,7,155.01,0,190
43272,7,380.64,0,194
43274,8,77.9,0,161
43276,7,261.49,0,188
43277,7,203.18,0,186
43278,7,325.45,0,181
43279,9,17.21,0,138
43280,7,88.25,0,188
43281,7,82.61,0,178
43282,7,23.08,0,180
43289,8,0.56,0,167
43290,7,137.24,0,194
43291,7,7.99,0,192
43292,7,4.22,0,186
43293,7,88.34,0,190
43294,7,280.85,0,185
43295,7,374.7,0,195
43296,7,512.7,0,192
43297,7,351.09,0,187
43298,7,334.1,0,184
43299,7,104.77,0,192
43300,7,320.98,0,193
43301,7,315.93,0,195
43302,7,70.87,0,178
43303,7,39.01,0,189
43304,7,225.75,0,180
43305,7,175.97,0,180
43306,7,248.75,0,182
43307,7,223.7,0,180
43308,8,84.52,0,171
43309,8,32.39,0,167
43310,8,0.82,0,165
43311,7,0.08,0,187
43946,8,219.7,0,169
43947,8,301.01,0,169
43948,8,99.47,0,166
43949,8,12.16,0,167
43955,7,14.51,0,185
43956,7,473.7,0,182
43957,8,241.48,0,172
43959,7,229.93,0,193
43961,7,128.79,0,185
43962,7,347.84,0,189
43963,7,195.81,0,188
43965,8,3.44,0,173
43973,8,6.19,0,166
43974,7,124.37,0,193
43975,7,38.52,0,195
43976,7,6.51,0,180
43977,7,229.52,0,196
43978,7,373.5,0,189
43979,7,424.01,0,187
43980,7,348.48,0,182
43981,7,311.42,0,189
43982,7,254.76,0,181
43983,7,283.12,0,186
43984,8,256.75,0,164
43985,8,81.31,0,163
43987,7,49.04,0,181
43988,7,315.45,0,181
43989,7,287.19,0,183
43990,7,437.57,0,182
43991,7,180.01,0,180
43992,7,9.8,0,176
43993,8,77.05,0,172
43994,8,0.83,0,165
43995,8,5.84,0,162
43996,7,12.33,0,194
43997,8,40.27,0,170
43998,7,11.96,0,194
43999,7,53.1,0,182
44000,6,6.19,0,211
44630,8,434.73,0,173
44631,8,391.07,0,170
44632,8,42.6,0,174
44639,7,20.1,0,186
44642,7,156.38,0,194
44644,7,93.33,0,183
44645,7,124.36,0,186
44646,7,413.4,0,185
44647,7,197.08,0,184
44648,8,4.01,0,166
44655,7,0.07,0,176
44658,7,47.45,0,192
44659,7,119.75,0,199
44660,7,316.73,0,184
44661,7,301.82,0,191
44662,8,208.64,0,164
44663,7,408.23,0,184
44664,8,336.58,0,174
44665,8,154.83,0,175
44666,7,189.52,0,185
44667,7,95.54,0,184
44668,7,80.16,0,189
44669,7,57.7,0,182
44670,7,42.87,0,180
44671,7,73.75,0,181
44672,7,273.62,0,183
44673,7,223.07,0,182
44674,7,104.32,0,177
44675,7,127.96,0,177
44676,7,168.01,0,179
44677,8,12.53,0,168
44678,8,5.39,0,164
44679,8,60.45,0,168
44680,8,131.41,0,172
44681,7,24.63,0,180
44682,6,9.63,0,212
44683,9,10.43,0,138
44684,6,118.24,0,208
44685,6,20.03,0,200
44686,8,0.09,0,167
44687,8,0.1,0,171
44688,8,14.72,0,172
45314,8,510.62,0,173
45315,8,482.75,0,172
45316,7,219.0,0,178
45317,7,3.72,0,183
45322,7,8.95,0,185
45323,7,62.05,0,191
45325,7,258.63,0,199
45327,7,26.64,0,189
45328,7,87.7,0,192
45329,7,158.78,0,183
45330,7,272.16,0,182
45331,7,305.79,0,186
45332,7,11.95,0,179
45341,7,4.42,0,194
45342,7,118.04,0,188
45343,8,144.92,0,174
45344,7,359.48,0,185
45345,8,257.23,0,165
45346,7,490.78,0,189
45347,7,386.72,0,183
45348,7,514.95,0,180
45349,7,301.66,0,177
45350,7,429.29,0,182
45351,7,292.65,0,186
45352,7,257.63,0,180
45353,7,66.28,0,178
45354,7,50.1,0,183
45355,7,143.12,0,186
45356,7,198.92,0,182
45357,7,184.95,0,183
45358,7,57.64,0,179
45359,8,88.72,0,171
45360,8,101.85,0,175
45361,8,59.81,0,169
45362,8,36.05,0,167
45363,8,105.18,0,168
45364,7,96.34,0,177
45365,8,27.85,0,173
45366,7,2.37,0,179
45367,7,257.78,0,186
45368,8,158.4,0,173
45369,8,25.72,0,168
45370,8,14.18,0,172
45371,8,83.57,0,171
45372,8,148.06,0,173
45373,8,38.9,0,169
45374,8,48.66,0,172
45375,8,135.26,0,169
45376,8,33.54,0,170
45377,8,0.19,0,165
45998,7,482.28,0,178
45999,8,471.25,0,175
46000,7,178.72,0,176
46001,7,5.03,0,178
46002,7,21.0,0,186
46004,7,14.67,0,188
46005,7,120.46,0,179
46007,7,264.49,0,181
46008,8,192.4,0,173
46011,7,33.2,0,190
46012,7,79.77,0,188
46013,7,172.75,0,183
46014,7,406.74,0,180
46015,7,121.73,0,188
46016,8,6.57,0,165
46025,7,14.02,0,192
46026,7,156.31,0,200
46027,7,358.59,0,181
46028,7,368.01,0,187
46029,7,534.05,0,192
46030,7,471.53,0,184
46031,7,430.37,0,190
46032,7,481.12,0,177
46033,7,390.17,0,181
46034,7,352.76,0,182
46035,7,323.34,0,182
46036,8,401.31,0,175
46037,7,167.71,0,175
46038,7,302.67,0,185
46039,7,212.19,0,184
46040,7,293.51,0,186
46041,7,290.4,0,193
46042,7,250.21,0,189
46043,7,44.88,0,176
46044,7,78.59,0,183
46045,7,305.27,0,179
46046,8,105.12,0,170
46047,8,198.93,0,169
46048,8,101.96,0,175
46049,8,67.17,0,169
46050,7,64.11,0,176
46051,7,192.47,0,178
46052,7,282.16,0,175
46053,7,30.74,0,177
46054,7,77.08,0,177
46055,7,246.64,0,175
46056,7,63.17,0,178
46058,8,21.14,0,171
46059,8,295.87,0,171
