sc_point_gid,class,capacity,capital_adder_per_mw,cf
37804,10,0.0,0,0.0
37805,10,0.0,0,0.0
37806,10,0.0,0,0.0
37807,10,0.0,0,0.0
37808,10,0.0,0,0.0
38488,10,0.0,0,0.0
38489,10,0.0,0,0.0
38490,10,0.0,0,0.0
38491,10,0.0,0,0.0
38492,10,0.0,0,0.0
39158,10,0.0,0,0.0
39173,10,0.0,0,0.0
39174,10,0.0,0,0.0
39175,10,0.0,0,0.0
39176,10,0.0,0,0.0
39180,10,0.0,0,0.0
39182,10,0.0,0,0.0
39842,10,0.0,0,0.0
39843,10,0.0,0,0.0
39857,10,0.0,0,0.0
39858,10,0.0,0,0.0
39859,10,0.0,0,0.0
39871,10,0.0,0,0.0
40525,10,0.0,0,0.0
40526,10,0.0,0,0.0
40527,10,0.0,0,0.0
40528,10,0.0,0,0.0
40539,10,0.0,0,0.0
40540,10,0.0,0,0.0
40541,10,0.0,0,0.0
40542,10,0.0,0,0.0
40543,10,0.0,0,0.0
40544,10,0.0,0,0.0
40545,10,0.0,0,0.0
40556,10,0.0,0,0.0
40557,10,0.0,0,0.0
40558,10,0.0,0,0.0
41209,10,0.0,0,0.0
41210,10,0.0,0,0.0
41211,10,0.0,0,0.0
41212,10,0.0,0,0.0
41213,10,0.0,0,0.0
41214,10,0.0,0,0.0
41224,10,0.0,0,0.0
41225,10,0.0,0,0.0
41226,10,0.0,0,0.0
41227,10,0.0,0,0.0
41228,10,0.0,0,0.0
41229,10,0.0,0,0.0
41230,10,0.0,0,0.0
41231,10,0.0,0,0.0
41242,10,0.0,0,0.0
41243,10,0.0,0,0.0
41244,10,0.0,0,0.0
41245,10,0.0,0,0.0
41246,10,0.0,0,0.0
41893,10,0.0,0,0.0
41894,10,0.0,0,0.0
41895,10,0.0,0,0.0
41896,10,0.0,0,0.0
41897,10,0.0,0,0.0018
41898,10,0.0,0,0.0
41899,10,0.0,0,0.0
41900,10,0.0,0,0.0
41906,10,0.0,0,0.0
41907,10,0.0,0,0.0
41908,10,0.0,0,0.0
41909,10,0.0,0,0.0
41910,10,0.0,0,0.0
41911,10,0.0,0,0.0
41912,10,0.0,0,0.0
41913,10,0.0,0,0.0
41914,10,0.0,0,0.0
41915,10,0.0,0,0.0
41926,10,0.0,0,0.0
41927,10,0.0,0,0.0
41928,10,0.0,0,0.0
41929,10,0.0,0,0.0
41930,10,0.0,0,0.0
41931,10,0.0,0,0.0
41932,10,0.0,0,0.0
41933,10,0.0,0,0.0
41934,10,0.0,0,0.0
42578,10,0.0,0,0.0
42579,10,0.0,0,0.0
42580,10,0.0,0,0.0
42581,10,0.0,0,0.0
42584,10,0.0,0,0.0
