region,capacity_GW,cum_cost_$,slope_$/kW
0d9a52e512b77d53cc23d6f85edc0754,0,0,
0d9a52e512b77d53cc23d6f85edc0754,1,20759495.3,20.7595
0d9a52e512b77d53cc23d6f85edc0754,4,190502686.2,56.5811
0d9a52e512b77d53cc23d6f85edc0754,11,1060221474,124.2455
0d9a52e512b77d53cc23d6f85edc0754,12,1189069984,128.8485
0d9a52e512b77d53cc23d6f85edc0754,13,1337145547,148.0756
0d9a52e512b77d53cc23d6f85edc0754,14,1501527052,164.3815
0d9a52e512b77d53cc23d6f85edc0754,15,1741935528,240.4085
0d9a52e512b77d53cc23d6f85edc0754,17,2270124346,264.0944
0d9a52e512b77d53cc23d6f85edc0754,19,3013735429,371.8055
0d9a52e512b77d53cc23d6f85edc0754,20,3464154555,450.4191
48285273eb070fb2eef952b7841e433b,0,0,
48285273eb070fb2eef952b7841e433b,6,1270689230,211.7815
48285273eb070fb2eef952b7841e433b,12,3431393434,360.1174
48285273eb070fb2eef952b7841e433b,15,4698318028,422.3082
8bcad4839a1e0e439e62911ff7b2d1c0,0,0,
8bcad4839a1e0e439e62911ff7b2d1c0,1,35561574.4,35.5616
8bcad4839a1e0e439e62911ff7b2d1c0,2,138956200.1,103.3946
8bcad4839a1e0e439e62911ff7b2d1c0,6,1018964860,220.0022
8bcad4839a1e0e439e62911ff7b2d1c0,17,4469498374,313.6849
8bcad4839a1e0e439e62911ff7b2d1c0,18,5296929731,827.4314
cd68f69f916d3a21378ed4f2c353a5f2,0,0,
cd68f69f916d3a21378ed4f2c353a5f2,10,552756542.5,55.2757
cd68f69f916d3a21378ed4f2c353a5f2,15,1370010254,163.4507
cd68f69f916d3a21378ed4f2c353a5f2,20,2964977722,318.9935
