sc_point_gid,class,capacity,capital_adder_per_mw,cf,FIPS,dist_spur_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,region,supply_curve_cost_per_mw
4,5,10.402,0.0,0.20263673,p99073,12.948410217065328,0.0,47481.703,0.0,0.0,47481.703,pr352,47481.703
6,5,169.519,0.0,0.2009692,p99073,7.777882165630365,0.0,28521.424,0.0,0.0,28521.424,pr352,28521.424
7,5,118.58700000000002,0.0,0.20069443,p99073,5.666387941353878,0.0,20778.594,0.0,0.0,20778.594,pr352,20778.594
8,5,152.852,0.0,0.20065916,p99073,4.470204559831215,0.0,16392.2,0.0,0.0,16392.2,pr352,16392.2
9,5,8.862000000000002,0.0,0.20004168,p99073,4.958357786577271,0.0,18182.252,0.0,0.0,18182.252,pr352,18182.252
10,5,52.115,0.0,0.20037039,p99073,6.751811265417121,0.0,24758.83,0.0,0.0,24758.83,pr352,24758.83
80,5,129.52100000000002,0.0,0.20066413,p99073,12.29598691338667,0.0,45089.273,0.0,0.0,45089.273,pr352,45089.273
81,5,131.565,0.0,0.20194614,p99073,9.382357465643503,0.0,34405.02,0.0,0.0,34405.02,pr352,34405.02
82,5,227.836,0.0,0.20041934,p99073,6.585756042113596,0.0,24149.908,0.0,0.0,24149.908,pr352,24149.908
83,5,175.52500000000003,0.0,0.20081943,p99073,3.870456005772144,0.0,14192.927,0.0,0.0,14192.927,pr352,14192.927
84,5,73.066,0.0,0.20040143,p99073,1.6891931007388452,0.0,6194.256,0.0,0.0,6194.256,pr352,6194.256
85,4,113.351,0.0,0.19909337,p99073,2.730680007812609,0.0,10013.379,0.0,0.0,10013.379,pr352,10013.379
86,4,112.021,0.0,0.19924378,p99073,5.334918120507379,0.0,19563.096,0.0,0.0,19563.096,pr352,19563.096
87,4,13.888000000000002,0.0,0.19768068,p99073,8.107453322300604,0.0,29729.957,0.0,0.0,29729.957,pr352,29729.957
88,5,105.063,0.0,0.19987041,p99073,10.920849492233735,0.0,40046.656,0.0,0.0,40046.656,pr352,40046.656
89,4,55.069,0.0,0.1994479,p99073,13.855010269778642,0.0,50806.195,0.0,0.0,50806.195,pr352,50806.195
90,4,95.956,0.0,0.19872612,p99071,10.933331483253786,0.0,40092.426,0.0,0.0,40092.426,pr335,40092.426
91,4,17.248,0.0,0.19817322,p99071,8.488797233286604,0.0,31128.342,0.0,0.0,31128.342,pr335,31128.342
92,4,33.264,0.0,0.19972928,p99071,6.325002708199322,0.0,23193.727,0.0,0.0,23193.727,pr335,23193.727
93,5,39.802,0.0,0.19996195,p99071,5.066088545311295,0.0,18577.3,0.0,0.0,18577.3,pr335,18577.3
98,5,59.227,0.0,0.20073964,p99080,4.011917974512132,0.0,14711.667,0.0,0.0,14711.667,pr440,14711.667
99,4,172.669,0.0,0.199824,p99080,6.769886207050146,0.0,24825.111,0.0,0.0,24825.111,pr440,24825.111
100,4,42.616,0.0,0.1995668,p99080,9.687504840930114,0.0,35523.992,0.0,0.0,35523.992,pr440,35523.992
101,4,9.191,0.0,0.19954796,p99072,5.284500659602105,0.0,19378.215,0.0,0.0,19378.215,pr343,19378.215
102,5,21.574,0.0,0.19992852,p99072,5.474155291854562,0.0,20073.678,0.0,0.0,20073.678,pr343,20073.678
104,4,12.432,0.0,0.19752784,p99049,6.854451573365814,0.0,25135.21,0.0,0.0,25135.21,pr196,25135.21
106,5,14.035,0.0,0.2011842,p99049,5.48753885114278,0.0,20122.756,0.0,0.0,20122.756,pr196,20122.756
107,5,6.188000000000001,0.0,0.2011842,p99049,6.854437249972794,0.0,25135.158,0.0,0.0,25135.158,pr196,25135.158
108,5,17.808,0.0,0.20101622,p99016,3.9046791333566873,0.0,14318.423,0.0,0.0,14318.423,pr41,14318.423
110,4,37.408,0.0,0.1990452,p99016,7.208255048601995,0.0,26432.605,0.0,0.0,26432.605,pr41,26432.605
111,4,53.431,0.0,0.19863304,p99027,8.212632283134651,0.0,30115.648,0.0,0.0,30115.648,pr93,30115.648
112,4,9.541,0.0,0.1991312,p99027,7.1482540248298125,0.0,26212.582,0.0,0.0,26212.582,pr93,26212.582
156,3,6.055000000000001,0.0,0.19142877,p99012,5.393262714255764,0.0,19777.045,0.0,0.0,19777.045,pr32,19777.045
157,3,46.396,0.0,0.19535384,p99073,9.369400008944096,0.0,34357.504,0.0,0.0,34357.504,pr352,34357.504
158,3,53.865,0.0,0.1941583,p99073,6.543164407986427,0.0,23993.725,0.0,0.0,23993.725,pr352,23993.725
159,3,35.889,0.0,0.19340725,p99073,3.796972569879192,0.0,13923.464,0.0,0.0,13923.464,pr352,13923.464
