sc_point_gid,class,capacity,capital_adder_per_mw,cf
37787,8,20.38,3447780.91,0.3775
39149,8,75.39,4947648.62,0.4171
39150,8,301.0,1286750.22,0.4121
39834,8,85.54,4933198.33,0.4091
47359,8,136.37,3673740.55,0.3923
48042,8,112.75,4357369.79,0.395
48043,8,521.83,857149.52,0.392
48044,8,324.13,800120.73,0.388
48726,8,194.46,2783671.81,0.396
48727,8,269.21,1329076.83,0.3934
48728,8,368.42,792983.67,0.3887
49410,8,37.68,5018292.38,0.3961
49411,8,237.46,1619593.81,0.3925
49412,8,353.97,879291.5,0.3895
50095,8,43.64,4836657.06,0.3921
50096,8,218.51,2002619.97,0.3887
50779,8,50.61,4896751.12,0.3942
50780,8,165.01,3228573.14,0.3883
51462,8,24.24,4972974.44,0.395
51463,8,205.77,2457901.44,0.3926
51464,8,134.43,3339911.23,0.3872
52146,8,32.21,4938062.75,0.3964
52829,8,17.59,4721470.71,0.398
52830,8,89.2,4050921.43,0.3937
52831,8,249.51,818779.22,0.3894
52832,8,189.93,1687208.56,0.385
53513,8,206.81,2262709.31,0.3986
53514,8,337.25,1029084.8,0.3945
53515,8,367.16,565402.36,0.3896
53516,8,31.53,3393486.09,0.3856
54196,8,19.86,5271888.06,0.4037
54197,8,168.58,3250531.56,0.3985
54198,8,345.22,1050286.08,0.3945
54199,8,109.84,3358455.17,0.3888
54200,8,55.18,3367712.29,0.3841
54881,8,47.69,4714087.98,0.3987
54882,8,51.94,4224684.38,0.3952
54883,8,342.08,473701.95,0.3872
54884,8,15.45,3332603.05,0.3838
55563,8,59.39,4718322.0,0.4095
55566,8,239.37,998785.69,0.3935
55567,8,268.53,593104.91,0.3875
56249,8,264.12,1191992.71,0.3993
56250,8,530.45,561588.26,0.3944
56251,8,441.74,523928.03,0.3887
56932,8,79.74,4893888.46,0.4034
56933,8,393.56,993873.04,0.4003
56934,8,428.81,792050.56,0.3961
56935,8,381.15,658646.81,0.3915
57616,8,321.93,1321564.05,0.4041
57617,8,262.67,1021561.02,0.4005
57618,8,389.38,757359.23,0.3958
57619,8,304.59,741250.69,0.3914
57861,9,74.88,3273134.42,0.4804
57862,9,55.21,3278393.19,0.4839
58299,8,257.42,1499467.54,0.4081
58300,8,140.23,3644951.64,0.4044
58301,8,326.59,916573.06,0.4004
58302,8,332.13,828408.02,0.3965
58303,8,182.67,2213800.46,0.3929
58545,9,281.98,449155.78,0.4843
58546,9,509.88,190728.97,0.4887
58547,9,300.28,386066.55,0.4941
58548,10,45.0,3224264.91,0.4981
58982,8,50.28,5019727.8,0.4119
58983,8,388.41,1245300.48,0.4084
58984,8,422.59,880594.42,0.4044
58985,8,281.62,857230.76,0.3997
58986,8,395.67,735196.97,0.3961
58987,8,49.09,3890845.64,0.3928
59228,9,98.92,3342147.28,0.483
59229,9,514.29,216957.26,0.4866
59230,9,530.84,113024.01,0.4916
59231,10,530.84,124730.15,0.496
59232,10,521.41,131508.33,0.4997
59233,10,331.94,318614.35,0.5031
59234,10,66.52,3016175.4,0.506
59665,8,24.53,5072316.12,0.4145
59666,8,240.67,1690024.03,0.4122
59667,8,118.03,4011546.05,0.4089
59668,8,476.54,752109.74,0.4048
59669,8,530.84,558958.77,0.4004
59670,8,396.48,671873.84,0.3961
59911,9,31.95,3292751.27,0.4762
59912,9,428.72,306032.1,0.4808
59913,9,530.84,118713.3,0.4861
59914,9,530.84,90725.2,0.4912
59915,10,530.84,109677.9,0.4963
59916,10,530.84,79440.39,0.5007
59917,10,530.84,12601.44,0.5042
59918,10,516.52,-7441.13,0.5067
59919,10,368.68,263330.25,0.5072
59920,10,91.21,3237694.17,0.5068
60350,8,242.97,1372597.16,0.4127
60351,8,466.62,670226.57,0.4097
60352,8,366.74,780595.96,0.4047
60353,8,529.51,560229.54,0.3999
60354,8,150.34,2749220.88,0.3964
60594,9,114.18,2890739.98,0.4677
60595,9,455.35,189785.86,0.4723
60596,9,514.38,131270.71,0.4775
60597,9,396.87,275424.12,0.4831
60598,9,335.24,332009.48,0.4892
60599,10,297.33,370689.27,0.4955
60600,10,352.97,296638.09,0.5007
60601,10,511.69,33331.33,0.5035
60602,10,530.84,-14596.88,0.506
60603,10,530.84,107476.02,0.5068
60604,10,528.67,151983.48,0.5071
60605,10,379.66,362513.9,0.5059
60606,10,125.06,2803805.81,0.5045
61032,8,58.58,4781329.83,0.4189
61033,8,160.57,3478856.49,0.4164
61034,8,499.83,851610.45,0.4133
61035,8,530.84,552400.89,0.4092
61036,8,530.84,465840.73,0.4047
61037,8,305.14,648774.39,0.4001
61272,8,26.34,3075083.1,0.4108
61277,9,162.32,2017961.67,0.4619
61278,9,459.89,164900.52,0.4647
61279,9,252.66,364357.98,0.4689
61280,9,33.08,3153111.44,0.4724
61285,10,60.72,2993007.77,0.5031
61286,10,437.34,150535.48,0.5041
61287,10,530.84,141408.57,0.5056
61288,10,530.84,174277.58,0.5067
61289,10,530.84,172153.44,0.5066
61290,10,530.84,134149.3,0.5051
61291,10,413.07,242614.15,0.503
61292,10,159.96,2048283.41,0.5014
61716,8,210.99,2331419.87,0.4197
61717,8,179.5,2982829.87,0.4166
61718,8,522.39,661254.71,0.413
61719,8,530.84,419259.32,0.4089
61720,8,307.41,613119.7,0.4047
61954,8,152.9,2102739.24,0.3974
61955,8,454.41,145145.3,0.4098
61956,8,452.47,151377.99,0.4253
61957,9,203.96,1199192.47,0.4409
61958,9,120.24,2755352.7,0.4502
61959,9,197.51,1333002.6,0.4567
61960,9,431.34,189875.72,0.4603
61961,9,441.35,213504.57,0.4619
61962,9,75.39,3189902.74,0.4622
61970,10,75.1,3171760.22,0.5017
61971,10,525.92,165541.89,0.5023
61972,10,530.84,183016.38,0.5046
61973,10,530.84,179981.42,0.5055
61974,10,530.84,137900.71,0.5057
61975,10,530.84,74389.45,0.5052
61976,10,530.84,64569.42,0.5033
61977,10,451.04,49048.62,0.5003
