sc_point_gid,class,capacity,capital_adder_per_mw,cf,FIPS,dist_spur_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,region,supply_curve_cost_per_mw
188,3,59.7294,0.0,0.37108892,p99008,70.77590276657733,0.0,7683.796,0.0,0.0,7683.796,pr18,7683.796
197,2,537.1271999999999,0.0,0.35964993,p99012,68.05946947002244,0.0,5760.2324,0.0,0.0,5760.2324,pr32,5760.2324
198,3,144.34199999999998,0.0,0.36439657,p99012,55.8061502390992,0.0,5357.3916,0.0,0.0,5357.3916,pr32,5357.3916
200,4,177.5358,0.0,0.3859393,p99012,35.36172467618837,0.0,32443.262,0.0,0.0,32443.262,pr32,32443.262
201,4,377.622,0.0,0.39524496,p99116,28.06026967975132,0.0,25039.668,0.0,0.0,25039.668,pr97021,25039.668
202,4,340.8561,0.0,0.4048017,p99030,23.13807320169011,0.0,19355.443,0.0,0.0,19355.443,pr100,19355.443
203,4,204.2901,0.0,0.41028753,p99030,25.348828854118924,0.0,19345.91,0.0,0.0,19345.91,pr100,19345.91
204,4,146.7477,0.0,0.41656476,p99081,25.203208602753303,0.0,2200.4424,0.0,0.0,2200.4424,pr441,2200.4424
205,5,68.3802,0.0,0.4177429,p99080,23.03488730481029,0.0,4959.9136,0.0,0.0,4959.9136,pr440,4959.9136
206,5,44.9064,0.0,0.41729513,p99082,25.00627024184637,0.0,15179.184,0.0,0.0,15179.184,pr442,15179.184
208,4,98.901,0.0,0.38630784,p99019,27.206415970341222,0.0,912.3426,0.0,0.0,912.3426,pr63,912.3426
209,4,110.6379,0.0,0.3755959,p99019,24.492296697875343,0.0,1277.4873,0.0,0.0,1277.4873,pr63,1277.4873
210,3,84.3453,0.0,0.36827344,p99024,26.684578253544256,0.0,16664.918,0.0,0.0,16664.918,pr86,16664.918
211,3,107.0901,0.0,0.3633406,p99022,33.25141681312931,0.0,13070.316,0.0,0.0,13070.316,pr84,13070.316
212,3,173.06459999999998,0.0,0.3608511,p99051,34.6752222840568,0.0,13817.505,0.0,0.0,13817.505,pr211,13817.505
213,3,134.136,0.0,0.3621848,p99008,38.4497052026889,0.0,17028.82,0.0,0.0,17028.82,pr18,17028.82
214,3,170.4888,0.0,0.3663942,p99008,42.70635499034088,0.0,7838.5215,0.0,0.0,7838.5215,pr18,7838.5215
215,3,411.885,0.0,0.36995807,p99008,50.76471735958852,0.0,7420.7617,0.0,0.0,7420.7617,pr18,7420.7617
216,3,539.3870999999999,0.0,0.37195367,p99008,61.001518783552456,0.0,5733.3564,0.0,0.0,5733.3564,pr18,5733.3564
217,4,590.4657,0.0,0.3747206,p99008,72.55808068831594,0.0,5613.074,0.0,0.0,5613.074,pr18,5613.074
225,2,567.2106,0.0,0.35237724,p99012,63.26959965435367,0.0,6921.177,0.0,0.0,6921.177,pr32,6921.177
226,2,393.0282,0.0,0.3566781,p99012,49.709394379707966,0.0,6395.5215,0.0,0.0,6395.5215,pr32,6395.5215
228,4,98.415,0.0,0.37855825,p99012,24.53505418462377,0.0,3617.763,0.0,0.0,3617.763,pr32,3617.763
229,4,530.1044999999999,0.0,0.3980081,p99012,16.38161185208261,0.0,39979.227,0.0,0.0,39979.227,pr32,39979.227
230,4,376.9173,0.0,0.39514458,p99030,9.232091039719943,0.0,20851.367,0.0,0.0,20851.367,pr100,20851.367
231,4,507.0681,0.0,0.39625928,p99030,13.968658338483332,0.0,21512.416,0.0,0.0,21512.416,pr100,21512.416
232,4,528.6221999999999,0.0,0.39706236,p99071,12.37762914761332,0.0,2290.5906,0.0,0.0,2290.5906,pr335,2290.5906
233,4,539.0955,0.0,0.3909891,p99080,9.191808839700707,0.0,5130.2573,0.0,0.0,5130.2573,pr440,5130.2573
234,4,285.01469999999995,0.0,0.38891116,p99082,11.868872889938858,0.0,18206.598,0.0,0.0,18206.598,pr442,18206.598
235,3,84.58829999999999,0.0,0.3660432,p99118,11.104555018109265,0.0,24956.826,0.0,0.0,24956.826,pr97064,24956.826
236,4,315.657,0.0,0.38555378,p99027,14.263727458673689,0.0,24596.994,0.0,0.0,24596.994,pr93,24596.994
237,4,5.5647,0.0,0.3753932,p99019,10.362544526500017,0.0,1448.4694,0.0,0.0,1448.4694,pr63,1448.4694
238,3,314.9037,0.0,0.36743048,p99024,14.057497656724124,0.0,15749.645,0.0,0.0,15749.645,pr86,15749.645
239,3,477.2034,0.0,0.36628982,p99020,19.563192088203213,0.0,9324.547,0.0,0.0,9324.547,pr82,9324.547
240,3,223.0254,0.0,0.35989237,p99051,20.634247923644526,0.0,14044.128,0.0,0.0,14044.128,pr211,14044.128
241,3,344.28239999999994,0.0,0.36216182,p99008,24.444959415432944,0.0,16576.154,0.0,0.0,16576.154,pr18,16576.154
242,3,560.358,0.0,0.36770806,p99008,30.850018103775295,0.0,7188.348,0.0,0.0,7188.348,pr18,7188.348
243,3,578.2671,0.0,0.37165427,p99008,41.23380947535608,0.0,5628.978,0.0,0.0,5628.978,pr18,5628.978
244,3,560.9168999999999,0.0,0.37391785,p99008,53.27566537227962,0.0,5632.632,0.0,0.0,5632.632,pr18,5632.632
245,4,567.0647999999999,0.0,0.37559387,p99008,66.20522026536406,0.0,5815.647,0.0,0.0,5815.647,pr18,5815.647
253,2,579.1904999999999,0.0,0.34303352,p99012,61.316003854242425,0.0,11141.514,0.0,0.0,11141.514,pr32,11141.514
254,2,575.5698,0.0,0.34265333,p99012,47.18375525065841,0.0,11940.425,0.0,0.0,11940.425,pr32,11940.425
255,2,463.8626999999999,0.0,0.3368761,p99012,33.05666769928553,0.0,7865.069,0.0,0.0,7865.069,pr32,7865.069
256,2,472.7808,0.0,0.34017187,p99012,18.938218921053597,0.0,8972.335,0.0,0.0,8972.335,pr32,8972.335
257,3,315.5598,0.0,0.3627711,p99012,5.062171234570961,0.0,6645.664,0.0,0.0,6645.664,pr32,6645.664
260,2,5.030099999999999,0.0,0.35894275,p99121,2.259467946432735,0.0,8275.147,0.0,0.0,8275.147,pr97144,8275.147
261,2,7.1199,0.0,0.33719212,p99015,5.4813096065935865,0.0,24125.73,0.0,0.0,24125.73,pr40,24125.73
265,2,45.51389999999999,0.0,0.34114385,p99029,2.4104813263150606,0.0,8833.017,0.0,0.0,8833.017,pr99,8833.017
266,2,98.1477,0.0,0.35451865,p99022,1.8441987913604472,0.0,11135.541,0.0,0.0,11135.541,pr84,11135.541
267,2,115.911,0.0,0.3559371,p99020,6.9320039589311975,0.0,25380.465,0.0,0.0,25380.465,pr82,25380.465
268,1,5.054399999999999,0.0,0.31923717,p99051,7.372175777492794,0.0,6327.33,0.0,0.0,6327.33,pr211,6327.33
269,1,16.3782,0.0,0.3261709,p99008,11.08563382753713,0.0,7435.068,0.0,0.0,7435.068,pr18,7435.068
270,2,297.0918,0.0,0.35707495,p99008,21.72998761322928,0.0,5634.955,0.0,0.0,5634.955,pr18,5634.955
271,3,284.7474,0.0,0.3644314,p99008,34.94907860422677,0.0,6262.7466,0.0,0.0,6262.7466,pr18,6262.7466
272,3,492.1236,0.0,0.36932272,p99008,48.60705365996561,0.0,6663.6265,0.0,0.0,6663.6265,pr18,6663.6265
273,3,334.8297,0.0,0.37270406,p99008,62.52025190401472,0.0,7069.3535,0.0,0.0,7069.3535,pr18,7069.3535
281,2,548.5482,0.0,0.33434007,p99053,61.39828615719456,0.0,10228.677,0.0,0.0,10228.677,pr231,10228.677
282,1,597.0753,0.0,0.3238701,p99053,47.25510486496488,0.0,10278.103,0.0,0.0,10278.103,pr231,10278.103
283,1,539.5086,0.0,0.30345148,p99053,33.11111567752048,0.0,10414.443,0.0,0.0,10414.443,pr231,10414.443
284,1,390.7683,0.0,0.29612422,p99053,19.0781372401602,0.0,10975.36,0.0,0.0,10975.36,pr231,10975.36
285,1,84.7341,0.0,0.31837946,p99053,5.013904084105309,0.0,11107.898,0.0,0.0,11107.898,pr231,11107.898
297,1,296.2413,0.0,0.318041,p99008,7.0150511293009385,0.0,2060.161,0.0,0.0,2060.161,pr18,2060.161
298,2,483.5214,0.0,0.3399157,p99008,19.945698420977475,0.0,3329.8303,0.0,0.0,3329.8303,pr18,3329.8303
299,2,291.5028,0.0,0.35727814,p99008,33.86386807681019,0.0,5011.935,0.0,0.0,5011.935,pr18,5011.935
300,3,521.8181999999999,0.0,0.36312613,p99008,47.926597880341646,0.0,5106.244,0.0,0.0,5106.244,pr18,5106.244
301,3,62.81549999999999,0.0,0.36346027,p99008,61.922232342669744,0.0,5133.691,0.0,0.0,5133.691,pr18,5133.691
309,1,163.27169999999998,0.0,0.32702857,p99079,61.99192863266845,0.0,10187.84,0.0,0.0,10187.84,pr428,10187.84
310,1,598.6547999999999,0.0,0.31975788,p99079,47.97885267512659,0.0,10235.018,0.0,0.0,10235.018,pr428,10235.018
311,1,558.0495,0.0,0.30000883,p99079,34.212774447883014,0.0,10393.992,0.0,0.0,10393.992,pr428,10393.992
312,1,333.73619999999994,0.0,0.27523193,p99079,20.688021477060023,0.0,10967.432,0.0,0.0,10967.432,pr428,10967.432
313,1,337.11389999999994,0.0,0.27245417,p99037,7.614241670792293,0.0,9245.063,0.0,0.0,9245.063,pr116,9245.063
324,1,304.5762,0.0,0.31129333,p99109,4.445833229391986,0.0,15530.821,0.0,0.0,15530.821,pr2002,15530.821
325,1,393.9759,0.0,0.32954916,p99109,10.693904269742404,0.0,15678.284,0.0,0.0,15678.284,pr2002,15678.284
326,2,289.5831,0.0,0.34564868,p99031,23.04927942919783,0.0,12386.639,0.0,0.0,12386.639,pr101,12386.639
327,2,140.84279999999998,0.0,0.35626864,p99031,36.59109412832248,0.0,10711.841,0.0,0.0,10711.841,pr101,10711.841
328,4,535.2561000000001,0.0,0.37837693,p99031,50.5161054831388,0.0,11000.685,0.0,0.0,11000.685,pr101,11000.685
329,4,242.6598,0.0,0.39266413,p99031,64.4368264237652,0.0,11731.427,0.0,0.0,11731.427,pr101,11731.427
337,1,160.9389,0.0,0.3247366,p99037,63.92475644996063,0.0,10729.893,0.0,0.0,10729.893,pr116,10729.893
338,1,581.6205,0.0,0.32110107,p99037,50.0000595615341,0.0,10837.025,0.0,0.0,10837.025,pr116,10837.025
339,1,530.1531,0.0,0.3145586,p99037,36.36312922634947,0.0,10472.995,0.0,0.0,10472.995,pr116,10472.995
340,1,318.0141,0.0,0.3158017,p99037,23.1918897816942,0.0,20713.707,0.0,0.0,20713.707,pr116,20713.707
341,2,114.64739999999998,0.0,0.34835607,p99037,12.398702372050264,0.0,45323.805,0.0,0.0,45323.805,pr116,45323.805
344,4,22.6962,0.0,0.3994393,p99028,5.775028548035134,0.0,781.2065,0.0,0.0,781.2065,pr96,781.2065
346,4,24.6402,0.0,0.37853846,p99098,3.411424206265562,0.0,12480.678,0.0,0.0,12480.678,pr1078,12480.678
351,2,60.9444,0.0,0.33586445,p99094,1.5556424956445325,0.0,5709.4272,0.0,0.0,5709.4272,pr1025,5709.4272
352,1,312.1335,0.0,0.31741077,p99003,12.659408608837872,0.0,13830.832,0.0,0.0,13830.832,pr5,13830.832
353,2,273.3021,0.0,0.3410514,p99109,19.543939804784014,0.0,14002.665,0.0,0.0,14002.665,pr2002,14002.665
354,3,149.0562,0.0,0.37389305,p99109,29.62994705415315,0.0,15287.254,0.0,0.0,15287.254,pr2002,15287.254
355,4,96.7383,0.0,0.3842866,p99031,41.98548383044009,0.0,11830.761,0.0,0.0,11830.761,pr101,11830.761
356,4,54.9666,0.0,0.39471263,p99031,54.51455265877161,0.0,11922.788,0.0,0.0,11922.788,pr101,11922.788
357,4,6.9255,0.0,0.39828464,p99031,67.62688136996391,0.0,12410.871,0.0,0.0,12410.871,pr101,12410.871
365,2,483.1326,0.0,0.33390006,p99037,67.69133520919745,0.0,10577.453,0.0,0.0,10577.453,pr116,10577.453
366,1,228.0312,0.0,0.32972738,p99037,54.77243305751008,0.0,20463.559,0.0,0.0,20463.559,pr116,20463.559
367,1,287.1045,0.0,0.32987624,p99037,42.67605203751533,0.0,28648.316,0.0,0.0,28648.316,pr116,28648.316
368,2,500.9202,0.0,0.34512484,p99037,32.21933678746317,0.0,29674.846,0.0,0.0,29674.846,pr116,29674.846
369,3,209.0772,0.0,0.36116117,p99037,25.5862079409081,0.0,46588.77,0.0,0.0,46588.77,pr116,46588.77
371,5,276.5583,0.0,0.43232322,p99010,7.448763233876254,0.0,5767.854,0.0,0.0,5767.854,pr23,5767.854
372,5,529.8857999999999,0.0,0.4440439,p99068,8.918239769049803,0.0,243.56546,0.0,0.0,243.56546,pr319,243.56546
373,5,524.8799999999999,0.0,0.4437365,p99097,11.713044554813989,0.0,9173.651,0.0,0.0,9173.651,pr1077,9173.651
374,5,308.00249999999994,0.0,0.42009753,p99002,13.41908585677701,0.0,8459.853,0.0,0.0,8459.853,pr3,8459.853
375,5,329.2407,0.0,0.4445097,p99106,8.589804659208955,0.0,33231.36,0.0,0.0,33231.36,pr1800,33231.36
376,5,439.1253,0.0,0.46569812,p99034,6.021379102619977,0.0,2280.3096,0.0,0.0,2280.3096,pr106,2280.3096
377,5,459.4158,0.0,0.4710458,p99069,4.801572858814959,0.0,8178.4272,0.0,0.0,8178.4272,pr321,8178.4272
378,5,375.9939,0.0,0.45187676,p99070,11.425829569447046,0.0,20928.234,0.0,0.0,20928.234,pr334,20928.234
379,4,94.1868,0.0,0.39830786,p99046,12.375082337811415,0.0,9124.815,0.0,0.0,9124.815,pr184,9124.815
380,4,31.9302,0.0,0.40077287,p99094,19.70548562303661,0.0,21021.826,0.0,0.0,21021.826,pr1025,21021.826
397,4,12.392999999999995,0.0,0.39044014,p99010,37.89518620032635,0.0,4012.999,0.0,0.0,4012.999,pr23,4012.999
399,5,161.5464,0.0,0.456864,p99010,20.96277720792025,0.0,6913.255,0.0,0.0,6913.255,pr23,6913.255
400,5,206.4528,0.0,0.465708,p99068,22.47892758289581,0.0,303.72308,0.0,0.0,303.72308,pr319,303.72308
401,5,174.3768,0.0,0.46490282,p99068,24.159998203346596,0.0,9455.578,0.0,0.0,9455.578,pr319,9455.578
402,5,283.1922,0.0,0.46635756,p99097,26.02602063626581,0.0,13683.876,0.0,0.0,13683.876,pr1077,13683.876
