sc_point_gid,class,capacity,capital_adder_per_mw,cf
36432,7,43.19,3429888.44,0.2931
36433,6,24.04,3293555.59,0.2877
37116,6,27.64,3383571.48,0.2899
37787,8,20.9,3448488.62,0.3774
38466,8,19.83,4602587.49,0.4141
39149,8,220.06,2425500.28,0.418
39150,8,311.85,1289135.86,0.4122
39834,8,139.22,4179111.64,0.4096
40518,8,42.51,5410723.36,0.4084
40535,7,26.54,2656906.89,0.3021
40536,1,21.51,2638052.13,0.2909
41199,8,65.12,5557250.87,0.4264
41201,8,151.83,4229451.53,0.4098
41218,6,40.4,3012715.44,0.2862
41219,7,28.71,2675493.97,0.2983
41883,8,32.85,5593720.23,0.4227
42568,8,110.74,5299892.3,0.4139
47359,8,136.37,3675368.26,0.3923
48042,8,112.75,4358997.5,0.395
48043,8,521.83,858777.23,0.392
48044,8,324.13,801748.44,0.388
48726,8,279.29,1546245.23,0.3963
48727,8,276.27,1329137.9,0.3934
48728,8,368.42,794611.98,0.3887
49410,8,229.29,2258924.66,0.3965
49411,8,301.03,1365935.24,0.3929
49412,8,353.97,880918.6,0.3895
50095,8,113.04,4729127.15,0.3929
50096,8,265.91,1378460.71,0.389
50100,2,16.85,1746004.66,0.357
50778,8,184.91,3388048.42,0.3964
50779,8,124.25,4537191.05,0.3946
50780,8,189.02,2753381.15,0.3885
51462,8,114.57,4837294.98,0.3961
51463,8,229.36,1959889.3,0.3927
51464,8,134.43,3341538.94,0.3872
52145,8,124.61,4839220.72,0.3997
52146,8,88.84,5146768.55,0.397
52829,8,183.9,3401765.55,0.4002
52830,8,92.28,4077400.2,0.3938
52831,8,249.51,820406.93,0.3894
52832,8,189.93,1688836.27,0.385
53513,8,499.74,1387585.68,0.4001
53514,8,365.8,996388.65,0.3944
53515,8,400.76,535013.7,0.3896
53516,8,31.53,3395113.8,0.3856
54196,8,84.27,5322240.77,0.4038
54197,8,261.18,1614652.96,0.3993
54198,8,345.22,1051913.18,0.3945
54199,8,109.84,3360082.88,0.3888
54200,8,55.18,3369340.0,0.3841
54203,2,31.49,2400790.21,0.3364
54204,2,16.39,2277669.98,0.3365
54879,8,24.17,5485056.46,0.4088
54880,8,47.73,5573857.88,0.4036
54881,8,173.5,3377132.95,0.3995
54882,8,61.43,4196327.35,0.395
54883,8,372.31,449635.92,0.3872
54884,8,15.45,3334230.76,0.3838
55563,8,137.38,4226760.61,0.4093
55565,8,57.22,5222611.92,0.4005
55566,8,280.84,745643.23,0.3933
55567,8,349.17,518184.27,0.3875
56247,8,22.23,5556022.43,0.4104
56249,8,280.16,1179872.8,0.3994
56250,8,530.84,562149.51,0.3945
56251,8,445.14,521379.35,0.3886
56254,2,17.92,2906193.64,0.3612
56930,8,17.63,5583953.15,0.4112
56932,8,172.01,3347488.7,0.4035
56933,8,457.52,944177.94,0.4004
56934,8,476.6,745092.87,0.3961
56935,8,421.49,620625.73,0.3915
57174,8,104.59,2936410.41,0.4279
57615,8,41.21,5328088.31,0.4073
57616,8,386.27,1280720.4,0.4042
57617,8,384.65,906668.33,0.4005
57618,8,432.28,714422.22,0.3959
57619,8,411.06,611352.13,0.391
57856,8,91.5,3145102.73,0.4136
57857,8,180.73,1469180.4,0.4176
57858,8,47.92,3018078.06,0.4248
57859,9,39.82,2897072.03,0.4608
57860,9,370.14,242007.61,0.4673
57861,9,300.15,374798.31,0.4765
57862,9,55.21,3280020.9,0.4839
58298,8,44.78,5477995.57,0.4107
58299,8,436.36,1423894.33,0.4085
58300,8,150.6,3425022.39,0.4044
58301,8,392.79,851973.64,0.4003
58302,8,433.8,730846.1,0.3966
58303,8,517.43,468580.83,0.3908
58538,8,20.35,3184413.53,0.4027
58539,8,215.07,1045893.86,0.4058
58540,8,141.91,2375458.58,0.4107
58543,9,373.41,172936.87,0.4637
58544,9,530.84,84980.71,0.4741
58545,9,530.84,143716.82,0.4824
58546,9,509.88,192356.68,0.4887
58547,10,300.28,387694.27,0.4941
58548,10,45.0,3225892.62,0.4981
58982,8,141.49,4259123.28,0.4118
58983,8,440.51,1199572.57,0.4084
58984,8,445.27,868217.63,0.4044
58985,8,306.93,831253.22,0.3997
58986,8,458.23,670467.74,0.396
58987,8,274.98,770357.92,0.3913
58989,2,25.95,2983886.54,0.3553
59220,8,15.2,3203148.33,0.3717
59221,8,78.08,3167600.95,0.3934
59222,8,183.87,1604235.87,0.3987
59223,8,22.42,3155976.68,0.4043
59226,9,287.97,352710.8,0.4552
59227,9,530.84,104674.74,0.4688
59228,9,530.84,151764.21,0.4797
59229,9,530.84,173007.4,0.4865
59230,9,530.84,114651.72,0.4916
59231,10,530.84,126357.86,0.496
59232,10,521.41,133136.04,0.4997
59233,10,331.94,320242.06,0.5031
59234,10,66.52,3017803.11,0.506
59665,8,143.6,4339846.9,0.4151
59666,8,249.32,1507922.47,0.4123
59667,8,118.03,4013173.76,0.4089
59668,8,476.54,753737.45,0.4048
59669,8,530.84,560586.48,0.4004
59670,8,481.92,580819.16,0.3956
59671,8,44.1,3787531.51,0.3913
59673,2,15.62,2935469.13,0.3658
59903,8,150.4,2246986.59,0.3574
59904,8,408.89,249587.74,0.3797
59905,8,180.82,1671947.84,0.3915
59909,9,286.74,375436.11,0.4504
59910,9,530.84,92333.39,0.4619
59911,9,530.84,117253.01,0.4732
59912,9,530.84,160727.76,0.4804
59913,9,530.84,120341.02,0.4861
59914,9,530.84,92352.91,0.4912
59915,10,530.84,111305.61,0.4963
59916,10,530.84,81068.1,0.5007
59917,10,530.84,14229.15,0.5042
59918,10,516.52,-5813.42,0.5067
59919,10,368.68,264957.96,0.5072
59920,10,91.21,3239321.88,0.5068
60350,8,243.06,1372302.15,0.4127
60351,8,466.62,671854.28,0.4097
60352,8,366.74,782223.26,0.4047
60353,8,529.51,561857.25,0.3999
60354,8,155.75,2641563.87,0.3963
60585,7,30.94,3126334.7,0.3065
60586,7,268.43,348269.02,0.3302
60587,8,521.96,78275.41,0.3642
60588,8,507.35,78883.64,0.3955
60589,8,151.76,2090062.61,0.4187
60591,9,151.79,2196497.56,0.4345
60592,9,421.52,245484.1,0.4456
60593,9,530.84,96521.97,0.4569
60594,9,530.84,75963.36,0.4659
60595,9,530.84,69093.73,0.4721
60596,9,530.84,88368.83,0.4775
60597,9,530.84,100434.94,0.4826
60598,9,530.84,111400.12,0.4885
60599,10,530.84,107745.43,0.495
60600,10,530.84,79626.9,0.5003
60601,10,530.84,-14196.49,0.5034
60602,10,530.84,-12969.17,0.506
60603,10,530.84,109103.73,0.5068
60604,10,528.67,153611.19,0.5071
60605,10,379.66,364141.23,0.5059
60606,10,125.06,2805433.52,0.5045
61032,8,72.22,4855658.61,0.4189
61033,8,286.35,1560832.91,0.4165
61034,8,499.83,853238.16,0.4133
61035,8,530.84,554028.6,0.4092
61036,8,530.84,467468.44,0.4047
61037,8,305.14,650401.49,0.4001
61267,6,44.58,3044559.98,0.2796
61268,7,240.15,509443.62,0.2974
61269,7,472.94,127594.99,0.3215
61270,7,530.84,27176.06,0.3543
61271,8,530.84,12405.86,0.3867
61272,8,530.84,10066.73,0.4123
61273,9,530.84,9189.99,0.4293
61274,9,517.36,57504.69,0.438
61275,9,530.84,59119.88,0.4453
61276,9,530.84,58801.16,0.4545
61277,9,530.84,82734.8,0.4608
61278,9,530.84,49559.61,0.4645
61279,9,530.84,66489.31,0.4674
61280,9,530.84,102368.03,0.4705
61281,9,530.84,109770.08,0.475
61282,9,530.84,118707.29,0.4828
61283,9,530.84,93570.28,0.4907
61284,10,530.84,31073.56,0.4971
61285,10,530.84,-33250.7,0.5007
61286,10,530.84,6036.58,0.5037
61287,10,530.84,143036.28,0.5056
61288,10,530.84,175905.29,0.5067
61289,10,530.84,173781.16,0.5066
61290,10,530.84,135777.01,0.5051
61291,10,413.07,244241.87,0.503
61292,10,159.96,2049911.12,0.5014
61425,9,49.41,3327192.18,0.482
61426,9,54.37,3340778.11,0.4805
61716,8,223.4,2072363.72,0.4197
61717,8,213.84,2278290.74,0.4167
61718,8,522.39,662882.42,0.413
61719,8,530.84,420887.03,0.4089
61720,8,366.83,553047.08,0.4046
61949,6,73.26,3011138.75,0.2819
61950,6,355.36,182441.92,0.2894
61951,7,510.07,44076.57,0.3051
61952,7,530.84,7066.23,0.3309
61953,8,530.84,9319.69,0.359
61954,8,530.84,13196.74,0.3851
61955,8,530.84,23060.8,0.4077
61956,8,530.84,26834.5,0.4255
61957,9,530.84,30746.19,0.4394
61958,9,530.84,35670.38,0.4477
61959,9,530.84,51942.77,0.4549
61960,9,530.84,48370.24,0.4599
61961,9,530.84,85838.1,0.4618
61962,9,530.84,113273.34,0.4607
61963,9,530.84,110233.23,0.4584
61964,9,530.84,119654.22,0.4585
61965,9,483.54,206965.0,0.4642
61966,9,362.98,260002.12,0.473
61967,9,339.75,229530.32,0.4829
61968,9,464.81,66843.62,0.4893
61969,10,530.84,-43979.15,0.4939
61970,10,530.84,25366.95,0.4985
61971,10,530.84,153349.3,0.5023
61972,10,530.84,184644.09,0.5046
61973,10,530.84,181609.13,0.5055
61974,10,530.84,139528.42,0.5057
61975,10,530.84,76017.16,0.5052
61976,10,530.84,66197.13,0.5033
61977,10,451.04,50676.33,0.5003
61978,10,211.18,1057762.3,0.4969
61979,10,19.34,3103909.28,0.4943
62109,9,254.7,475042.25,0.4905
62400,8,72.48,5052277.28,0.42
62401,8,279.06,1191014.8,0.4169
62402,8,172.5,2358263.44,0.4137
62403,8,370.59,574671.17,0.4092
62404,8,46.75,3540661.46,0.4056
62632,6,231.43,633707.29,0.2868
62633,7,511.11,34620.67,0.3029
62634,7,530.84,-22066.29,0.3271
62635,7,530.84,-20071.85,0.3494
62636,8,530.84,-10969.57,0.3707
62637,8,530.84,-13159.66,0.3903
62638,8,530.84,204.15,0.4077
62639,8,530.84,29026.25,0.4232
62640,9,530.84,44984.52,0.4352
62641,9,530.84,45708.9,0.4451
62642,9,530.84,39793.75,0.4522
62643,9,530.84,32502.6,0.4569
62644,9,530.84,8260.39,0.4598
62645,9,530.84,74477.76,0.4598
62646,9,530.84,90042.16,0.4551
