sc_point_gid,class,capacity,capital_adder_per_mw,cf
44644,2,6.0,11378098.63,0.2372
46730,1,1.34,105451.78,0.0865
47413,1,1.5,1413995.28,0.1207
47414,1,6.22,85698.9,0.075
48098,1,2.23,138605.57,0.1004
48108,1,1.14,335318.68,0.0932
48760,1,0.4,1414895.1,0.1892
48792,1,7.5,342511.85,0.1049
48793,1,0.86,403120.32,0.1112
48813,7,54.0,291435.28,0.4359
48814,7,131.27,202748.34,0.4486
49497,7,6.0,1592805.33,0.447
50162,1,0.26,351404.74,0.2053
50469,3,6.0,1497767.71,0.352
50838,1,1.87,184628.78,0.1848
50843,1,1.36,257963.06,0.1641
50865,5,108.0,285078.5,0.3971
51155,4,36.0,188833.93,0.3812
51478,3,30.0,234427.64,0.3143
51491,5,6.0,1431346.59,0.4048
51492,4,60.0,151535.84,0.3837
52162,2,6.0,1411429.08,0.3106
52163,2,42.0,181573.35,0.3003
52178,3,6.0,1409757.74,0.3237
52179,3,6.0,1408099.92,0.3256
52206,1,1.67,162347.21,0.1457
52207,1,3.07,203329.98,0.1279
52863,4,60.0,123905.2,0.3599
52887,1,2.28,138419.18,0.2207
52888,1,2.86,135711.27,0.1704
52889,1,2.55,136997.46,0.1592
52890,1,1.67,150338.2,0.1308
52903,1,4.36,393176.55,0.218
53547,4,60.0,124282.95,0.3794
53571,1,1.55,154416.06,0.1952
53575,1,2.59,121701.26,0.1422
53589,1,2.31,1625792.3,0.1767
53661,7,54.0,94997.33,0.4442
53681,7,6.0,1387071.05,0.4386
53682,6,144.0,55991.28,0.4184
53697,5,6.0,1372025.57,0.3928
54225,2,2.0,1405403.95,0.2529
54261,3,2.29,170404.36,0.3375
54272,4,2.31,1567556.45,0.3578
54345,8,54.0,94623.52,0.4526
54346,8,30.0,200149.25,0.4571
54365,7,6.0,1688835.78,0.4338
54574,5,60.0,122933.5,0.4047
54916,2,0.43,263275.64,0.2543
54933,3,54.0,121281.75,0.315
55258,4,6.0,1422869.64,0.3828
55609,2,30.0,204153.29,0.2996
55610,2,72.0,95431.82,0.295
55618,3,6.0,1404752.94,0.3134
55631,1,1.07,144897.55,0.2178
55711,5,168.0,36798.18,0.413
55712,6,72.0,88050.76,0.4301
55742,6,42.0,146774.54,0.433
55743,6,60.0,107723.75,0.4317
56306,1,6.0,150610.02,0.1931
56337,3,48.0,190823.9,0.3267
56395,6,60.0,86147.72,0.415
56396,6,48.0,113264.56,0.4305
56415,4,30.0,259524.9,0.3886
56416,5,42.0,136252.3,0.3942
56426,6,66.0,101092.19,0.4315
56427,7,66.0,101960.48,0.4368
56970,1,1.37,1491692.42,0.1997
57001,1,2.09,172316.1,0.1064
57002,2,5.4,153673.78,0.242
57100,5,60.0,98473.83,0.3917
57654,1,0.79,203261.18,0.1933
57655,1,0.07,223643.78,0.1868
57676,1,0.56,157809.44,0.1631
57677,1,4.0,177408.24,0.1643
57686,1,2.92,159422.91,0.1263
57687,1,1.15,176088.73,0.1854
57997,5,48.0,142797.98,0.399
58347,2,24.0,236738.89,0.3094
58349,2,102.0,86123.62,0.2978
58360,1,0.33,147548.0,0.1357
58372,1,0.37,210769.7,0.0745
59031,3,162.0,42607.37,0.3365
59032,3,66.0,92177.31,0.3528
59033,3,120.0,73122.9,0.3526
59053,2,0.86,1430332.02,0.3002
59058,1,3.58,165257.14,0.1462
59062,1,1.5,1531821.43,0.1174
59348,7,6.0,1427517.81,0.4353
59699,3,72.0,112461.38,0.3441
59700,3,96.0,98061.77,0.3491
59707,2,48.0,139662.86,0.312
59716,4,54.0,118123.14,0.3617
59717,4,90.0,92107.89,0.3876
59732,1,4.74,166839.41,0.1433
59735,1,5.32,159829.06,0.0751
59765,6,84.0,143191.33,0.4196
59766,6,6.0,1454736.31,0.4155
59827,7,84.0,92238.4,0.449
60047,4,24.0,279244.45,0.3571
60379,4,60.0,168303.88,0.3629
60380,3,71.15,149787.14,0.3545
60381,3,53.51,149221.57,0.3226
60382,2,59.7,127003.84,0.2988
60383,4,178.7,56523.55,0.3619
60384,4,6.0,1408787.34,0.3646
60391,3,6.0,1403379.18,0.3229
60393,3,54.0,129149.8,0.3182
60423,2,3.24,78820.79,0.2281
60511,7,84.0,89843.15,0.4467
60513,8,60.0,93909.74,0.4552
60533,8,6.0,1371241.54,0.4581
60539,5,6.0,1694875.63,0.4045
61041,2,3.0,1562637.31,0.268
61064,4,78.0,136126.12,0.3889
61065,4,174.0,76394.43,0.379
61067,3,102.0,105510.87,0.3483
61068,3,126.0,92703.24,0.3246
61077,3,66.0,115822.07,0.3379
61078,3,72.0,116172.05,0.3219
61081,1,6.0,2925677.73,0.1989
61086,3,9.77,140669.8,0.3392
61099,1,2.37,118200.87,0.1659
61106,2,1.98,175092.81,0.2285
61107,1,4.65,131670.97,0.2153
61111,2,1.14,117082.19,0.3056
61227,5,6.0,1405559.91,0.4085
61241,4,1.9,157921.07,0.3628
61242,3,1.28,129873.93,0.356
61748,5,192.0,77015.15,0.3911
61749,5,180.0,72805.49,0.3908
61751,3,140.65,83064.38,0.347
61752,3,178.4,62311.67,0.3258
61753,3,72.0,136297.93,0.3245
61762,3,54.0,136999.75,0.3406
61763,3,114.0,102426.67,0.3131
61782,1,1.84,160108.01,0.1086
61791,1,1.11,287274.32,0.207
61795,2,0.91,148624.61,0.271
61867,3,3.59,129017.92,0.3408
61868,4,2.59,82472.95,0.3732
61925,3,2.14,55364.8,0.3388
61926,3,4.79,63175.79,0.3289
61927,3,4.83,70344.56,0.3272
61928,3,1.82,106972.33,0.3387
61929,3,0.47,154839.85,0.3388
61934,3,0.52,112736.4,0.3215
62084,7,60.0,144070.95,0.4509
62091,6,48.0,133744.16,0.4292
62433,5,48.0,157877.48,0.3924
62435,3,42.0,168887.63,0.3332
62436,3,66.0,122850.41,0.3213
62437,3,60.0,131170.51,0.3206
62439,2,60.0,130768.6,0.3004
62440,2,48.0,159067.0,0.3083
62499,4,3.44,142423.04,0.3589
62500,5,1.94,133764.0,0.3968
62606,3,0.4,141932.34,0.3556
62607,3,4.39,47691.93,0.3434
62608,3,5.17,53344.18,0.3332
62609,3,2.3,53235.31,0.328
62610,3,7.18,59159.65,0.3247
62611,3,3.1,62701.23,0.3295
62612,3,5.19,66501.33,0.3308
62613,3,1.4,82500.57,0.3223
62618,3,0.76,186682.28,0.3392
62626,4,0.67,1418856.0,0.3746
62775,7,6.0,1421921.57,0.4341
62786,4,48.0,156356.47,0.3641
62787,4,42.0,173303.1,0.3739
63100,2,6.0,2921725.56,0.2639
63123,2,108.0,98396.66,0.2982
63124,3,36.0,178374.2,0.32
63182,2,2.16,156273.54,0.2271
63227,4,2.18,229393.55,0.3721
63290,3,2.27,127394.84,0.3432
63291,3,4.96,54454.88,0.3313
63292,3,6.18,45708.56,0.3293
63293,3,2.95,53226.64,0.3299
63294,3,3.48,92811.24,0.3295
63295,3,4.05,83616.62,0.3227
63296,3,1.8,77679.33,0.3214
63297,3,3.43,103022.51,0.3288
63298,3,0.41,180620.43,0.3356
63470,4,36.0,202819.8,0.3857
63802,3,60.0,124245.25,0.3181
63807,2,42.0,159289.69,0.3014
63808,3,66.0,109311.17,0.3243
63809,3,54.0,114124.24,0.3177
63951,7,6.0,1421937.31,0.4418
63974,3,0.88,195727.12,0.3474
63975,3,3.69,88994.83,0.3338
63976,3,4.17,58169.74,0.3287
63977,3,2.29,149053.49,0.3445
63978,3,4.87,139966.73,0.3351
63979,3,3.99,69733.04,0.3305
63980,3,6.13,115407.62,0.3367
63981,3,2.8,135111.85,0.3307
63982,3,2.22,163010.7,0.3311
64530,1,1.92,158125.37,0.1866
64543,1,2.82,203235.59,0.159
64581,6,6.0,1370320.09,0.425
64636,7,54.0,109800.55,0.4348
64637,7,60.0,105520.51,0.4468
64659,4,0.28,157524.52,0.3591
64660,4,2.58,147908.64,0.3589
64662,3,0.73,149834.03,0.3423
64663,3,1.5,140296.85,0.337
65213,1,1.26,117721.33,0.1762
65214,2,1.17,146977.83,0.2401
65238,4,6.0,1494501.89,0.3716
65242,4,60.0,166336.69,0.3766
65264,6,84.0,86516.55,0.4248
65265,6,120.0,71585.34,0.4244
65268,6,6.0,1353562.78,0.43
65296,6,54.0,92208.94,0.4189
65297,7,156.0,38700.25,0.4345
65298,7,30.0,192631.92,0.441
65299,7,60.0,91353.91,0.4472
65302,7,60.0,102045.58,0.4429
65316,6,84.0,89990.24,0.4246
65320,7,36.0,172721.12,0.4358
65321,7,60.0,106129.6,0.4419
65343,3,0.82,122666.85,0.3376
65344,3,3.94,146193.04,0.3528
65345,3,3.33,228629.2,0.3472
65347,3,2.52,1427427.92,0.3483
65849,1,1.33,1457354.35,0.1856
65850,1,2.57,1461019.36,0.1925
65886,1,3.77,214801.54,0.0886
65887,1,0.97,225068.24,0.0833
65897,1,1.03,122394.04,0.1381
65916,2,0.54,149320.89,0.2488
65922,6,30.0,239981.75,0.4309
65948,6,102.0,81512.73,0.4184
65949,6,60.0,101412.04,0.4235
65950,6,60.0,99149.8,0.4238
65951,6,108.0,72007.56,0.4238
65957,3,1.2,1341954.27,0.3385
65979,7,60.0,84637.46,0.4497
65980,7,54.0,91878.02,0.4511
65981,7,66.0,86863.35,0.4362
65986,7,60.0,95130.81,0.4378
66000,7,60.0,103553.61,0.4346
66004,7,60.0,107788.06,0.4372
66005,7,66.0,101715.24,0.443
66551,2,1.04,127652.47,0.2823
66566,1,0.57,242380.2,0.1615
66571,1,0.49,234721.65,0.1363
66593,1,0.55,204273.75,0.2062
66663,7,60.0,81003.47,0.4396
66664,6,96.0,69964.86,0.4192
66665,6,60.0,84863.2,0.4224
66667,6,120.0,77349.96,0.4312
66689,7,54.0,110190.96,0.4434
66698,6,6.0,1395096.52,0.4225
66702,6,6.0,1520942.56,0.4269
66869,5,54.0,149968.33,0.4035
66873,2,6.0,1414601.76,0.2919
66874,2,36.0,178676.05,0.2889
67234,1,2.86,160556.97,0.1356
67235,2,2.7,186556.05,0.2339
67262,1,1.2,152127.02,0.1424
67290,9,3.0,1418219.24,0.4762
67345,8,72.0,75581.59,0.4533
67451,7,2.53,116313.71,0.4373
67922,4,57.89,109294.77,0.3869
67970,5,2.0,1426980.27,0.4103
68023,7,54.0,100785.3,0.4473
68024,8,66.0,90314.3,0.4607
68025,8,108.0,75570.52,0.4525
68101,4,0.27,140026.36,0.3657
68219,5,42.0,140159.99,0.4011
68229,4,30.0,229411.16,0.358
68255,7,6.0,1782454.73,0.4436
68592,2,1.2,1431792.55,0.3015
68667,3,6.0,1440374.98,0.3294
68707,8,6.0,1339115.52,0.452
68708,7,60.0,88821.71,0.4512
68709,7,54.0,98379.13,0.449
68751,6,6.0,1414135.45,0.424
68752,6,60.0,127921.96,0.4279
68785,4,2.03,113139.21,0.359
68786,4,3.04,121237.4,0.3683
68902,5,60.0,114327.24,0.4042
68903,5,180.0,41350.17,0.4038
68905,5,36.0,167903.46,0.3923
68922,3,6.0,1452455.41,0.3386
69270,1,3.0,302463.21,0.1762
69347,5,60.0,130778.28,0.4084
69435,6,6.0,1399502.57,0.4242
69469,4,3.72,171310.44,0.372
69470,4,0.21,174472.85,0.3586
69586,5,60.0,112367.3,0.3976
69587,5,54.0,119659.48,0.413
69589,5,42.0,133239.55,0.4005
69604,1,6.0,1556863.23,0.1765
70030,5,30.0,233537.82,0.4021
70031,5,90.0,109287.26,0.398
70094,8,6.0,1347562.67,0.4567
70095,7,24.0,230302.58,0.4449
70120,6,6.0,1413025.05,0.4282
70778,7,66.0,85875.83,0.449
70779,7,90.0,79406.76,0.4442
70963,6,6.0,1428684.51,0.4186
71470,7,54.0,104060.06,0.4493
71495,6,6.0,1475041.66,0.4164
71524,4,0.3,1400693.89,0.3707
72129,7,126.0,39866.02,0.4386
72130,7,6.0,1331778.14,0.4514
72153,7,54.0,99315.91,0.4485
72207,3,0.15,140388.4,0.3428
72208,4,5.43,226514.37,0.3641
72209,3,0.55,114227.93,0.3479
72334,2,6.0,1511652.72,0.3009
72712,2,38.71,122756.37,0.2816
72722,1,2.0,124769.55,0.1712
72836,9,6.0,1365353.12,0.4681
72837,7,72.0,92587.61,0.4477
72838,7,108.0,74904.53,0.445
72890,3,0.25,118162.4,0.3274
72891,3,1.9,78606.48,0.3309
72892,3,2.84,74196.14,0.3352
72893,3,1.63,110836.18,0.3509
72906,4,3.6,1316803.21,0.3736
72921,4,36.0,164640.55,0.3808
73366,1,1.87,251061.95,0.1625
73369,2,1.28,302412.75,0.2512
73406,1,0.97,157160.0,0.1894
73521,8,60.0,88931.11,0.4632
73522,8,42.0,130627.56,0.4661
73574,3,0.81,190826.66,0.3336
73575,3,3.77,127646.4,0.3373
73576,3,1.56,129760.08,0.3449
73577,3,0.52,125937.88,0.34
74050,1,0.78,208722.98,0.1974
74080,2,0.37,106966.98,0.2555
74121,2,3.0,1454678.28,0.27
74196,5,54.0,97344.4,0.4044
74205,8,54.0,97514.28,0.4587
74265,4,1.01,91617.63,0.3582
74274,4,3.33,173882.8,0.3641
74381,2,6.0,1649511.64,0.3121
74392,4,6.0,1469127.73,0.3721
74715,3,2.0,1520043.4,0.3159
74723,1,1.0,342805.67,0.1036
74732,2,0.4,163498.88,0.2303
74734,2,0.71,1509209.45,0.2644
74764,2,3.22,73067.53,0.242
74775,1,0.48,151751.55,0.1124
74823,4,60.0,169113.71,0.3813
74828,3,0.3,186440.31,0.3256
74910,6,24.0,328283.15,0.4147
74949,4,0.58,100745.59,0.357
74960,4,0.79,105525.34,0.3647
75459,1,1.89,149590.63,0.1418
75507,4,60.0,166321.99,0.377
75600,6,60.0,198984.91,0.4164
75644,4,1.3,91756.74,0.3642
