sc_point_gid,class,capacity,capital_adder_per_mw,cf,FIPS,dist_spur_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,region,supply_curve_cost_per_mw
1,10,11.757,0.0,0.5427607,p99073,12.96637288584931,0.0,47547.57,0.0,0.0,47547.57,pr352,47547.57
2,10,38.8368,0.0,0.5313772,p99073,5.031241314903446,0.0,18449.516,0.0,0.0,18449.516,pr352,18449.516
3,9,24.3996,0.0,0.49557567,p99073,3.844498778551423,0.0,14097.742,0.0,0.0,14097.742,pr352,14097.742
4,8,19.7241,0.0,0.48843086,p99073,11.78891363356635,0.0,43229.84,0.0,0.0,43229.84,pr352,43229.84
5,7,17.2302,0.0,0.46139386,p99071,8.368253447939805,0.0,30686.309,0.0,0.0,30686.309,pr335,30686.309
8,5,9.0012,0.0,0.41073754,p99080,8.575058705044516,0.0,31444.662,0.0,0.0,31444.662,pr440,31444.662
12,5,11.253,0.0,0.40870216,p99027,8.456599459749931,0.0,31010.273,0.0,0.0,31010.273,pr93,31010.273
28,8,7.575900000000001,0.0,0.48204786,p99012,0.5938592863122848,0.0,2177.6765,0.0,0.0,2177.6765,pr32,2177.6765
29,5,25.594800000000003,0.0,0.407451,p99073,7.975227616723951,0.0,29245.088,0.0,0.0,29245.088,pr352,29245.088
30,9,23.635800000000003,0.0,0.49166632,p99073,7.334850559400256,0.0,26896.83,0.0,0.0,26896.83,pr352,26896.83
31,9,15.9099,0.0,0.49366194,p99073,13.316053249538104,0.0,48829.848,0.0,0.0,48829.848,pr352,48829.848
32,8,8.4906,0.0,0.47149777,p99071,7.1970902711863936,0.0,26391.664,0.0,0.0,26391.664,pr335,26391.664
33,5,12.7632,0.0,0.4185717,p99071,3.350221844989412,0.0,12285.233,0.0,0.0,12285.233,pr335,12285.233
35,6,13.497000000000002,0.0,0.42692968,p99042,3.3049496394575324,0.0,12119.22,0.0,0.0,12119.22,pr167,12119.22
37,3,8.8209,0.0,0.34741664,p99049,2.7310471820469946,0.0,10014.726,0.0,0.0,10014.726,pr196,10014.726
38,2,12.4785,0.0,0.33792728,p99049,7.957726093676437,0.0,29180.908,0.0,0.0,29180.908,pr196,29180.908
39,1,27.186000000000003,0.0,0.3270115,p99027,4.504036607200932,0.0,16516.262,0.0,0.0,16516.262,pr93,16516.262
40,1,8.008500000000002,0.0,0.2787061,p99087,0.6277385699898447,0.0,2301.9116,0.0,0.0,2301.9116,pr492,2301.9116
