sc_point_gid,class,capacity,capital_adder_per_mw,cf
41243,2,0.68,130050.92,0.2097
41896,3,3.27,217772.63,0.2362
41927,2,0.15,136082.29,0.206
41931,1,0.94,105775.23,0.1375
41933,2,0.68,118229.98,0.1695
42607,1,0.65,335952.41,0.0538
42614,1,0.09,85239.83,0.1524
42615,1,2.79,113661.26,0.1309
42616,2,0.16,125534.44,0.1819
42617,1,1.59,132782.78,0.0999
42618,1,1.9,75045.4,0.1008
42619,1,0.25,149134.01,0.1355
43292,1,1.42,196747.53,0.1104
43293,1,0.89,168377.01,0.0952
43297,1,1.55,102608.3,0.1628
43298,2,0.38,141225.76,0.1727
43299,2,0.62,138825.9,0.2151
43300,2,1.29,81985.01,0.175
43301,1,0.49,126997.48,0.1214
43302,2,3.07,86604.99,0.1949
43303,1,2.04,93803.34,0.1465
43304,1,0.47,116522.34,0.106
43305,1,0.7,114690.35,0.1282
43309,1,0.82,132941.37,0.0806
43973,1,0.41,350102.41,0.0763
43975,1,0.94,183727.29,0.1414
43977,1,2.61,161562.65,0.0917
43980,2,4.67,175777.41,0.1782
43981,1,1.69,126363.02,0.1418
43982,2,4.25,100972.57,0.1907
43983,1,0.8,91829.56,0.1644
43985,1,1.15,107447.44,0.1549
43987,1,3.94,86904.03,0.1049
43990,1,0.59,263039.51,0.0777
43991,1,0.68,136570.76,0.0972
43993,1,2.58,173024.57,0.0953
43996,2,1.85,152053.4,0.1705
44644,3,6.0,12307657.9,0.2372
44657,2,3.12,242175.54,0.166
44658,1,2.03,214499.59,0.1449
44665,2,1.83,128334.89,0.2144
44666,1,0.21,119859.7,0.1462
44667,1,2.29,41136.83,0.1476
44668,1,0.31,66107.51,0.1616
44669,2,1.04,120518.97,0.1903
44670,1,6.51,99167.74,0.1463
44671,1,1.19,92963.32,0.1203
44673,2,0.36,265777.74,0.1863
44674,1,1.45,116922.72,0.1424
44675,1,6.04,85044.95,0.1299
44676,1,1.36,130217.83,0.0889
44678,1,2.12,260141.93,0.1441
44679,1,0.93,113457.2,0.0528
44680,3,0.63,224212.06,0.2448
44681,3,2.35,169130.62,0.2546
44683,2,1.05,220929.11,0.2113
45343,2,2.21,132469.17,0.1938
45344,2,1.3,173568.45,0.192
45352,1,3.27,123091.71,0.1582
45354,1,1.16,87666.96,0.1099
45358,1,1.67,108138.4,0.1213
45359,1,5.64,87267.2,0.1498
45360,1,3.02,164483.75,0.1129
45362,1,0.72,144290.9,0.0908
45363,1,3.49,82191.59,0.0738
45365,4,0.27,1480014.89,0.2889
45367,2,4.99,253988.44,0.1906
45368,1,1.38,190456.27,0.1208
45369,1,1.53,195828.13,0.0986
45370,3,1.54,448148.63,0.2265
45371,1,0.17,389178.42,0.1515
45372,1,1.18,443947.24,0.1105
45373,1,2.44,527961.19,0.1597
45374,1,1.11,678860.48,0.1309
46000,2,0.69,144510.47,0.2026
46026,1,0.62,166546.1,0.0702
46043,1,1.02,139040.56,0.1625
46044,1,0.95,170194.93,0.0768
46045,1,1.45,83170.65,0.0737
46046,1,1.5,208601.03,0.0733
46047,1,2.63,144963.31,0.0573
46049,4,3.75,190459.25,0.3341
46050,2,1.62,171272.07,0.2172
46052,1,4.2,261560.46,0.099
46055,1,3.8,369850.45,0.1173
46056,1,0.97,444038.34,0.0996
46058,2,2.93,630101.61,0.1708
46059,1,0.11,738485.27,0.1472
46687,3,2.0,1530409.54,0.2297
46709,2,0.52,188485.98,0.2088
46710,1,0.32,141182.41,0.138
46711,1,0.54,153695.23,0.1147
46725,1,0.83,153806.28,0.1239
46727,1,1.26,143860.09,0.1144
46728,1,0.81,110331.57,0.0789
46729,1,5.49,136024.43,0.157
46730,1,0.47,76083.67,0.0913
46733,1,0.21,228830.62,0.1103
46736,1,3.29,223538.87,0.1024
46737,1,1.75,279867.12,0.071
46738,2,1.25,320494.29,0.1727
46739,1,2.3,397069.77,0.1509
46742,3,8.51,649181.22,0.2494
46743,1,2.13,551195.83,0.14
46744,1,0.47,879081.82,0.0991
47392,2,0.52,140201.86,0.1946
47393,1,0.12,213572.71,0.1022
47394,2,0.93,135659.68,0.1915
47409,1,2.18,279074.01,0.1158
47411,1,0.27,84608.26,0.1428
47412,1,0.45,142186.1,0.0791
47413,1,1.35,78111.08,0.1231
47414,1,4.06,65499.91,0.0768
47415,1,0.12,165093.14,0.0569
47416,4,0.57,198039.57,0.3145
47417,1,2.32,212815.88,0.1069
47418,2,0.35,236135.05,0.1795
47419,1,0.49,232709.33,0.1483
47420,2,3.94,276878.85,0.194
47421,1,3.39,265605.54,0.0791
47427,1,5.14,655724.45,0.1639
47428,1,0.84,757425.89,0.1064
47429,1,2.2,888964.42,0.1154
48073,2,2.31,288309.28,0.1955
48075,2,5.31,98394.34,0.1919
48076,2,1.8,66177.36,0.1662
48077,1,7.11,141563.23,0.1057
48082,2,0.96,105803.77,0.2061
48085,1,2.14,1409699.35,0.1434
48089,1,1.09,1492123.33,0.1182
48092,2,0.75,122057.48,0.1811
48093,1,3.33,1434394.91,0.1131
48095,1,0.99,138805.87,0.1191
48097,1,1.06,134240.32,0.0863
48098,1,2.59,81443.4,0.1029
48099,1,2.86,171025.02,0.0847
48102,1,4.14,251658.22,0.1432
48103,2,2.06,247102.2,0.1729
48104,2,0.94,289560.3,0.1919
48105,1,0.45,320883.3,0.1169
48107,1,0.15,315962.9,0.102
48108,1,0.31,311046.64,0.0898
48109,1,0.26,372066.77,0.0951
48111,2,2.31,569647.15,0.1936
48112,1,0.48,561279.89,0.1413
48760,1,1.39,125961.5,0.1503
48767,2,1.09,113140.19,0.2048
48770,1,1.2,244328.56,0.1164
48774,2,1.91,106500.22,0.2135
48786,1,5.31,286266.09,0.1485
48787,3,0.32,220692.05,0.2439
48789,1,0.23,320538.12,0.1448
48791,1,1.98,371875.56,0.0508
48792,1,5.68,342228.42,0.0806
48793,1,5.51,395034.94,0.0852
48794,1,0.12,396796.75,0.119
48797,1,11.85,702178.37,0.0728
48813,8,54.0,308393.48,0.4362
48814,8,131.27,215487.93,0.4476
49427,2,0.8,588612.39,0.2103
49428,2,0.2,1805942.2,0.2098
49442,2,3.09,140963.72,0.2109
49466,1,2.0,1510376.8,0.1386
49468,2,0.75,218128.55,0.1995
49469,2,0.76,224232.59,0.1791
49473,1,0.45,377301.32,0.1188
49475,1,0.34,382927.15,0.0601
49476,1,2.13,330979.46,0.1303
49481,1,2.85,452038.6,0.1247
49482,1,1.51,741189.96,0.0771
49497,8,6.0,1610344.82,0.447
49510,4,2.32,265496.29,0.3264
50110,2,2.54,321322.95,0.2253
50111,2,0.38,410380.62,0.1895
50112,2,3.2,486341.91,0.1791
50120,4,1.69,121557.48,0.2955
50125,2,1.6,266609.95,0.1734
50126,2,0.93,144837.21,0.1673
50129,3,1.47,34748.82,0.2301
50132,3,2.73,1376813.94,0.2305
50139,3,0.89,1392491.98,0.282
50140,3,0.54,121464.12,0.2574
50151,1,2.7,230419.69,0.1595
50152,2,0.42,211678.42,0.1999
50154,2,0.65,140669.01,0.2149
50155,1,0.34,250407.48,0.1017
50160,1,2.3,319537.81,0.1493
50162,2,0.38,339376.14,0.176
50166,1,0.45,373399.67,0.1229
50168,2,1.3,1526319.86,0.2198
50169,2,2.02,850920.16,0.1749
50182,4,1.53,471810.44,0.3257
50194,4,1.0,191226.52,0.3126
50199,4,2.67,213807.94,0.3264
50200,4,1.94,159039.93,0.3192
50201,4,4.41,175464.28,0.2996
50202,4,1.44,136895.77,0.3365
50469,5,6.0,1505788.15,0.352
50794,3,5.69,505940.44,0.2412
50803,3,0.58,242862.31,0.2784
50804,4,1.17,140796.27,0.3143
50813,2,2.79,56719.68,0.2087
50814,2,1.78,58233.58,0.1699
50816,3,0.14,99710.88,0.2414
50817,2,1.73,172175.58,0.2099
50818,2,0.22,108791.45,0.2046
50819,2,0.3,243642.01,0.2152
50822,3,0.21,141427.69,0.2831
50823,3,1.89,79047.48,0.2721
50824,3,2.81,101197.22,0.2607
50835,3,0.46,324496.46,0.2276
50837,2,0.49,152679.7,0.2142
50838,2,7.03,136603.74,0.1816
50839,2,1.95,211504.99,0.2067
50840,1,0.69,358228.8,0.1201
50843,2,4.64,225071.86,0.1701
50844,1,1.75,281708.92,0.1376
50850,3,0.5,1612122.56,0.2374
50865,6,121.2,286629.11,0.3893
50878,4,4.55,202731.16,0.323
50879,4,0.24,260617.67,0.3196
50882,5,3.09,307879.29,0.3814
50883,5,0.44,149170.67,0.3457
50884,4,1.21,160772.22,0.3318
50885,5,2.71,143740.91,0.3466
50886,5,0.97,152928.99,0.3714
50889,6,2.61,169821.02,0.3971
50890,6,4.31,183117.77,0.3834
50891,5,2.19,95716.79,0.3742
50892,5,2.84,74419.37,0.3759
50893,5,1.79,55149.44,0.3471
50894,5,2.78,76764.96,0.3569
51155,5,36.0,190037.98,0.3812
51488,4,2.08,217801.88,0.3131
51491,6,6.0,1438929.69,0.4048
51492,5,52.69,157614.83,0.3744
51493,4,2.57,160637.83,0.313
51496,3,1.07,114193.36,0.281
51497,3,0.35,172342.93,0.2778
51499,3,0.71,105799.5,0.2847
51502,2,0.67,1398864.56,0.2151
51503,2,0.75,100343.58,0.2135
51504,3,1.41,105768.13,0.2348
51505,3,0.07,247545.6,0.2605
51506,3,2.2,108016.35,0.2789
51507,3,0.85,101187.78,0.2797
51519,2,2.43,132796.54,0.1804
51520,2,2.82,83959.74,0.1913
51521,2,1.31,107834.21,0.2184
51522,1,2.38,177510.48,0.1642
51523,2,0.19,169680.3,0.1998
51524,3,2.28,235980.03,0.2672
51525,1,1.87,339039.02,0.0537
51527,3,4.8,349645.76,0.2398
51567,5,2.89,109426.58,0.3742
51568,5,5.35,186020.31,0.3518
51569,5,2.25,128495.47,0.366
51570,5,1.28,105809.91,0.3623
51571,6,1.75,161358.94,0.3963
51574,6,5.77,169941.19,0.3999
51575,6,2.79,99442.81,0.3838
51576,5,3.13,76894.8,0.3671
51577,5,4.76,67450.81,0.3675
51578,4,7.21,63032.06,0.3261
51579,4,2.77,69121.86,0.3305
51580,5,0.68,99772.26,0.3807
51585,5,0.62,107690.48,0.3497
52162,4,6.0,1415545.1,0.3106
