md5_from,md5_to,MW_forward,MW_reverse
a69f0e7f6f71f675655d71b6d5c43893,eafd9787fd06a55378a25ed10da9586c,3638.7,2238.7
eafd9787fd06a55378a25ed10da9586c,7b56d37854e7ba51f10637e34fa89ab7,2386.0,2291.0
a69f0e7f6f71f675655d71b6d5c43893,e42599847f5cfd6fbca39160b796d928,2851.4,2221.0
e42599847f5cfd6fbca39160b796d928,7b56d37854e7ba51f10637e34fa89ab7,3745.1,6644.5
50d2aaa9eefb93cfec53b6cdacb24b6f,b7687c633dd4a085a428626479838633,510.5,353.0
50d2aaa9eefb93cfec53b6cdacb24b6f,55b8e288c28c187ed6dde56c7213df9d,104.2,107.7
097787fa704cd38e11959f16e41bf8c3,4026f5142c9d6374247865fc12b78aed,614.7,625.1
097787fa704cd38e11959f16e41bf8c3,b7687c633dd4a085a428626479838633,3540.9,4138.3
0d4bd6d30244a4deedab26abc0164a54,55b8e288c28c187ed6dde56c7213df9d,1861.2,1621.8
cbecf7f8ad2b6aed586ae7818efa528d,c4bac66feffe913fc075a4fd7d7b9749,343.1,278.4
097787fa704cd38e11959f16e41bf8c3,619c1be4c89a19705bf8e782db74d127,1671.0,1660.7
2294909d054ac5ce7f5cf06357500314,c4bac66feffe913fc075a4fd7d7b9749,1114.3,2335.5
50d2aaa9eefb93cfec53b6cdacb24b6f,619c1be4c89a19705bf8e782db74d127,4812.1,2865.3
0d4bd6d30244a4deedab26abc0164a54,f4736d2045b334cc746fa0838f667558,500.0,500.0
2294909d054ac5ce7f5cf06357500314,4026f5142c9d6374247865fc12b78aed,95.8,214.3
55b8e288c28c187ed6dde56c7213df9d,0c03add16b1ced2262e7d738a50e7c80,653.8,547.8
2294909d054ac5ce7f5cf06357500314,df7ade404997eb2b3facb82d5524a172,1515.5,1971.3
50d2aaa9eefb93cfec53b6cdacb24b6f,097787fa704cd38e11959f16e41bf8c3,6860.3,4597.4
f4736d2045b334cc746fa0838f667558,55b8e288c28c187ed6dde56c7213df9d,724.2,372.5
50d2aaa9eefb93cfec53b6cdacb24b6f,4026f5142c9d6374247865fc12b78aed,3233.8,3280.6
cbecf7f8ad2b6aed586ae7818efa528d,0aa95157ba94430c97499e6cdf5d9efc,2446.3,603.3
9b962221bbdda9573305c5c7106f66fe,b7687c633dd4a085a428626479838633,505.6,66.9
9fc373d0ebace3e362fd05ce042e7579,42c235ae41fc004e2bfd44da309b7153,310.3,408.1
c6df310b558954a2b696cddebacb33b4,f4736d2045b334cc746fa0838f667558,300.9,333.8
cbecf7f8ad2b6aed586ae7818efa528d,0c03add16b1ced2262e7d738a50e7c80,366.1,140.6
c4bac66feffe913fc075a4fd7d7b9749,0c03add16b1ced2262e7d738a50e7c80,2410.8,2041.3
4026f5142c9d6374247865fc12b78aed,e17242ccdeab827e9f7075d809a18758,1025.4,540.7
b7687c633dd4a085a428626479838633,619c1be4c89a19705bf8e782db74d127,6346.0,5952.5
9fc373d0ebace3e362fd05ce042e7579,0aa95157ba94430c97499e6cdf5d9efc,2008.1,2383.9
0d4bd6d30244a4deedab26abc0164a54,0aa95157ba94430c97499e6cdf5d9efc,357.7,355.9
619c1be4c89a19705bf8e782db74d127,f4736d2045b334cc746fa0838f667558,746.0,859.9
df7ade404997eb2b3facb82d5524a172,4026f5142c9d6374247865fc12b78aed,618.8,702.5
0e16acf16e3d99f420c9701ff23bb5c3,b7687c633dd4a085a428626479838633,12112.6,12320.1
0e16acf16e3d99f420c9701ff23bb5c3,9b962221bbdda9573305c5c7106f66fe,4411.7,9005.5
df7ade404997eb2b3facb82d5524a172,c4bac66feffe913fc075a4fd7d7b9749,1218.6,1721.4
67ba2895e1d3d0bc081c628e49775f30,fbdd35cdc8de9b2f34a18643c2014ab5,4223.7,4226.0
67ba2895e1d3d0bc081c628e49775f30,29caed99fc1dd3b1885e56417648e1e6,2730.4,3752.9
0d4bd6d30244a4deedab26abc0164a54,619c1be4c89a19705bf8e782db74d127,692.8,701.8
0d4bd6d30244a4deedab26abc0164a54,0c03add16b1ced2262e7d738a50e7c80,1655.6,1701.2
c6df310b558954a2b696cddebacb33b4,9b962221bbdda9573305c5c7106f66fe,5140.0,7363.9
df7ade404997eb2b3facb82d5524a172,55b8e288c28c187ed6dde56c7213df9d,1621.7,1570.5
4026f5142c9d6374247865fc12b78aed,55b8e288c28c187ed6dde56c7213df9d,380.9,435.4
42c235ae41fc004e2bfd44da309b7153,fbdd35cdc8de9b2f34a18643c2014ab5,424.9,320.4
0aa95157ba94430c97499e6cdf5d9efc,29caed99fc1dd3b1885e56417648e1e6,1842.9,1779.9
42c235ae41fc004e2bfd44da309b7153,67ba2895e1d3d0bc081c628e49775f30,6098.2,5160.6
c6df310b558954a2b696cddebacb33b4,67ba2895e1d3d0bc081c628e49775f30,191.5,129.2
c6df310b558954a2b696cddebacb33b4,42c235ae41fc004e2bfd44da309b7153,3408.0,3575.1
9b962221bbdda9573305c5c7106f66fe,f4736d2045b334cc746fa0838f667558,6.0,2.6
9fc373d0ebace3e362fd05ce042e7579,29caed99fc1dd3b1885e56417648e1e6,3155.9,2595.2
42c235ae41fc004e2bfd44da309b7153,29caed99fc1dd3b1885e56417648e1e6,10972.0,12172.6
29caed99fc1dd3b1885e56417648e1e6,fbdd35cdc8de9b2f34a18643c2014ab5,11013.5,7295.5
0d4bd6d30244a4deedab26abc0164a54,42c235ae41fc004e2bfd44da309b7153,2937.9,4034.4
e42599847f5cfd6fbca39160b796d928,eafd9787fd06a55378a25ed10da9586c,3669.7,4015.3
1b666b7af4378554039c4072de3a5a8b,089c2b774311033fb9333a520dfcc41d,4940.0,6032.8
836c5e72d8a00e869414a49da87fa712,089c2b774311033fb9333a520dfcc41d,138.2,197.1
836c5e72d8a00e869414a49da87fa712,1b666b7af4378554039c4072de3a5a8b,7603.8,4476.1
7a1f63f7dba60ce6146ec87d673f8f0a,420e9f98c829e36511b29c4f3d3174fe,750.7,97.2
7a1f63f7dba60ce6146ec87d673f8f0a,dfbe1abb61c4d077c4ffc926ea0d91c8,0.5,1.0
dfbe1abb61c4d077c4ffc926ea0d91c8,d6f0e955341feea93248e49ec223acb4,1712.1,2474.6
9b41b861cfb327b36569ebeac8912005,dfbe1abb61c4d077c4ffc926ea0d91c8,3015.5,2979.0
9b41b861cfb327b36569ebeac8912005,4ede11bf969e39ffa8bd7246f7269c96,335.6,623.1
dfbe1abb61c4d077c4ffc926ea0d91c8,420e9f98c829e36511b29c4f3d3174fe,1202.4,1239.7
6e2922432dd30a1b2ce963e779f3b32f,4ede11bf969e39ffa8bd7246f7269c96,2304.9,1716.4
de729e10d1f453d612fae15df776bdc8,73ef543f06f457ad704934364529893c,343.2,352.9
9b41b861cfb327b36569ebeac8912005,bce66f1b478885743e24754e2296e7ad,234.5,252.5
dfbe1abb61c4d077c4ffc926ea0d91c8,4ede11bf969e39ffa8bd7246f7269c96,4229.2,4812.0
6e2922432dd30a1b2ce963e779f3b32f,836c5e72d8a00e869414a49da87fa712,1956.4,2717.5
7a1f63f7dba60ce6146ec87d673f8f0a,44d960540028642474acfd25467e7a96,2018.7,1868.3
83da8c6a48b3856ca8d1fb06e894d798,e9fd61aae466af5c81165444b0ec1149,999.8,1105.9
9b41b861cfb327b36569ebeac8912005,7a1f63f7dba60ce6146ec87d673f8f0a,1031.0,1248.6
07ff46e0a6fe222b9fdb2225db658ddf,500d6a0d4f9d23ff8fb47b4178577eaa,1420.6,1519.2
9b41b861cfb327b36569ebeac8912005,5350828dece3d87d6bc550ae59c1f716,340.6,279.0
7a1f63f7dba60ce6146ec87d673f8f0a,bce66f1b478885743e24754e2296e7ad,995.3,710.2
fd832c2d91d094ad54b0e136d1568df0,e9fd61aae466af5c81165444b0ec1149,183.0,199.6
9b41b861cfb327b36569ebeac8912005,c46de094adb6809e259eeb712bab99ab,1088.1,1241.9
de73b430b6b6c4ff2c828349fcc586bd,4e91093943d84c5d86a92cc691842322,717.8,698.4
6e2922432dd30a1b2ce963e779f3b32f,e00b22b1c6734a2507a16cc866201315,3879.9,3864.7
a182e260da3f30b54260bf499f0db584,9f7e16bb747b8f99aefaf75261613b71,2415.7,2578.4
83da8c6a48b3856ca8d1fb06e894d798,500d6a0d4f9d23ff8fb47b4178577eaa,2198.9,2703.7
fd832c2d91d094ad54b0e136d1568df0,78095380718d012c536fc85ad430b2ca,910.8,1670.3
a182e260da3f30b54260bf499f0db584,d357ed0a280ef2316fad80a87b83bbb9,618.2,459.0
83da8c6a48b3856ca8d1fb06e894d798,bce66f1b478885743e24754e2296e7ad,943.8,1024.2
84627be9a4c4c58b839ec0de01f5ce71,fa341f156b16caed442301bf68792a80,14.4,23.8
067bc5f0cba3b80da70aaf152ea88d00,3821f559a445565a9d7e817f21878b66,908.8,1118.0
de73b430b6b6c4ff2c828349fcc586bd,e29b0ce7815148548561f1e505388a87,316.0,317.1
9b41b861cfb327b36569ebeac8912005,05e8138abf6b899ed6bf8f3327eb0c73,1937.1,2086.3
6e2922432dd30a1b2ce963e779f3b32f,4a2b617a69dbfb910b57246655ebdf3e,4532.5,3557.1
4a2b617a69dbfb910b57246655ebdf3e,f53cd63c69a4fa922ba401ec01cbd256,2470.1,1821.8
b0a9bfcdece7417e88b93d054508e38e,4e91093943d84c5d86a92cc691842322,923.0,1436.6
a182e260da3f30b54260bf499f0db584,f8644441280e76e07363ed18c744f98e,2902.3,2599.9
746de7a2ddd516aba7e075df93ee1984,6dcecce2bf925ad09dd36d34a68b1f3e,2761.2,2167.0
6e2922432dd30a1b2ce963e779f3b32f,e48598cd7a048a01fb0d19563bc12db8,1213.6,1676.2
de73b430b6b6c4ff2c828349fcc586bd,b0a9bfcdece7417e88b93d054508e38e,2546.8,2669.9
78095380718d012c536fc85ad430b2ca,73ef543f06f457ad704934364529893c,1494.4,1811.8
fd832c2d91d094ad54b0e136d1568df0,fa341f156b16caed442301bf68792a80,676.3,631.6
07ff46e0a6fe222b9fdb2225db658ddf,bce66f1b478885743e24754e2296e7ad,3669.2,3837.0
836c5e72d8a00e869414a49da87fa712,4a2b617a69dbfb910b57246655ebdf3e,3656.2,3614.5
78095380718d012c536fc85ad430b2ca,e9fd61aae466af5c81165444b0ec1149,59.3,115.3
e48598cd7a048a01fb0d19563bc12db8,a6fce5e6ca5bec22c9b802d4f91da3eb,29.4,71.3
b5be3a471b0c9c04dc99b1becf49e3dc,e9fd61aae466af5c81165444b0ec1149,2229.7,2100.7
07ff46e0a6fe222b9fdb2225db658ddf,44d960540028642474acfd25467e7a96,4265.7,5557.3
fd832c2d91d094ad54b0e136d1568df0,b5be3a471b0c9c04dc99b1becf49e3dc,2600.7,2373.1
de73b430b6b6c4ff2c828349fcc586bd,aedcebc1529b01e8bf77393c81406931,1192.4,1188.4
45a1cae9e3fb7425c15bc04bec28af32,fa341f156b16caed442301bf68792a80,21.8,5.3
bce66f1b478885743e24754e2296e7ad,44d960540028642474acfd25467e7a96,493.0,917.7
