*r,rtscbin,sc_cat,value
p1,bin1,cost,107.66
p1,bin1,cap,1000
p1,bin2,cost,331.26
p1,bin2,cap,2000
p1,bin3,cost,3312.63
p1,bin3,cap,20000
p2,bin1,cost,107.66
p2,bin1,cap,1000
p2,bin2,cost,331.26
p2,bin2,cap,2000
p2,bin3,cost,3312.63
p2,bin3,cap,20000
p3,bin1,cost,107.66
p3,bin1,cap,1000
p3,bin2,cost,331.26
p3,bin2,cap,2000
p3,bin3,cost,3312.63
p3,bin3,cap,20000
p4,bin1,cost,107.66
p4,bin1,cap,1000
p4,bin2,cost,331.26
p4,bin2,cap,2000
p4,bin3,cost,3312.63
p4,bin3,cap,20000
p5,bin1,cost,107.66
p5,bin1,cap,1000
p5,bin2,cost,331.26
p5,bin2,cap,2000
p5,bin3,cost,3312.63
p5,bin3,cap,20000
p6,bin1,cost,107.66
p6,bin1,cap,1000
p6,bin2,cost,331.26
p6,bin2,cap,2000
p6,bin3,cost,3312.63
p6,bin3,cap,20000
p7,bin1,cost,107.66
p7,bin1,cap,1000
p7,bin2,cost,331.26
p7,bin2,cap,2000
p7,bin3,cost,3312.63
p7,bin3,cap,20000
p8,bin1,cost,107.66
p8,bin1,cap,1000
p8,bin2,cost,331.26
p8,bin2,cap,2000
p8,bin3,cost,3312.63
p8,bin3,cap,20000
p9,bin1,cost,107.66
p9,bin1,cap,1000
p9,bin2,cost,331.26
p9,bin2,cap,2000
p9,bin3,cost,3312.63
p9,bin3,cap,20000
p10,bin1,cost,107.66
p10,bin1,cap,1000
p10,bin2,cost,331.26
p10,bin2,cap,2000
p10,bin3,cost,3312.63
p10,bin3,cap,20000
p11,bin1,cost,107.66
p11,bin1,cap,1000
p11,bin2,cost,331.26
p11,bin2,cap,2000
p11,bin3,cost,3312.63
p11,bin3,cap,20000
p12,bin1,cost,107.66
p12,bin1,cap,1000
p12,bin2,cost,331.26
p12,bin2,cap,2000
p12,bin3,cost,3312.63
p12,bin3,cap,20000
p13,bin1,cost,107.66
p13,bin1,cap,1000
p13,bin2,cost,331.26
p13,bin2,cap,2000
p13,bin3,cost,3312.63
p13,bin3,cap,20000
p14,bin1,cost,107.66
p14,bin1,cap,1000
p14,bin2,cost,331.26
p14,bin2,cap,2000
p14,bin3,cost,3312.63
p14,bin3,cap,20000
p15,bin1,cost,107.66
p15,bin1,cap,1000
p15,bin2,cost,331.26
p15,bin2,cap,2000
p15,bin3,cost,3312.63
