*r,rtscbin,sc_cat,value
p53007,bin1,cost,107.66
p53007,bin1,cap,1000
p53007,bin2,cost,331.26
p53007,bin2,cap,2000
p53007,bin3,cost,3312.63
p53007,bin3,cap,20000
p53029,bin1,cost,107.66
p53029,bin1,cap,1000
p53029,bin2,cost,331.26
p53029,bin2,cap,2000
p53029,bin3,cost,3312.63
p53029,bin3,cap,20000
p53033,bin1,cost,107.66
p53033,bin1,cap,1000
p53033,bin2,cost,331.26
p53033,bin2,cap,2000
p53033,bin3,cost,3312.63
p53033,bin3,cap,20000
p53035,bin1,cost,107.66
p53035,bin1,cap,1000
p53035,bin2,cost,331.26
p53035,bin2,cap,2000
p53035,bin3,cost,3312.63
p53035,bin3,cap,20000
p53037,bin1,cost,107.66
p53037,bin1,cap,1000
p53037,bin2,cost,331.26
p53037,bin2,cap,2000
p53037,bin3,cost,3312.63
p53037,bin3,cap,20000
p53053,bin1,cost,107.66
p53053,bin1,cap,1000
p53053,bin2,cost,331.26
p53053,bin2,cap,2000
p53053,bin3,cost,3312.63
p53053,bin3,cap,20000
p53055,bin1,cost,107.66
p53055,bin1,cap,1000
p53055,bin2,cost,331.26
p53055,bin2,cap,2000
p53055,bin3,cost,3312.63
p53055,bin3,cap,20000
p53057,bin1,cost,107.66
p53057,bin1,cap,1000
p53057,bin2,cost,331.26
p53057,bin2,cap,2000
p53057,bin3,cost,3312.63
p53057,bin3,cap,20000
p53061,bin1,cost,107.66
p53061,bin1,cap,1000
p53061,bin2,cost,331.26
p53061,bin2,cap,2000
p53061,bin3,cost,3312.63
p53061,bin3,cap,20000
p53067,bin1,cost,107.66
p53067,bin1,cap,1000
p53067,bin2,cost,331.26
p53067,bin2,cap,2000
p53067,bin3,cost,3312.63
p53067,bin3,cap,20000
p53073,bin1,cost,107.66
p53073,bin1,cap,1000
p53073,bin2,cost,331.26
p53073,bin2,cap,2000
p53073,bin3,cost,3312.63
p53073,bin3,cap,20000
p53003,bin1,cost,107.66
p53003,bin1,cap,1000
p53003,bin2,cost,331.26
