region,capacity_GW,cum_cost_$,slope_$/kW
05e8138abf6b899ed6bf8f3327eb0c73,21.359283,0.0,
05e8138abf6b899ed6bf8f3327eb0c73,22.286406,49084097.1,52.9424
05e8138abf6b899ed6bf8f3327eb0c73,23.414667,150536738.7,89.9195
05e8138abf6b899ed6bf8f3327eb0c73,23.670394,194598882.5,172.3015
05e8138abf6b899ed6bf8f3327eb0c73,24.408379,424590101.7,311.6476
05e8138abf6b899ed6bf8f3327eb0c73,24.677172,548234677.5,459.9992
05e8138abf6b899ed6bf8f3327eb0c73,27.547951,1916237647.2,476.5267
05e8138abf6b899ed6bf8f3327eb0c73,29.195543,2968704697.0,638.7911
05e8138abf6b899ed6bf8f3327eb0c73,33.033152,7393678092.9,1153.0548
05e8138abf6b899ed6bf8f3327eb0c73,34.550431,9873480779.9,1634.3749
05e8138abf6b899ed6bf8f3327eb0c73,35.802957,12923319470.9,2434.9504
05e8138abf6b899ed6bf8f3327eb0c73,36.499654,14842219939.9,2754.2827
05e8138abf6b899ed6bf8f3327eb0c73,36.517601,14910767659.3,3819.4528
05e8138abf6b899ed6bf8f3327eb0c73,36.651525,15744733532.5,6227.1577
05e8138abf6b899ed6bf8f3327eb0c73,36.662546,16101054725.4,32331.1127
05e8138abf6b899ed6bf8f3327eb0c73,36.662637,16123406497.0,245623.8635
067bc5f0cba3b80da70aaf152ea88d00,1.056667,0.0,
067bc5f0cba3b80da70aaf152ea88d00,1.619991,200992249.2,356.7969
067bc5f0cba3b80da70aaf152ea88d00,1.624132,315705467.1,27701.8155
07ff46e0a6fe222b9fdb2225db658ddf,10.539862,0.0,
07ff46e0a6fe222b9fdb2225db658ddf,12.604656,34009434.4,16.4711
07ff46e0a6fe222b9fdb2225db658ddf,13.282259,64303702.5,44.708
07ff46e0a6fe222b9fdb2225db658ddf,16.985379,494735217.5,116.2348
07ff46e0a6fe222b9fdb2225db658ddf,17.701458,692999161.8,276.8744
07ff46e0a6fe222b9fdb2225db658ddf,17.858996,753088973.0,381.4306
07ff46e0a6fe222b9fdb2225db658ddf,21.482373,2461865306.1,471.5977
07ff46e0a6fe222b9fdb2225db658ddf,21.896658,2877350498.6,1002.897
07ff46e0a6fe222b9fdb2225db658ddf,22.169216,3151201223.4,1004.7429
07ff46e0a6fe222b9fdb2225db658ddf,23.626323,4639862320.9,1021.6553
07ff46e0a6fe222b9fdb2225db658ddf,23.739091,4760456433.3,1069.4001
07ff46e0a6fe222b9fdb2225db658ddf,25.662818,6852889417.7,1087.6975
07ff46e0a6fe222b9fdb2225db658ddf,25.885558,7150745964.2,1337.2387
07ff46e0a6fe222b9fdb2225db658ddf,26.72116,8281236306.4,1352.9053
07ff46e0a6fe222b9fdb2225db658ddf,27.520907,10256739603.1,2470.1603
07ff46e0a6fe222b9fdb2225db658ddf,27.666193,10689620724.9,2979.5102
07ff46e0a6fe222b9fdb2225db658ddf,28.562793,15433806687.9,5291.3071
07ff46e0a6fe222b9fdb2225db658ddf,28.562793,15435882927.0,
089c2b774311033fb9333a520dfcc41d,10.698284,2525032998.9,
089c2b774311033fb9333a520dfcc41d,12.145397,1222119301.1,-900.3538
089c2b774311033fb9333a520dfcc41d,14.904502,0.0,-442.9405
089c2b774311033fb9333a520dfcc41d,15.548997,56080770.8,87.0151
089c2b774311033fb9333a520dfcc41d,16.297668,158727180.8,137.1048
089c2b774311033fb9333a520dfcc41d,17.174123,310266324.3,172.9001
089c2b774311033fb9333a520dfcc41d,18.136129,666493548.6,370.2963
089c2b774311033fb9333a520dfcc41d,18.412411,769417375.6,372.5318
089c2b774311033fb9333a520dfcc41d,19.002585,1038971190.6,456.7362
089c2b774311033fb9333a520dfcc41d,19.161357,1898800439.5,5415.4967
097787fa704cd38e11959f16e41bf8c3,11.223532,3727221834.6,
097787fa704cd38e11959f16e41bf8c3,11.343158,0.0,-31157.2888
097787fa704cd38e11959f16e41bf8c3,12.823898,35629030.1,24.0616
097787fa704cd38e11959f16e41bf8c3,17.49013,2012546911.4,423.6647
097787fa704cd38e11959f16e41bf8c3,21.185357,3795323078.4,482.4538
097787fa704cd38e11959f16e41bf8c3,74.191376,37960606711.9,644.5548
097787fa704cd38e11959f16e41bf8c3,188.702448,112308801140.8,649.2664
097787fa704cd38e11959f16e41bf8c3,192.498333,114804509781.8,657.4774
097787fa704cd38e11959f16e41bf8c3,194.609093,116269563966.1,694.0885
