ba,node_b,bin,cap_mw,marginal_$_per_MW,marginal_$_per_kW,cum_cap_mw_node
p60,b000067,5,287.0558314246838,444689.0998714212,444.6890998714212,287.0558314246838
p60,b000200,1,255.2819562653162,55947.606668048335,55.94760666804834,255.2819562653162
p60,b000200,3,254.7180437346838,267776.4519512263,267.77645195122625,510.0
p60,b000260,1,92.49912837867436,55947.606668048335,55.94760666804834,92.49912837867436
p60,b000260,4,126.12394557532382,319877.8597155304,319.8778597155304,218.6230739539982
p60,b000260,5,33.37692604600183,444689.0998714212,444.6890998714212,252.0
p60,b000306,2,1.3630079653387186,213847.4220341021,213.84742203410207,1.3630079653387186
p60,b000306,5,1076.9795300434894,444689.0998714212,444.6890998714212,1078.3425380088281
p60,b000716,3,3.743286066452924,267776.4519512263,267.77645195122625,3.743286066452924
p60,b000716,5,5396.256713933547,444689.0998714212,444.6890998714212,5400.0
p60,b000839,5,342.0,444689.0998714212,444.6890998714212,342.0
p60,b001063,1,39.97871791858216,55947.606668048335,55.94760666804834,39.97871791858216
p60,b001063,2,44.42261691365501,213847.4220341021,213.84742203410207,84.40133483223718
p60,b001063,5,386.06685323593535,444689.0998714212,444.6890998714212,470.46818806817254
p60,b001089,1,1034.30426889997,55947.606668048335,55.94760666804834,1034.30426889997
p60,b001089,4,96.69205764737944,319877.8597155304,319.8778597155304,1130.9963265473496
p60,b001089,5,302.1910951339032,444689.0998714212,444.6890998714212,1433.1874216812528
p60,b001100,1,434.6598000448248,55947.606668048335,55.94760666804834,434.6598000448248
p60,b001100,2,231.59632961365415,213847.4220341021,213.84742203410207,666.2561296584789
p60,b001100,5,2021.743870341521,444689.0998714212,444.6890998714212,2688.0
p60,b001554,3,4.783851400952371,267776.4519512263,267.77645195122625,4.783851400952371
p60,b001554,4,0.012887062060912,319877.8597155304,319.8778597155304,4.796738463013283
p60,b001554,5,3600.7932209446385,444689.0998714212,444.6890998714212,3605.589959407652
p60,b001969,2,399.83728358826886,213847.4220341021,213.84742203410207,399.83728358826886
p60,b001969,5,410.16271641173114,444689.0998714212,444.6890998714212,810.0
p60,b002838,2,71.08168963009292,213847.4220341021,213.84742203410207,71.08168963009292
p60,b002838,5,188.3205619223024,444689.0998714212,444.6890998714212,259.40225155239534
p60,b003517,5,144.0,444689.0998714212,444.6890998714212,144.0
p60,b003876,1,21.472954488412025,55947.606668048335,55.94760666804834,21.472954488412025
p60,b003876,2,0.8171275835695153,213847.4220341021,213.84742203410207,22.29008207198154
p60,b003876,4,66.45692503714677,319877.8597155304,319.8778597155304,88.74700710912832
p60,b003876,5,1519.2730494733437,444689.0998714212,444.6890998714212,1608.020056582472
p60,b005904,1,1092.1134741806625,55947.606668048335,55.94760666804834,1092.1134741806625
p60,b005904,2,359.8865258193375,213847.4220341021,213.84742203410207,1452.0
p60,b006011,3,1.684898140538521,267776.4519512263,267.77645195122625,1.684898140538521
p60,b006011,4,3.053486227884547,319877.8597155304,319.8778597155304,4.738384368423068
p60,b006011,5,476.0556812565211,444689.0998714212,444.6890998714212,480.79406562494415
p60,b006047,5,251.23290766976325,444689.0998714212,444.6890998714212,251.23290766976325
p60,b006065,1,44.28551721367679,55947.606668048335,55.94760666804834,44.28551721367679
p60,b006065,5,1557.7144827863233,444689.0998714212,444.6890998714212,1602.0
p62,b000270,6,47.12391177620251,841451.0124793134,841.4510124793134,47.12391177620251
p62,b000270,7,19.064987564792144,959637.4979521804,959.6374979521804,66.18889934099465
p62,b000270,8,125.9924653350492,1122449.2798184815,1122.4492798184815,192.18136467604387
p62,b000270,9,1.0335877034693797,2036399.5383969008,2036.3995383969009,193.21495237951325
p62,b000296,1,394.2610623002914,229376.49557123985,229.3764955712398,394.2610623002914
p62,b000296,3,253.96281853324055,426907.8128187538,426.9078128187538,648.223880833532
p62,b000296,5,212.07896301331817,636289.2399611286,636.2892399611286,860.3028438468501
p62,b000296,6,47.123911776202256,841451.0124793134,841.4510124793134,907.4267556230524
p62,b000296,7,117.55049932177234,959637.4979521804,959.6374979521804,1024.9772549448248
p62,b000296,8,223.02274505517522,1122449.2798184815,1122.4492798184815,1248.0
p62,b000341,6,47.12391177620251,841451.0124793134,841.4510124793134,47.12391177620251
p62,b000341,7,19.06498756479212,959637.4979521804,959.6374979521804,66.18889934099462
p62,b000341,8,125.99246533504916,1122449.2798184815,1122.4492798184815,192.18136467604378
p62,b000341,9,1.0335877034693797,2036399.5383969008,2036.3995383969009,193.21495237951316
p62,b000345,1,6.117323780215484,229376.49557123985,229.3764955712398,6.117323780215484
p62,b000345,2,421.1591786199238,373250.6289252929,373.2506289252929,427.2765024001393
p62,b000345,3,33.97284494250732,426907.8128187538,426.9078128187538,461.2493473426466
p62,b000345,5,142.96705138214688,636289.2399611286,636.2892399611286,604.2163987247935
p62,b000345,6,385.7836012752066,841451.0124793134,841.4510124793134,990.0000000000001
p62,b000348,1,4.706112112443567e-13,229376.49557123985,229.3764955712398,4.706112112443567e-13
p62,b000348,6,57.97569553965689,841451.0124793134,841.4510124793134,57.97569553965736
p62,b000348,7,25.71223447915492,959637.4979521804,959.6374979521804,83.68793001881228
p62,b000348,8,125.99246533504912,1122449.2798184815,1122.4492798184815,209.6803953538614
p62,b000348,9,1.0335877034693797,2036399.5383969008,2036.3995383969009,210.71398305733078
p62,b002071,1,77.13206058738903,229376.49557123985,229.3764955712398,77.13206058738903
p62,b002071,3,59.69233563440318,426907.8128187538,426.9078128187538,136.8243962217922
p62,b002071,4,225.15993746402356,466697.9409605538,466.6979409605538,361.9843336858158
p62,b002071,5,45.47417761769474,636289.2399611286,636.2892399611286,407.45851130351053
p62,b002071,6,480.5414886964895,841451.0124793134,841.4510124793134,888.0
p62,b002188,3,3.197319600001456,426907.8128187538,426.9078128187538,3.197319600001456
p62,b002188,6,47.12391177620252,841451.0124793134,841.4510124793134,50.321231376203976
p62,b002188,7,19.064987564792144,959637.4979521804,959.6374979521804,69.38621894099612
p62,b002188,8,26.613781059003887,1122449.2798184815,1122.4492798184815,96.0
p62,b002279,1,81.5942207924745,229376.49557123985,229.3764955712398,81.5942207924745
p62,b002279,3,14.949159648491332,426907.8128187538,426.9078128187538,96.54338044096583
p62,b002279,6,47.12391177620254,841451.0124793134,841.4510124793134,143.66729221716838
p62,b002279,7,19.06498756479212,959637.4979521804,959.6374979521804,162.7322797819605
p62,b002279,8,859.7555939955691,1122449.2798184815,1122.4492798184815,1022.4878737775297
p62,b002279,9,1.033587703469266,2036399.5383969008,2036.3995383969009,1023.5214614809989
p62,b002469,1,106.1547098670642,229376.49557123985,229.3764955712398,106.1547098670642
p62,b002469,2,465.33349050631045,373250.6289252929,373.2506289252929,571.4882003733746
p62,b002469,3,30.65602048056849,426907.8128187538,426.9078128187538,602.1442208539431
p62,b002469,4,34.56494774228407,466697.9409605538,466.6979409605538,636.7091685962272
p62,b002469,5,218.1924569162349,636289.2399611286,636.2892399611286,854.901625512462
p62,b002469,6,98.11018324906948,841451.0124793134,841.4510124793134,953.0118087615316
p62,b002469,7,216.21383982952668,959637.4979521804,959.6374979521804,1169.2256485910582
p62,b002469,8,270.7743514089418,1122449.2798184815,1122.4492798184815,1440.0
p62,b003011,1,253.9210752488279,229376.49557123985,229.3764955712398,253.9210752488279
p62,b003011,2,119.27130992604636,373250.6289252929,373.2506289252929,373.19238517487423
p62,b003011,5,46.807614825125754,636289.2399611286,636.2892399611286,420.0
p62,b003120,1,103.8604064844067,229376.49557123985,229.3764955712398,103.8604064844067
p62,b003120,2,4.353667859962813,373250.6289252929,373.2506289252929,108.21407434436951
p62,b003120,6,196.917210088792,841451.0124793134,841.4510124793134,305.1312844331615
p62,b003120,7,276.12908407042204,959637.4979521804,959.6374979521804,581.2603685035835
p62,b003120,8,175.60596260572868,1122449.2798184815,1122.4492798184815,756.8663311093122
p62,b003120,9,1.033587703469266,2036399.5383969008,2036.3995383969009,757.8999188127815
p62,b004028,1,0.4700159956402389,229376.49557123985,229.3764955712398,0.4700159956402389
p62,b004028,3,0.4767878003063941,426907.8128187538,426.9078128187538,0.946803795946633
p62,b004028,6,47.123911776202526,841451.0124793134,841.4510124793134,48.07071557214916
p62,b004028,7,19.064987564792144,959637.4979521804,959.6374979521804,67.1357031369413
p62,b004028,8,149.60384950399902,1122449.2798184815,1122.4492798184815,216.7395526409403
p62,b004028,9,1.0335877034693797,2036399.5383969008,2036.3995383969009,217.77314034440968
p62,b004035,1,3.1133747452026057,229376.49557123985,229.3764955712398,3.1133747452026057
p62,b004035,6,53.07272788858528,841451.0124793134,841.4510124793134,56.18610263378788
p62,b004035,7,19.064987564792144,959637.4979521804,959.6374979521804,75.25109019858003
p62,b004035,8,196.0664884516235,1122449.2798184815,1122.4492798184815,271.31757865020353
p62,b004035,9,30.67072470861792,2036399.5383969008,2036.3995383969009,301.98830335882144
p62,b004037,1,5.042625127038206,229376.49557123985,229.3764955712398,5.042625127038206
p62,b004037,5,90.82005523268909,636289.2399611286,636.2892399611286,95.86268035972729
p62,b004037,6,47.12391177620254,841451.0124793134,841.4510124793134,142.98659213592984
p62,b004037,7,19.064987564792144,959637.4979521804,959.6374979521804,162.051579700722
p62,b004037,8,125.99246533504908,1122449.2798184815,1122.4492798184815,288.04404503577103
p62,b004037,9,1.033587703469266,2036399.5383969008,2036.3995383969009,289.0776327392403
p63,b000010,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b000032,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b000283,0,49.493634410144125,20387.568418505747,20.387568418505747,49.493634410144125
p63,b000283,8,35.59289109074528,1455670.1695349184,1455.6701695349184,85.08652550088941
p63,b000283,9,8.276575722055549,1546788.41881199,1546.78841881199,93.36310122294496
p63,b000283,10,3.138276749266694,1798049.4042675337,1798.0494042675336,96.50137797221166
p63,b000283,11,10.452666851752564,2647143.4430617127,2647.143443061713,106.95404482396421
p63,b000283,12,0.4369526859729251,13324546.040327424,13324.546040327425,107.39099750993714
p63,b000284,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b000425,4,78.0,230844.972823203,230.844972823203,78.0
p63,b000434,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b000444,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b000444,12,1.4906099644786612,13324546.040327424,13324.546040327425,1.8630255158930669
p63,b000501,0,131.0592002164601,20387.568418505747,20.387568418505747,131.0592002164601
p63,b000501,4,372.9407997835399,230844.972823203,230.844972823203,504.0
p63,b000734,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b000811,5,24.0,294196.8424194549,294.19684241945487,24.0
p63,b000897,2,6.695729507638703,116549.41439949298,116.54941439949296,6.695729507638703
p63,b000897,8,5.372711095729014,1455670.1695349184,1455.6701695349184,12.068440603367716
p63,b000897,9,0.3604569622357869,1546788.41881199,1546.78841881199,12.428897565603503
p63,b000897,12,0.6594526552032091,13324546.040327424,13324.546040327425,13.088350220806712
p63,b000903,7,3.725415651081279,558476.2277283575,558.4762277283576,3.725415651081279
p63,b000903,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,4.097831202495684
p63,b000903,12,1.694816520209652,13324546.040327424,13324.546040327425,5.792647722705336
p63,b000923,1,0.0811449481319531,68201.60623169896,68.20160623169896,0.0811449481319531
p63,b000923,2,38.66262203830792,116549.41439949298,116.54941439949296,38.74376698643987
p63,b000923,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,39.116182537854264
p63,b000923,9,24.35374914620933,1546788.41881199,1546.78841881199,63.469931684063596
p63,b000991,0,396.0,20387.568418505747,20.387568418505747,396.0
p63,b001057,2,328.15445910826384,116549.41439949298,116.54941439949296,328.15445910826384
