t,atb22_1p2_moderate,atb22_1p2_advanced,atb22_1p2_mod30percIncrease,atb22_1p2_mod80percIncrease
2010,2015.699027,2015.699027,2620.408735,3628.258249
2011,2015.699027,2015.699027,2620.408735,3628.258249
2012,2015.699027,2015.699027,2620.408735,3628.258249
2013,2015.699027,2015.699027,2620.408735,3628.258249
2014,2015.699027,2015.699027,2620.408735,3628.258249
2015,2015.699027,2015.699027,2620.408735,3628.258249
2016,2015.699027,2015.699027,2620.408735,3628.258249
2017,2015.699027,2015.699027,2620.408735,3628.258249
2018,2015.699027,2015.699027,2620.408735,3628.258249
2019,2015.699027,2015.699027,2620.408735,3628.258249
2020,2015.699027,2015.699027,2620.408735,3628.258249
2021,2015.699027,2015.699027,2620.408735,3628.258249
2022,2015.699027,2015.699027,2620.408735,3628.258249
2023,1996.821512,1996.821512,2595.867966,3594.278722
2024,1977.943998,1977.943998,2571.327197,3560.299196
2025,1924.457707,1888.80018,2501.795019,3464.023873
2026,1870.971417,1801.753865,2432.262842,3367.748551
2027,1818.533877,1714.707549,2364.09404,3273.360979
2028,1767.145088,1629.758734,2297.288614,3180.861158
2029,1715.756299,1545.858671,2230.483189,3088.361338
2030,1664.36751,1463.007358,2163.677763,2995.861518
2031,1615.076223,1381.204796,2099.59909,2907.137201
2032,1565.784936,1300.450985,2035.520417,2818.412885
2033,1516.493648,1221.794675,1971.441742,2729.688566
2034,1450.422348,1107.480839,1885.549052,2610.760226
2035,1385.399799,997.3620053,1801.019739,2493.719638
2036,1321.426001,888.2919227,1717.853801,2378.566802
2037,1257.452202,779.2218401,1634.687863,2263.413964
2038,1195.575905,673.2980099,1554.248677,2152.036629
2039,1181.942145,663.8592528,1536.524789,2127.495861
2040,1168.308385,654.4204956,1518.800901,2102.955093
2041,1153.625874,646.0304893,1499.713636,2076.526573
2042,1139.992113,636.5917321,1481.989747,2051.985803
2043,1126.358353,627.152975,1464.265859,2027.445035
2044,1112.724593,618.7629686,1446.541971,2002.904267
2045,1099.090832,609.3242115,1428.818082,1978.363498
2046,1084.408321,599.8854543,1409.730817,1951.934978
2047,1070.774561,591.495448,1392.006929,1927.39421
2048,1057.140801,582.0566908,1374.283041,1902.853442
2049,1043.50704,572.6179337,1356.559152,1878.312672
2050,1029.87328,563.1791765,1338.835264,1853.771904
