t,atb22_1p2_moderate,atb22_1p2_advanced,atb22_1p2_mod30percIncrease,atb22_1p2_mod80percIncrease
2010,1103.425748,905.5965887,1434.453472,1986.166346
2011,1103.425748,905.5965887,1434.453472,1986.166346
2012,1103.425748,905.5965887,1434.453472,1986.166346
2013,1103.425748,905.5965887,1434.453472,1986.166346
2014,1103.425748,905.5965887,1434.453472,1986.166346
2015,1103.425748,905.5965887,1434.453472,1986.166346
2016,1103.425748,905.5965887,1434.453472,1986.166346
2017,1103.425748,905.5965887,1434.453472,1986.166346
2018,1103.425748,905.5965887,1434.453472,1986.166346
2019,1103.425748,905.5965887,1434.453472,1986.166346
2020,1103.425748,905.5965887,1434.453472,1986.166346
2021,1103.425748,905.5965887,1434.453472,1986.166346
2022,1103.425748,905.5965887,1434.453472,1986.166346
2023,1091.901719,895.9932315,1419.472235,1965.423094
2024,1077.496684,884.4692028,1400.745689,1939.494031
2025,1064.051983,872.9451741,1383.267578,1915.293569
2026,1041.003926,841.2540952,1353.305104,1873.807067
2027,1017.955869,809.5630162,1323.34263,1832.320564
2028,996.8284826,780.7529445,1295.877027,1794.291269
2029,974.7407609,750.0222013,1267.162989,1754.53337
2030,953.613375,720.2517938,1239.697388,1716.504075
2031,933.4463248,692.4020578,1213.480222,1680.203385
2032,912.3189388,662.6316503,1186.01462,1642.17409
2033,892.1518886,634.7819143,1159.797455,1605.873399
2034,867.1831597,598.2891567,1127.338108,1560.929687
2035,843.1747666,561.7963992,1096.127197,1517.71458
2036,818.2060378,526.2639773,1063.667849,1472.770868
2037,795.1579803,490.7315555,1033.705374,1431.284365
2038,770.1892515,456.1594694,1001.246027,1386.340653
2039,761.54623,449.4371193,990.010099,1370.783214
2040,750.982537,441.7544335,976.2772981,1351.768567
2041,740.418844,434.0717477,962.5444972,1332.753919
2042,730.8154868,427.3493977,950.0601328,1315.467876
2043,720.2517938,419.6667119,936.3273319,1296.453229
2044,710.6484365,411.9840261,923.8429675,1279.167186
2045,700.0847436,404.3013402,910.1101667,1260.152538
2046,690.4813863,397.5789902,897.6258022,1242.866495
2047,679.9176933,389.8963044,883.8930013,1223.851848
2048,671.2746718,384.13429,872.6570733,1208.294409
2049,661.6713146,376.4516042,860.172709,1191.008366
2050,652.0679573,368.7689184,847.6883445,1173.722323
